FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Edimilson,Fernandes,MID,WHU,4900000,1,7,0.194444444444444,3.96825396825397E-08,1.42857142857143E-06,0,399,2,5,0,0,0,0,0,1.4,41,-1,0,7,1,0.2,0,1,0,0,1,0,0,0,534,0,0,0,0,241,15,0,0,23,Man Utd,Arsenal,Liverpool,Burnley,Hull City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Federico,Fernandez,DEF,SWA,4300000,2,11,1.6,3.72093023255814E-07,2.55813953488372E-06,0,48980,3,11,0,0,0,0,0,2.6,981,-2,0,11,2,0.2,0,0.7,0,0,1,0,0,1.5,8583,0,333,0,0,630,231,0,0,98,Crystal Palace,Tottenham,Sunderland,West Brom,Middlesbrough,1.2,1,0.9,1.2,1.2,1.9,1.6,1.5,1.6,1.7,1.3,1,1,0.9,1.3,1.3,1.2,0.9,1.1,1.8,1.1,1.4,0.8,1.2,0.9,1.1
,Fernandinho,MID,MCI,5400000,2,30,2.5,4.62962962962963E-07,5.55555555555556E-06,0,88340,3,11,0,0,0,1,0,5.6,2139,-1,0,30,1,0.4,0,2.3,2,0,2,0,0,1.9,58948,0,417,0,0,1080,1563,0,0,194,Burnley,Chelsea,Leicester,Watford,Arsenal,1.6,1.5,1.9,2.1,1.2,1.9,1.2,2.6,1.5,1.8,1.5,1.9,1.5,2.1,2.4,1.8,1.3,1.4,1.2,1.8,1.7,1.7,2.4,1.7,2.9,1.8
,Fernando,MID,MCI,4700000,1,7,0.194444444444444,4.1371158392435E-08,1.48936170212766E-06,0,11222,1,2,0,0,0,0,0,1.5,174,-3,0,7,3,0.2,0,1,0,0,1,0,0,0.2,4150,0,236,0,0,211,173,0,0,33,Burnley,Chelsea,Leicester,Watford,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sam,Field,MID,WBA,4400000,0,4,0.111111111111111,2.52525252525253E-08,9.09090909090909E-07,0,439,1,1,0,0,0,0,0,0.9,19,-1,0,4,1,0,0,0,0,0,1,0,0,0,472,0,0,0,0,165,5,0,0,27,Hull City,Watford,Chelsea,Swansea,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Roberto,Firmino,MID,LIV,8800000,3,70,6.4,7.27272727272727E-07,7.95454545454546E-06,0,341856,1,13,0,0,0,5,0,8,11382,3,-1,70,-3,0.9,0,8,7,0,2,0,5,18.9,691238,0,522,0,3,978,80677,1,0,242,Sunderland,Bournemouth,West Ham,Middlesbrough,Everton,9.5,5.8,8.3,8.2,5.9,8.2,7,7.3,7.2,8.4,7.4,7.1,8,6.8,6.4,9.6,5.5,9.1,9.2,7,6.6,7.8,6.8,8.5,5.8,8.8
Viktor,Fischer,MID,MID,4900000,1,10,0.277777777777778,5.66893424036281E-08,2.04081632653061E-06,0,41228,0,3,0,0,0,0,0,2,212,-6,0,10,6,0.2,0,1,0,0,0,0,1,0.2,1158,0,0,0,0,168,20,0,0,29,Leicester,Hull City,Southampton,Liverpool,Swansea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mathieu,Flamini,MID,CRY,4300000,0,2,0.0555555555555556,1.29198966408269E-08,4.65116279069767E-07,0,1562,0,1,0,0,0,0,0,0.5,101,-2,1,2,2,0,0,0,0,0,0,0,0,0,2158,0,0,0,0,20,107,-1,0,7,Swansea,Southampton,Hull City,Man Utd,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon,Flanagan,DEF,BUR,4300000,0,2,0.0555555555555556,1.29198966408269E-08,4.65116279069767E-07,0,13634,1,2,0,0,0,0,0,0.5,407,-2,0,2,2,0.1,0,0.3,0,0,0,0,0,0.3,2957,0,67,0,0,145,129,0,0,22,Man City,Stoke,Bournemouth,West Ham,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Fletcher,FWD,WHU,5000000,0,7,1,2E-07,1.4E-06,0,6085,1,5,0,0,0,0,0,1.4,395,0,0,7,0,0.1,0,0.3,0,0,0,0,0,0.1,8082,0,0,0,0,184,208,0,0,6,Man Utd,Arsenal,Liverpool,Burnley,Hull City,0.5,0.5,0.5,0.8,0.8,0.6,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.8,0.7,0.5,0.6,0.5,0.7,0.5,0.6,0.7,0.5
Darren,Fletcher,MID,WBA,4400000,8,32,2.7,6.13636363636364E-07,7.27272727272727E-06,0,324182,0,12,0,0,0,1,0,7.3,6399,-1,0,32,1,0.8,0,3.7,0,0,4,0,0,8.1,117091,0,403,0,0,1021,10291,0,0,130,Hull City,Watford,Chelsea,Swansea,Man Utd,2.2,2.4,1.4,2.1,2.4,1.6,1.9,2.1,1.6,3.1,2.7,2,1.7,2.5,1.9,1.7,1.4,2.2,2.1,2.2,1.5,1.6,3.2,1.8,1.7,2.4
Jose,Fonte,DEF,SOU,5400000,8,39,3.5,6.48148148148148E-07,7.22222222222222E-06,0,99145,1,11,0,0,0,0,0,7.2,7069,-1,0,39,1,0.6,0,3.3,6,0,4,0,0,4.5,67646,0,487,0,0,990,6415,0,0,208,Everton,Crystal Palace,Middlesbrough,Stoke,Bournemouth,0,4.2,3.6,4.5,3.7,4.1,4.1,2.8,2.8,3.8,3.9,5.1,2.8,4.6,3.4,3.3,3.2,5.1,4.3,3.7,3.4,2.8,4.1,4.2,3.7,4.6
Adam,Forshaw,MID,MID,4500000,2,24,2,4.44444444444444E-07,5.33333333333333E-06,0,4162,2,11,0,0,0,0,0,5.3,278,0,0,24,0,0.4,0,2,0,0,3,0,0,0.1,5688,0,0,0,0,969,251,0,0,160,Leicester,Hull City,Southampton,Liverpool,Swansea,1.5,1.1,1.3,1,1.2,1.2,1.5,2,1.4,1.2,1.1,1,1.4,1.4,1.4,1.9,1.4,1.6,1.4,1.7,1,1.1,1,1,1.2,1
Fraser,Forster,GLK,SOU,5000000,6,37,3.1,6.2E-07,7.4E-06,0,97671,2,12,0,17,0,0,0,7.4,1858,0,0,37,0,0.6,0,3,0,0,4,0,0,4.3,70824,0,233,0,0,1080,5989,0,0,173,Everton,Crystal Palace,Middlesbrough,Stoke,Bournemouth,3.6,3.6,3,3.8,3.1,3.5,3.4,2.3,2.3,3.2,3.3,4.5,2.3,4.1,2.8,2.7,2.7,4.3,3.6,3.1,2.8,2.3,3.4,3.7,3.1,3.9
Ben,Foster,GLK,WBA,4700000,6,42,3.5,7.4468085106383E-07,8.93617021276596E-06,0,193723,0,15,0,39,0,0,0,8.9,5403,2,0,42,-2,0.6,0,3,3,0,3,0,0,15.2,436027,0,129,0,1,1080,20994,0,0,224,Hull City,Watford,Chelsea,Swansea,Man Utd,4.1,4,3,3.7,3.1,4.8,4,3.9,3.4,3.5,3.9,4.5,4.4,4.9,4.1,3,4.5,2.9,3.6,4.3,5,3.2,3.7,3,3.5,4.1
Timothy,Fosu-Mensah,DEF,MUN,4200000,0,1,0.0277777777777778,6.61375661375661E-09,2.38095238095238E-07,0,6907,0,0,0,0,0,0,0,0.2,188,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.2,2221,0,40,0,0,1,61,0,0,2,West Ham,Everton,Tottenham,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon,Francis,DEF,BOU,4600000,6,36,3,6.52173913043478E-07,7.82608695652174E-06,0,39351,1,16,0,0,0,0,0,7.8,2984,1,0,36,-1,0.6,0,2.7,3,0,4,0,0,2.7,93047,0,462,0,1,1080,6439,0,0,247,Arsenal,Liverpool,Burnley,Leicester,Southampton,3.6,4.5,1.8,3.3,3.9,1.8,2.7,4.2,2.7,3.6,3.7,1.8,3,2.5,1.7,4.5,3.4,2.6,3.2,3.2,2.1,3.1,1.8,4,3.9,1.5
Ryan,Fraser,MID,BOU,4900000,0,8,0.222222222222222,4.53514739229025E-08,1.63265306122449E-06,0,271,0,1,0,0,0,0,0,1.6,12,-1,0,8,1,0.1,0,0.7,0,0,1,0,0,0,292,0,0,0,0,215,2,0,0,24,Arsenal,Liverpool,Burnley,Leicester,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
George,Friend,DEF,MID,4500000,0,35,3.5,7.77777777777778E-07,7.77777777777778E-06,0,158057,1,12,0,0,0,0,0,7.8,22145,0,0,35,0,1,0,4.7,5,0,2,0,2,4,105362,0,0,0,0,900,1956,0,0,199,Leicester,Hull City,Southampton,Liverpool,Swansea,0,3.7,4.2,4.8,3.5,3.2,3.1,3.4,3.8,4.7,3.7,3.6,3.8,4.6,4.8,3.2,2.9,4.3,4.3,4.2,4.3,4.1,3,3.2,4.1,4.5
Dael,Fry,DEF,MID,4000000,0,0,0,0,0,0,58623,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3273,0,0,0,0,0,6,0,0,0,Leicester,Hull City,Southampton,Liverpool,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezekiel,Fryers,DEF,CRY,4500000,0,7,0.194444444444444,4.32098765432099E-08,1.55555555555556E-06,0,487,0,2,0,0,0,0,0,1.6,46,0,0,7,0,0.1,0,0.3,0,0,0,0,1,0,803,0,0,0,0,107,19,0,0,26,Swansea,Southampton,Hull City,Man Utd,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Christian,Fuchs,DEF,LEI,5400000,0,38,3.2,5.92592592592593E-07,7.03703703703704E-06,0,233596,2,20,0,0,0,1,0,7,13988,-1,0,38,1,0.2,0,1,3,0,3,0,1,8.4,120604,0,482,0,1,1057,4389,0,0,252,Middlesbrough,Sunderland,Man City,Bournemouth,Stoke,3.5,1.9,3.3,2.7,3.4,4,4.8,2.7,3.5,2.8,1.9,3.2,2.9,4.8,3.9,3.8,3.3,4.4,3.5,2,3.2,4,2.7,4,2.1,4.8
Jay,Fulton,MID,SWA,4400000,3,4,0.111111111111111,2.52525252525253E-08,9.09090909090909E-07,0,997,0,1,0,0,0,0,0,0.9,21,-1,0,4,1,0.2,0,1,0,0,1,0,0,0,609,0,4,0,0,105,41,0,0,20,Crystal Palace,Tottenham,Sunderland,West Brom,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ramiro,Funes Mori,DEF,EVE,4700000,0,14,0.388888888888889,8.274231678487E-08,2.97872340425532E-06,0,73073,0,7,0,0,0,0,0,3,1627,-3,0,14,3,0.5,0,2.3,1,0,1,0,0,1.3,16755,0,304,0,0,378,248,0,0,85,Southampton,Man Utd,Watford,Arsenal,Liverpool,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Gabriel,DEF,ARS,4800000,0,0,0,0,0,0,5921,0,0,0,0,0,0,0,0,101,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1091,0,244,0,0,0,51,0,0,0,Bournemouth,West Ham,Stoke,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendan,Galloway,DEF,WBA,4200000,0,9,0.25,5.95238095238095E-08,2.14285714285714E-06,0,13393,0,3,0,0,0,0,0,2.1,542,-3,0,9,3,0,0,0,0,0,1,0,0,0.2,12394,0,126,0,0,247,107,0,0,44,Hull City,Watford,Chelsea,Swansea,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cristian,Gamboa,DEF,WBA,4000000,0,0,0,0,0,0,23967,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1871,0,0,0,0,0,10,0,0,0,Hull City,Watford,Chelsea,Swansea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Garcia,MID,MCI,5000000,0,3,0.0833333333333333,1.66666666666667E-08,6E-07,0,200,0,1,0,0,0,0,0,0.6,17,0,0,3,0,0.1,0,0.7,0,0,0,0,0,0,253,0,0,0,0,29,15,0,0,11,Burnley,Chelsea,Leicester,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig,Gardner,MID,WBA,5200000,1,13,0.361111111111111,6.94444444444444E-08,2.5E-06,0,6491,1,5,0,0,0,0,0,2.5,84,-3,1,13,3,0.1,0,0.3,0,0,1,0,1,0.1,4923,0,244,0,0,204,17,-1,0,51,Hull City,Watford,Chelsea,Swansea,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Florin,Gardos,DEF,SOU,4000000,0,0,0,0,0,0,2944,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4339,0,0,0,0,0,164,0,0,0,Everton,Crystal Palace,Middlesbrough,Stoke,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulo,Gazzaniga,GLK,SOU,4500000,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,15,0,0,0,3,0,0,0,Everton,Crystal Palace,Middlesbrough,Stoke,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran,Gibbs,DEF,ARS,4800000,0,7,0.194444444444444,4.05092592592593E-08,1.45833333333333E-06,0,17625,1,1,0,0,0,0,0,1.5,593,-2,0,7,2,0.3,0,1.3,0,0,0,0,1,0.5,5464,0,69,0,0,137,326,0,0,36,Bournemouth,West Ham,Stoke,Everton,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ben,Gibson,DEF,MID,4700000,2,44,3.7,7.87234042553191E-07,9.36170212765957E-06,0,61616,0,13,0,0,0,1,0,9.4,5231,2,0,44,-2,0.7,0,3.3,5,0,3,0,0,7,295719,0,0,0,1,1080,20002,0,0,225,Leicester,Hull City,Southampton,Liverpool,Swansea,2.8,4,4.5,5.1,3.8,3.5,3.4,3.7,4.1,5,4,3.9,4.1,4.9,5.2,3.5,3.1,4.6,4.6,4.5,4.5,4.4,3.3,3.5,4.4,4.8
Darron,Gibson,MID,EVE,4300000,0,0,0,0,0,0,4210,0,0,0,0,0,0,0,0,179,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1913,0,44,0,0,0,110,0,0,0,Southampton,Man Utd,Watford,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier,Giroud,FWD,ARS,8900000,7,26,4.3,4.8314606741573E-07,2.92134831460674E-06,0,87194,0,0,0,0,0,3,0,3,2726,-1,-1,26,1,0.8,0,6.7,5,0,0,0,1,2.5,123053,0,629,0,1,115,45585,1,0,94,Bournemouth,West Ham,Stoke,Everton,Man City,5.1,5.3,4.9,4.5,5.6,4.8,5.3,4.1,6,5.9,4.8,4.1,5.4,4.9,5.1,5.9,5.2,5.2,5.6,6,5.3,5.5,4.6,4.5,5.5,5.3
Shay,Given,GLK,STK,4400000,0,13,0.361111111111111,8.20707070707071E-08,2.95454545454545E-06,0,18188,1,14,0,18,0,0,0,3,624,-1,0,13,1,0,0,0,3,0,0,0,0,0.6,18670,1,24,1,1,450,91,0,0,92,Watford,Burnley,Arsenal,Southampton,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Serge,Gnabry,MID,ARS,5000000,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,4,0,0,0,0,0,0,0,Bournemouth,West Ham,Stoke,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heurelho,Gomes,GLK,WAT,4900000,2,38,3.2,6.53061224489796E-07,7.75510204081633E-06,0,60250,1,16,0,33,0,0,0,7.8,1379,-1,0,38,1,0.6,0,3,4,0,3,0,0,2.2,25737,0,375,0,0,1022,2373,0,0,213,Stoke,West Brom,Everton,Man City,Sunderland,4.1,3.2,3.7,2.6,2.4,3.8,3.7,3.9,3.2,3.2,4.3,4,2.3,4.7,4,2.4,3.7,3.2,3.6,2.8,3.4,3.4,4.7,1.9,2.4,3
Joseph,Gomez,DEF,LIV,4800000,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,16,-2,0,0,2,0,0,0,0,0,0,0,0,0,194,0,58,0,0,0,11,0,0,0,Sunderland,Bournemouth,West Ham,Middlesbrough,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bafetimbi,Gomis,FWD,SWA,6500000,0,0,0,0,0,0,1394,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,242,0,0,0,9,0,0,0,Crystal Palace,Tottenham,Sunderland,West Brom,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynden,Gooch,MID,SUN,4300000,0,9,0.25,5.81395348837209E-08,2.09302325581395E-06,0,2632,3,4,0,0,0,0,0,2.1,232,-2,0,9,2,0.1,0,0.3,0,0,1,0,0,0.1,3544,0,0,0,0,311,279,0,0,36,Liverpool,Leicester,Swansea,Chelsea,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dan,Gosling,MID,BOU,4700000,2,25,0.694444444444445,1.47754137115839E-07,5.31914893617021E-06,0,6007,2,3,0,0,0,2,0,5.3,528,-3,0,25,3,0.8,0,3.7,1,0,2,0,0,0.2,5652,0,331,0,0,409,486,0,0,96,Arsenal,Liverpool,Burnley,Leicester,Southampton,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3
Lewis,Grabban,FWD,BOU,4400000,0,6,0.166666666666667,3.78787878787879E-08,1.36363636363636E-06,0,134241,0,2,0,0,0,0,0,1.4,6181,-1,0,6,1,0,0,0,0,0,0,0,1,3.5,96243,0,124,0,0,60,1218,0,0,17,Arsenal,Liverpool,Burnley,Leicester,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Max,Gradel,MID,BOU,5000000,0,4,0.111111111111111,2.22222222222222E-08,8E-07,0,12505,1,0,0,0,0,0,0,0.8,94,-5,1,4,5,0,0,0,0,0,0,0,0,0.1,955,0,155,0,0,95,14,-1,0,14,Arsenal,Liverpool,Burnley,Leicester,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lee,Grant,GLK,STK,4100000,2,26,3.7,9.02439024390244E-07,6.34146341463415E-06,0,10106,0,5,0,21,0,0,0,6.3,2178,1,0,26,-1,0.6,0,2.3,1,0,2,0,0,2.8,111689,0,0,0,0,630,7039,0,0,130,Watford,Burnley,Arsenal,Southampton,Leicester,4,4.7,5.2,4.6,3.9,4.7,3.4,4.2,3.3,3.3,4.3,4.3,4.4,3.8,3.7,3.6,3.7,2.7,3.3,5.3,4.1,4.5,5.2,4.2,4.7,4.4
Andre,Gray,FWD,BUR,6200000,1,20,2.9,4.67741935483871E-07,3.2258064516129E-06,0,467687,0,7,0,0,0,1,0,3.2,3857,-3,0,20,3,0.1,0,0.7,1,0,2,0,1,2.9,142594,0,0,0,0,507,309,0,0,39,Man City,Stoke,Bournemouth,West Ham,Tottenham,3.6,2.3,3.5,2.2,1.7,3,3.7,2.4,3.3,2,4,1.8,2.9,3.1,2.7,2,2.1,3.3,3.4,2.2,1.7,3.1,2.7,3.3,1.5,3.8
Demarai,Gray,MID,LEI,4800000,0,15,0.416666666666667,8.68055555555556E-08,3.125E-06,0,41703,1,4,0,0,0,1,0,3.1,718,-2,0,15,2,0.1,0,0.3,0,0,0,0,1,0.6,26680,0,57,0,0,200,93,0,0,51,Middlesbrough,Sunderland,Man City,Bournemouth,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Marko,Grujic,MID,LIV,4400000,0,2,0.0555555555555556,1.26262626262626E-08,4.54545454545455E-07,0,25175,0,0,0,0,0,0,0,0.5,210,-6,0,2,6,0,0,0,0,0,0,0,0,0.2,2272,0,0,0,0,30,13,0,0,6,Sunderland,Bournemouth,West Ham,Middlesbrough,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johann Berg,Gudmundsson,MID,BUR,5100000,2,37,3.1,6.07843137254902E-07,7.25490196078431E-06,0,11343,0,14,0,0,0,1,0,7.3,1828,-4,0,37,4,1.2,0,6,3,0,3,0,2,0.4,12488,0,0,0,1,785,1470,0,0,141,Man City,Stoke,Bournemouth,West Ham,Tottenham,2.5,2,3.6,1.6,1.6,3.4,4.2,1.6,3.2,1.6,4.4,1.9,2.7,2,2.3,1.6,2.5,3,3.1,2.5,1.6,3.5,1.9,3,1.6,3.1
Adlene,Guedioura,MID,WAT,4400000,1,10,0.277777777777778,6.31313131313131E-08,2.27272727272727E-06,0,4986,1,6,0,0,0,0,0,2.3,97,-1,0,10,1,0.1,0,0.3,0,0,0,0,1,0.1,4997,0,56,0,0,233,31,0,0,44,Stoke,West Brom,Everton,Man City,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Idrissa,Gueye,MID,EVE,5000000,5,27,2.5,5E-07,5.4E-06,0,21837,5,8,0,0,0,0,0,5.4,515,0,0,27,0,0.5,0,2.3,4,0,3,0,1,0.3,21999,0,270,0,0,972,315,0,0,214,Southampton,Man Utd,Watford,Arsenal,Liverpool,1.3,2.4,1.4,1.5,1.6,1.6,1.5,2.2,1.7,1.5,1.5,2.6,1.9,3.1,1.2,2,2.1,1.2,1.6,3.2,2.9,1.2,1.8,1.8,2.4,1.2
Ilkay,Gundogan,MID,MCI,5700000,0,36,1,1.75438596491228E-07,6.31578947368421E-06,0,177914,0,3,0,0,0,3,0,6.2,108191,2,1,36,-2,1.2,0,7,2,0,3,0,1,13.2,666867,0,0,0,1,519,20603,-1,0,161,Burnley,Chelsea,Leicester,Watford,Arsenal,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5
Bradley,Guzan,GLK,MID,4300000,0,9,0.25,5.81395348837209E-08,2.09302325581395E-06,0,20381,0,1,0,6,0,0,0,2,521,-2,1,9,2,0,0,0,0,0,1,0,0,0.6,8604,0,188,0,0,180,45,-1,0,40,Leicester,Hull City,Southampton,Liverpool,Swansea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ben,Hamer,GLK,LEI,4500000,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,15,0,0,0,Middlesbrough,Sunderland,Man City,Bournemouth,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Hart,GLK,MCI,5300000,0,0,0,0,0,0,170000,0,0,0,0,0,0,0,0,463,-2,0,0,2,0,0,0,0,0,0,0,0,1.2,2404,0,360,0,0,0,15,0,0,0,Burnley,Chelsea,Leicester,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakob,Haugaard,GLK,STK,4300000,0,0,0,0,0,0,2740,0,0,0,0,0,0,0,0,29,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,179,0,31,0,0,0,7,0,0,0,Watford,Burnley,Arsenal,Southampton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
