FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Damien,Delaney,DEF,CRY,4900000,0,18,1.8,3.6734693877551E-07,3.6734693877551E-06,0,25520,2,14,0,0,0,0,0,3.7,867,-1,0,18,1,0,0,0,0,0,1,0,0,0.7,7426,0,366,0,0,846,73,0,0,134,Swansea,Southampton,Hull City,Man Utd,Chelsea,1.6,1.6,1.6,1,1.2,1.3,2.3,1.2,2.1,1.4,1.5,1.1,1.9,1.1,1.5,1.4,1.4,1.1,1.5,2,1.2,2,1.6,1.1,1.3,1
Fabian,Delph,MID,MCI,4700000,0,2,1,2.12765957446809E-07,4.25531914893617E-07,0,6230,0,1,0,0,0,0,0,0.4,54,-3,0,2,3,0,0,0,0,0,0,0,0,0.1,1329,0,156,0,0,30,5,0,0,4,Burnley,Chelsea,Leicester,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mousa,Dembele,MID,TOT,5400000,1,17,0.472222222222222,8.74485596707819E-08,3.14814814814815E-06,0,8065,2,5,0,0,0,0,0,3.1,933,-1,0,17,1,0.7,0,3.7,3,0,2,0,1,0.3,10098,0,473,0,0,440,1369,0,0,97,Chelsea,Swansea,Man Utd,Hull City,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jason,Denayer,DEF,SUN,4700000,6,11,0.305555555555556,6.50118203309693E-08,2.34042553191489E-06,0,2732,1,2,0,0,0,0,0,2.3,37,-3,0,11,3,0.5,0,2.3,0,0,1,0,0,0.1,712,0,0,0,0,296,106,0,0,64,Liverpool,Leicester,Swansea,Chelsea,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Memphis,Depay,MID,MUN,7200000,0,3,0.0833333333333333,1.15740740740741E-08,4.16666666666667E-07,0,6667,1,1,0,0,0,0,0,0.4,66,-3,0,3,3,0,0,0.3,0,0,0,0,0,0.2,736,0,259,0,0,24,26,0,0,6,West Ham,Everton,Tottenham,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerard,Deulofeu,MID,EVE,6000000,1,10,0.277777777777778,4.62962962962963E-08,1.66666666666667E-06,0,125540,0,3,0,0,0,0,0,1.7,606,-5,0,10,5,0.1,0,0.3,0,0,0,0,0,1,17962,0,283,0,0,318,50,0,0,36,Southampton,Man Utd,Watford,Arsenal,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mohamed,Diame,MID,HUL,5500000,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,2,0,0,0,West Brom,Middlesbrough,Crystal Palace,Tottenham,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Dier,MID,TOT,5100000,2,21,1.9,3.72549019607843E-07,4.11764705882353E-06,0,355188,2,7,0,0,0,0,0,4.1,4000,-4,0,21,4,0.3,0,1.7,0,0,4,0,0,5.2,19780,0,526,0,0,811,723,0,0,116,Chelsea,Swansea,Man Utd,Hull City,Burnley,1,1.3,1.1,1.3,1.8,1,1,1.1,1.2,1,1.4,1.4,1,1.3,1.6,1,1.3,1,1.2,1.5,1.6,1.1,1,1,1.5,1.1
Adama,Diomande,FWD,HUL,4600000,0,20,2.2,4.78260869565217E-07,4.34782608695652E-06,0,302027,0,9,0,0,0,1,0,4.3,13590,1,0,20,-1,0,0,0,2,0,2,0,0,5.1,379641,0,0,0,0,507,3068,0,0,58,West Brom,Middlesbrough,Crystal Palace,Tottenham,West Ham,1.8,1.9,2.1,1.6,1.9,2,2.1,1.9,1.9,1.3,1.6,2.2,1.8,2.4,1.6,2,1.5,2.2,1.5,2.1,2,1.8,1.7,2.1,2.3,1.8
Mame Biram,Diouf,FWD,STK,5700000,0,10,1.4,2.45614035087719E-07,1.75438596491228E-06,0,25183,0,9,0,0,0,0,0,1.7,676,-3,1,10,3,0.1,0,0.3,0,0,0,0,0,0.4,10159,0,245,0,0,287,276,-1,0,26,Watford,Burnley,Arsenal,Southampton,Leicester,0.8,1.2,0.8,0.9,1.2,0.9,0.7,0.9,0.9,0.8,1,0.9,1,0.7,0.7,1,0.7,0.8,0.7,1.1,1.3,1.1,1.1,0.7,0.7,0.8
