FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Bafetimbi,Gomis,FWD,SWA,6500000,0,0,0,0,0,0,1334,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,242,0,0,0,2,0,0,0,Stoke,Man Utd,Everton,Crystal Palace,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynden,Gooch,MID,SUN,4400000,1,8,0.296296296296296,6.73400673400673E-08,1.81818181818182E-06,0,1973,2,4,0,0,0,0,0,1.8,90,-1,0,8,1,0.2,0,0.7,0,0,1,0,0,0,2644,0,0,0,0,303,26,0,0,34,Arsenal,Bournemouth,Hull City,Liverpool,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dan,Gosling,MID,BOU,4700000,2,14,0.518518518518518,1.10323089046493E-07,2.97872340425532E-06,0,4458,1,1,0,0,0,1,0,3,186,-3,0,14,3,0.6,0,3,0,0,1,0,0,0.1,959,0,331,0,0,211,329,0,0,49,Middlesbrough,Sunderland,Stoke,Arsenal,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Lewis,Grabban,FWD,BOU,4400000,0,6,2,4.54545454545455E-07,1.36363636363636E-06,0,113178,0,2,0,0,0,0,0,1.4,5829,-1,0,6,1,0,0,0,0,0,0,0,1,3.6,80254,0,124,0,0,60,5720,0,0,17,Middlesbrough,Sunderland,Stoke,Arsenal,Liverpool,1.1,2.5,1,1,2.5,1,2.6,2.1,1,1.3,1.5,2,1.8,2,1,2.3,1,1,2.1,2,1,1.1,2,1,1.7,1.2,2,2.5,1
Max,Gradel,MID,BOU,5100000,0,4,0.148148148148148,2.90486564996369E-08,7.84313725490196E-07,0,12008,1,0,0,0,0,0,0,0.8,191,-4,0,4,4,0,0,0,0,0,0,0,0,0.1,889,0,155,0,0,95,33,0,0,14,Middlesbrough,Sunderland,Stoke,Arsenal,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lee,Grant,GLK,STK,4100000,6,19,0.703703703703704,1.7163504968383E-07,4.63414634146341E-06,0,3606,0,2,0,13,0,0,0,4.8,816,1,-1,19,-1,1.4,0,5.7,1,0,2,0,0,2,74488,0,0,0,0,360,22804,1,0,85,Swansea,West Ham,Bournemouth,Watford,Burnley,0.4,0.5,0.5,0.4,0.4,0.8,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.5,0.4,0.7,0.4
Andre,Gray,FWD,BUR,6200000,0,18,3.6,5.80645161290323E-07,2.90322580645161E-06,0,453714,0,7,0,0,0,1,0,2.9,3536,-3,0,18,3,0,0,0,1,0,2,0,1,3.1,135730,0,0,0,0,427,1404,0,0,30,Man Utd,Crystal Palace,West Brom,Man City,Stoke,2.3,4.6,2.8,5.1,2.9,5.1,2.8,1.9,4.1,5.3,3.1,4.7,2.5,5.4,2.8,4.6,4.4,3.4,3,3.3,4.4,4.5,3.1,2.3,4.5,3.2,4.6,1.8,4.8
Demarai,Gray,MID,LEI,4900000,1,14,0.518518518518518,1.05820105820106E-07,2.85714285714286E-06,0,37555,0,3,0,0,0,1,0,2.9,1571,-1,0,14,1,0.1,0,0.7,0,0,0,0,1,0.7,26223,0,57,0,0,153,139,0,0,49,Tottenham,West Brom,Watford,Middlesbrough,Sunderland,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Marko,Grujic,MID,LIV,4500000,0,2,0.0740740740740741,1.64609053497942E-08,4.44444444444444E-07,0,23848,0,0,0,0,0,0,0,0.4,490,-5,0,2,5,0,0,0,0,0,0,0,0,0.3,2160,0,0,0,0,30,19,0,0,6,Crystal Palace,Watford,Southampton,Sunderland,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johann Berg,Gudmundsson,MID,BUR,5100000,5,19,2.1,4.11764705882353E-07,3.72549019607843E-06,0,8265,0,8,0,0,0,0,0,3.7,116,-4,0,19,4,0.6,0,3,0,0,2,0,1,0.1,554,0,0,0,0,533,170,0,0,78,Man Utd,Crystal Palace,West Brom,Man City,Stoke,1,1.6,1,1.5,1,2.3,1,1,2.1,2.4,1,1.9,1,2.8,1.1,1.7,1.2,1.1,1,1.2,1.7,1.7,1.5,1,2.1,1,1.7,1,1.6
