FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Pierre-Emile,H?jbjerg,MID,SOU,4300000,1,13,0.481481481481481,1.11972437553833E-07,3.02325581395349E-06,0,77882,1,4,0,0,0,0,0,3,3474,-2,1,13,2,0.3,0,1.3,0,0,2,0,0,1.7,29904,0,0,0,0,474,1461,-1,0,95,Chelsea,Hull City,Liverpool,Everton,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Rob,Holding,DEF,ARS,4200000,0,7,0.259259259259259,6.17283950617284E-08,1.66666666666667E-06,0,55292,1,5,0,0,0,0,0,1.7,1916,-3,1,7,3,0,0,0,0,0,1,0,0,0.7,38537,0,0,0,0,270,278,-1,0,61,Sunderland,Tottenham,Man Utd,Bournemouth,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jose,Holebas,DEF,WAT,4700000,6,37,4.1,8.72340425531915E-07,7.87234042553191E-06,0,18047,4,13,0,0,0,2,0,8,2106,2,-1,37,-2,1.9,0,9,5,0,2,0,1,6.6,263481,0,96,0,1,809,78459,1,0,151,Hull City,Liverpool,Leicester,Stoke,West Brom,4.2,5.2,5,5.3,4.9,4.5,4,4.8,5.2,5.7,5.6,3.8,4.5,5.8,5.6,3.7,5.5,5.4,3.9,5.7,5.1,4.8,5,4.2,5.6,5.8,3.1,4,4.2
Mason,Holgate,DEF,EVE,4200000,0,16,0.592592592592593,1.41093474426808E-07,3.80952380952381E-06,0,206699,0,2,0,0,0,0,0,3.7,14078,-3,1,16,3,0,0,0,3,0,1,0,1,3.6,296146,0,0,0,0,270,790,-1,0,78,West Ham,Chelsea,Swansea,Southampton,Man Utd,0.5,0.3,0.3,0.3,0.3,0.3,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6
George,Honeyman,MID,SUN,4500000,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,16,0,0,0,Arsenal,Bournemouth,Hull City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Huddlestone,MID,HUL,4800000,2,16,0.592592592592593,1.23456790123457E-07,3.33333333333333E-06,0,7520,2,13,0,0,0,0,0,3.3,391,-2,0,16,2,0.3,0,1.3,0,0,1,0,1,0.2,3839,0,0,0,0,575,46,0,0,87,Watford,Southampton,Sunderland,West Brom,Middlesbrough,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Robert,Huth,DEF,LEI,5000000,2,22,2.8,5.6E-07,4.4E-06,0,30897,4,13,0,0,0,0,0,4.4,3118,0,0,22,0,0.5,0,2.7,0,0,3,0,1,1.7,36080,0,453,0,0,720,782,0,0,114,Tottenham,West Brom,Watford,Middlesbrough,Sunderland,1.9,3.4,1.8,2.7,1.8,3,1.5,2.8,3.2,4.2,1.8,3.3,1.7,1.4,2.9,1.8,4.2,3,3,2.7,4.2,3.6,1.4,2.5,4,1.8,3.1,1.4,4.2
Emerson,Hyndman,MID,BOU,4500000,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,25,0,0,0,Middlesbrough,Sunderland,Stoke,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordon,Ibe,MID,BOU,5100000,1,18,2,3.92156862745098E-07,3.52941176470588E-06,0,134906,0,7,0,0,0,0,0,3.5,3960,-4,1,18,4,0.3,0,1.7,0,0,3,0,0,1.8,22584,0,184,0,0,561,771,-1,0,66,Middlesbrough,Sunderland,Stoke,Arsenal,Liverpool,1.3,2.3,1,1,1.2,1,2.6,1.8,1,1,1,1,1.7,1.5,1,1.4,1,1,1.5,1.7,1,1,1.6,1,1.9,1.1,1.6,2.3,1
Zlatan,Ibrahimovic,FWD,MUN,11300000,2,40,4.4,3.89380530973451E-07,3.53982300884956E-06,0,1142188,3,12,0,0,0,4,0,3.5,118396,-2,0,40,2,0.1,0,1.3,6,0,3,0,1,37.5,844710,0,0,0,2,810,19177,0,0,119,Burnley,Swansea,Arsenal,West Ham,Everton,6.6,5.4,4.5,5.8,4.2,5.3,5.3,4.8,6.4,5,4.8,6.5,4.9,5.7,3.8,5.1,5.1,6.2,4.1,5.1,5.6,5.7,5.2,5.6,4,5.6,4.3,3.5,5.6
Odion,Ighalo,FWD,WAT,7200000,2,23,2.9,4.02777777777778E-07,3.19444444444444E-06,0,257780,1,12,0,0,0,1,0,3.2,10372,-3,0,23,3,0.1,0,1,2,0,1,0,1,4.3,84123,0,709,0,0,654,3854,0,0,57,Hull City,Liverpool,Leicester,Stoke,West Brom,3.4,3,3.6,2.7,2.9,2.8,3.1,3.3,2.8,2.6,3,2.3,2,2.6,3.5,2.4,2.9,2.9,2.3,3.2,3.5,2.8,2.1,2.8,4.3,3.5,2.3,2.5,3.3
Kelechi,Iheanacho,FWD,MCI,6800000,8,35,5,7.35294117647059E-07,5.14705882352941E-06,0,369310,0,1,0,0,0,3,0,5.1,7854,-2,0,35,2,0.5,0,3.3,6,0,1,0,3,4.6,443164,0,242,0,1,287,34951,0,0,130,West Brom,Middlesbrough,Crystal Palace,Burnley,Chelsea,5.9,5.9,6.4,5,6.6,4.7,6.1,5.4,7.1,5.9,7.5,5.1,6.3,5.8,6.6,4.2,6.4,6,6.5,7.4,5.3,4.7,6.4,5.1,6.6,6.2,6.6,7.5,5.8
Giannelli,Imbula,MID,STK,4700000,0,9,0.333333333333333,7.09219858156028E-08,1.91489361702128E-06,0,11022,0,8,0,0,0,0,0,1.9,332,-3,0,9,3,0,0,0,1,0,0,0,0,0.2,4026,0,194,0,0,308,24,0,0,50,Swansea,West Ham,Bournemouth,Watford,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Danny,Ings,FWD,LIV,5500000,0,0,0,0,0,0,19613,0,0,0,0,0,0,0,0,437,-5,0,0,5,0,0,0,0,0,0,0,0,0.3,3065,0,81,0,0,0,261,0,0,0,Crystal Palace,Watford,Southampton,Sunderland,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gokhan,Inler,MID,LEI,4400000,0,0,0,0,0,0,8778,0,0,0,0,0,0,0,0,147,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,3698,0,20,0,0,0,3,0,0,0,Tottenham,West Brom,Watford,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen,Ireland,MID,STK,4500000,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,18,0,0,0,10,0,0,0,Swansea,West Ham,Bournemouth,Watford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd,Isgrove,MID,SOU,4500000,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,11,0,0,0,Chelsea,Hull City,Liverpool,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branislav,Ivanovic,DEF,CHE,5800000,0,16,2.7,4.6551724137931E-07,2.75862068965517E-06,0,146565,2,9,0,0,0,0,0,2.7,14380,-2,1,16,2,0,0,0,2,0,1,0,1,3.9,30632,0,414,0,0,540,79,-1,0,117,Southampton,Everton,Middlesbrough,Tottenham,Man City,2.1,2.8,2.2,3.6,1.6,3,2.1,2.9,3.9,3.8,2.3,1.4,2.6,3,3.7,1.6,2.6,3.1,2.7,3.2,3.4,2.6,1.9,1.5,3.4,1.6,2.4,2.2,3.2
Alex,Iwobi,MID,ARS,5800000,3,26,0.962962962962963,1.6602809706258E-07,4.48275862068966E-06,0,69082,1,5,0,0,0,0,0,4.5,7500,-2,0,26,2,0.5,0,2.7,2,0,4,0,3,1.6,75664,0,150,0,0,421,5294,0,0,103,Sunderland,Tottenham,Man Utd,Bournemouth,West Ham,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5
Phil,Jagielka,DEF,EVE,5100000,1,31,3.4,6.66666666666667E-07,6.07843137254902E-06,0,67444,0,8,0,0,0,0,0,6.1,11649,1,0,31,-1,0.6,0,3,3,0,2,0,1,6.8,237451,0,221,0,0,810,8398,0,0,165,West Ham,Chelsea,Swansea,Southampton,Man Utd,4.9,2.4,3.6,3.2,3.4,3.3,4.6,5.1,1.9,3.9,4.6,3.6,4.2,4.2,5.1,3.3,4.3,3.4,4.1,3.6,3.9,2.3,4.3,4.7,4.1,3.9,3.3,3.7,4.4
Eldin,Jakupovic,GLK,HUL,4100000,0,23,4.6,1.1219512195122E-06,5.60975609756098E-06,0,191888,0,7,0,21,0,0,0,5.6,35120,1,0,23,-1,0,0,0,0,0,1,0,0,20.9,416448,0,0,1,1,450,2168,0,0,114,Watford,Southampton,Sunderland,West Brom,Middlesbrough,6.1,5.7,6.1,5,6.1,5.3,6.2,6.5,4.4,4.7,6.1,6.6,5,4.8,6,6.9,6,4.1,4.4,5.2,5.6,4,5.1,6.6,4.5,6,5.4,6.8,6
Daryl,Janmaat,DEF,WAT,4800000,0,6,0.222222222222222,4.62962962962963E-08,1.25E-06,0,4287,0,2,0,0,0,0,0,1.2,113,-2,1,6,2,0,0,0,0,0,0,0,1,0,4953,0,0,0,0,179,201,-1,0,45,Hull City,Liverpool,Leicester,Stoke,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Vincent,Janssen,FWD,TOT,7700000,1,16,1.8,2.33766233766234E-07,2.07792207792208E-06,0,84331,0,3,0,0,0,0,0,2.1,6727,-3,1,16,3,0.2,0,1.3,0,0,1,0,1,1.3,51672,0,0,0,0,415,1340,-1,0,21,Leicester,Arsenal,West Ham,Chelsea,Swansea,2.1,0.9,1.7,0.9,1.6,0.9,2,2,0.9,1.1,1.6,1.6,1.2,1.3,1.3,1.2,1.5,1.6,1.3,1.6,0.9,1.3,1.4,1.8,0.9,1.1,1.1,1.5,2
Adnan,Januzaj,MID,SUN,5300000,0,8,1.3,2.45283018867925E-07,1.50943396226415E-06,0,47649,0,10,0,0,0,0,0,1.5,1112,-2,1,8,2,0,0,0,0,0,0,0,0,0.6,30645,0,33,0,0,471,20,-1,1,42,Arsenal,Bournemouth,Hull City,Liverpool,Leicester,0,0,0,0.6,1.3,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.9,1.1,0.6,0.6,0.9,0.6,0.6,1,0.7,0.7,0.6
Mile,Jedinak,MID,CRY,4500000,0,2,2,4.44444444444444E-07,4.44444444444444E-07,0,24124,0,1,0,0,0,0,0,0.4,239,0,0,2,0,0,0,0,0,0,0,0,0,0.2,1067,0,118,0,0,90,5,0,0,8,Liverpool,Burnley,Man City,Swansea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,DEF,ARS,5000000,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,178,0,0,0,34,0,0,0,Sunderland,Tottenham,Man Utd,Bournemouth,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen,Johnson,DEF,STK,4700000,0,4,0.148148148148148,3.15208825847124E-08,8.51063829787234E-07,0,8421,0,6,0,0,0,0,0,0.8,354,-3,1,4,3,0.1,0,0.7,0,0,0,0,0,0.1,1459,0,324,0,0,270,12,-1,0,36,Swansea,West Ham,Bournemouth,Watford,Burnley,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Jonathan Benteke,FWD,CRY,4400000,0,1,0.037037037037037,8.41750841750842E-09,2.27272727272727E-07,0,7464,0,0,0,0,0,0,0,0.2,580,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,9876,0,0,0,0,7,365,0,0,3,Liverpool,Burnley,Man City,Swansea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy,Jones,DEF,SUN,4400000,0,0,0,0,0,0,642,2,2,0,0,0,0,0,0,40,-1,0,0,1,0,0,0,0,0,0,0,0,0,246,0,211,0,0,56,19,0,0,2,Arsenal,Bournemouth,Hull City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,Jones,MID,BUR,5000000,0,1,1,2E-07,2E-07,0,2779,1,1,0,0,0,0,0,0.2,20,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,86,1,0,0,8,Man Utd,Crystal Palace,West Brom,Man City,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Jones,DEF,MUN,4700000,0,0,0,0,0,0,8830,0,0,0,0,0,0,0,0,183,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,526,0,64,0,0,0,21,0,0,0,Burnley,Swansea,Arsenal,West Ham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Joselu,FWD,STK,5300000,0,0,0,0,0,0,6122,0,0,0,0,0,0,0,0,63,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,507,0,246,0,0,0,4,0,0,0,Swansea,West Ham,Bournemouth,Watford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Josh Robson,DEF,SUN,4000000,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3568,0,0,0,0,0,135,0,0,0,Arsenal,Bournemouth,Hull City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukas,Jutkiewicz,FWD,BUR,4400000,0,2,0.0740740740740741,1.68350168350168E-08,4.54545454545455E-07,0,17716,0,0,0,0,0,0,0,0.5,716,-1,0,2,1,0,0,0,0,0,0,0,0,0.5,7847,0,0,0,0,13,172,0,0,5,Man Utd,Crystal Palace,West Brom,Man City,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Kabasele,DEF,WAT,4800000,0,1,0.037037037037037,7.71604938271605E-09,2.08333333333333E-07,0,1698,0,3,0,0,0,0,0,0.2,85,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.1,320,0,0,0,0,57,32,0,0,9,Hull City,Liverpool,Leicester,Stoke,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Younes,Kaboul,DEF,WAT,4400000,6,16,2.7,6.13636363636364E-07,3.63636363636364E-06,0,13110,0,9,0,0,0,0,0,3.6,345,-1,0,16,1,1,0,4.3,0,0,2,0,0,0.6,8796,0,231,0,0,531,2448,0,0,97,Hull City,Liverpool,Leicester,Stoke,West Brom,2.2,3.4,2.8,3.5,2.7,2.4,2.1,2.6,3,3.2,3.7,2,2.4,3.8,3.2,1.9,3.6,3,2,3.4,2.8,2.6,2.8,2.2,3.1,3.8,1.6,2.1,2.2
Sullay,Kaikai,MID,CRY,4500000,0,0,0,0,0,0,2056,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,9,0,0,0,0,0,0,0,Liverpool,Burnley,Man City,Swansea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry,Kane,FWD,TOT,10700000,0,24,4.8,4.48598130841121E-07,2.24299065420561E-06,0,640205,0,2,0,0,0,2,0,2.2,5767,-3,0,24,3,0,0,0,3,0,3,0,1,5,153052,0,1053,0,0,419,390,0,0,92,Leicester,Arsenal,West Ham,Chelsea,Swansea,0,0,0,0,0,4.4,6.3,7.2,4.5,5.1,6.5,6.5,5.5,5.5,5.8,5.3,6.3,6.5,5.7,6.6,4.3,5.9,5.9,7.1,4.1,5.3,5.2,6.3,6.5
N'Golo,Kante,MID,CHE,4800000,8,26,2.9,6.04166666666667E-07,5.41666666666667E-06,0,499033,1,9,0,0,0,1,0,5.4,8880,-2,0,26,2,1,0,4.7,0,0,4,0,0,14.4,105784,0,501,0,0,810,20049,0,0,155,Southampton,Everton,Middlesbrough,Tottenham,Man City,1.6,2.9,2.9,2.6,1.4,2.7,2.5,2,3.4,2.6,1.4,1.9,2.3,1.4,1.7,1.6,2.8,1.6,2.8,1.9,2.5,2.3,1.4,2,2.9,1.6,3.1,1.9,3.6
Bartosz,Kapustka,MID,LEI,5200000,0,0,0,0,0,0,5134,0,0,0,0,0,0,0,0,99,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,361,0,0,0,0,0,4,0,0,0,Tottenham,West Brom,Watford,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris,Karius,GLK,LIV,4900000,2,12,0.444444444444444,9.0702947845805E-08,2.44897959183673E-06,0,9215,0,3,0,3,0,0,0,2.4,1415,-1,0,12,1,0.7,0,3.3,0,0,1,0,0,1,28703,0,0,0,0,360,3579,0,0,50,Crystal Palace,Watford,Southampton,Sunderland,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michael,Keane,DEF,BUR,4900000,2,30,3.3,6.73469387755102E-07,6.12244897959184E-06,0,26481,1,13,0,0,0,1,0,6.1,3674,-1,0,30,1,0.3,0,1.7,2,0,2,0,0,2.1,58220,0,0,0,1,810,2018,0,0,170,Man Utd,Crystal Palace,West Brom,Man City,Stoke,1.7,4.6,2.5,3.8,3.5,4.9,3.3,2.6,3.4,4.5,1.9,4.7,3.7,4.4,2.5,4.1,3.1,2.6,3.1,2.5,4.9,4.9,2.5,1.9,3.6,3.4,4.2,2.2,4.9
Will,Keane,FWD,HUL,4500000,2,5,0.185185185185185,4.11522633744856E-08,1.11111111111111E-06,0,7213,0,9,0,0,0,0,0,1.1,989,0,0,5,0,0.3,0,1.3,0,0,0,0,0,0.4,18228,0,0,0,0,178,4361,0,0,6,Watford,Southampton,Sunderland,West Brom,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Martin,Kelly,DEF,CRY,4400000,1,14,1.8,4.09090909090909E-07,3.18181818181818E-06,0,15222,0,8,0,0,0,0,0,3.2,2162,-1,0,14,1,0.3,0,1.3,0,0,0,0,1,0.9,32046,0,96,0,0,469,256,0,0,72,Liverpool,Burnley,Man City,Swansea,Southampton,2.3,1.1,1.1,1.5,1.6,1.7,1.1,1.3,1.4,2.6,1.1,2.1,1.3,1.2,1.5,2.1,1,1.4,1.8,1.2,1,1.4,2.2,1.5,2,1.7,1.1,1.1,1
,Kenedy,MID,WAT,5200000,0,1,0.037037037037037,7.12250712250712E-09,1.92307692307692E-07,0,1844,0,0,0,0,0,0,0,0.2,96,-3,0,1,3,0,0,0,0,0,0,0,0,0,1075,0,86,0,0,16,2,0,0,2,Hull City,Liverpool,Leicester,Stoke,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kevin Long,DEF,BUR,4000000,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,587,0,0,0,Man Utd,Crystal Palace,West Brom,Man City,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wahbi,Khazri,MID,SUN,6100000,2,9,0.333333333333333,5.46448087431694E-08,1.47540983606557E-06,0,9973,1,7,0,0,0,0,0,1.5,162,-4,1,9,4,0.3,0,2,0,0,1,0,0,0.2,594,0,172,0,0,336,24,-1,0,20,Arsenal,Bournemouth,Hull City,Liverpool,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Ki Sung-yueng,MID,SWA,5100000,3,12,0.444444444444444,8.71459694989107E-08,2.35294117647059E-06,0,3364,0,7,0,0,0,0,0,2.3,121,-4,1,12,4,0.3,0,1.7,0,0,1,0,0,0.1,771,0,241,0,0,366,61,-1,0,63,Stoke,Man Utd,Everton,Crystal Palace,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michael,Kightly,MID,BUR,4300000,2,4,0.148148148148148,3.44530577088717E-08,9.30232558139535E-07,0,7524,0,1,0,0,0,0,0,0.9,623,-2,0,4,2,0.2,0,1,0,0,0,0,0,0.4,7539,0,0,0,0,95,413,0,0,14,Man Utd,Crystal Palace,West Brom,Man City,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andy,King,MID,LEI,4800000,2,8,0.296296296296296,6.17283950617284E-08,1.66666666666667E-06,0,9724,0,4,0,0,0,0,0,1.7,296,-2,0,8,2,0.2,0,1,0,0,0,0,0,0.2,2558,0,174,0,0,265,76,0,0,37,Tottenham,West Brom,Watford,Middlesbrough,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Joshua,King,MID,BOU,5400000,3,31,3.9,7.22222222222222E-07,5.74074074074074E-06,0,33425,0,10,0,0,0,2,0,5.7,1529,-1,0,31,1,0.8,0,4.3,2,0,2,0,1,0.8,36744,0,321,0,0,578,4431,0,0,110,Middlesbrough,Sunderland,Stoke,Arsenal,Liverpool,3.8,5.6,2.5,2,3.6,2.1,5.8,4.7,2,3.1,3.1,3.2,4.6,4.2,2.1,4,2.4,2.7,4.3,4.6,2,2,4.4,2,5,3.2,4.4,5.7,2.4
Stephen,Kingsley,DEF,SWA,4100000,6,18,3,7.31707317073171E-07,4.39024390243902E-06,0,181059,0,6,0,0,0,0,0,4.4,6787,1,0,18,-1,0.5,0,2,2,0,2,0,0,12.3,435139,0,75,0,1,495,19583,0,0,102,Stoke,Man Utd,Everton,Crystal Palace,Tottenham,4.2,2.4,2.5,3.4,3.3,3.2,3.2,3.2,4,4,3.9,3.7,3.9,3.4,2.5,3.2,2.4,3.6,3.7,2.9,2.3,3.7,4,3.2,3.8,2.3,2.8,3.1,3
Jan,Kirchhoff,MID,SUN,4400000,0,6,0.222222222222222,5.05050505050505E-08,1.36363636363636E-06,0,2225,1,8,0,0,0,0,0,1.3,105,-1,1,6,1,0,0,0,0,0,0,0,0,0,660,0,118,0,0,298,2,-1,0,38,Arsenal,Bournemouth,Hull City,Liverpool,Leicester,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ragnar,Klavan,DEF,LIV,4800000,0,4,1.3,2.70833333333333E-07,8.33333333333333E-07,0,34479,0,6,0,0,0,0,0,0.8,1315,-2,0,4,2,0,0,0,0,0,0,0,0,0.5,7765,0,0,0,0,270,77,0,0,53,Crystal Palace,Watford,Southampton,Sunderland,Bournemouth,1,0.8,0.6,1.1,0.6,1.5,0.7,0.6,1.4,0.8,0.7,0.6,0.8,0.9,0.9,1.3,0.6,1.8,1.2,0.6,0.9,1.4,1.1,0.7,1.1,0.7,1.2,1.1,0.7
Aleksandar,Kolarov,DEF,MCI,5800000,1,13,1.6,2.75862068965517E-07,2.24137931034483E-06,0,101527,3,7,0,0,0,0,0,2.2,7143,-2,1,13,2,0,0,0,0,0,1,0,0,3.7,34658,1,429,0,0,662,889,-1,0,104,West Brom,Middlesbrough,Crystal Palace,Burnley,Chelsea,1,0.9,1.4,0.8,1.2,0.8,1.1,2.1,1.3,1.5,1.6,0.8,1.7,1.6,1.1,0.9,1,1,1.8,2.1,2.1,0.8,1.1,1,1.3,1,1.5,1.4,1
