FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Gareth,McAuley,DEF,WBA,4900000,8,72,3.6,7.3469387755102E-07,1.46938775510204E-05,0,419043,3,24,0,0,0,4,0,14.7,17252,4,0,72,-4,0.6,0,2.7,5,0,3,0,0,27.8,1084002,0,339,0,2,1800,29385,0,0,311,Tottenham,Sunderland,Middlesbrough,Stoke,West Ham,3.3,4.1,3.5,4.8,4.4,4.9,4.4,3,5,2.8,3.3,5.1,5,3.5,3.8,2.6,4.1,3.6
Oliver,McBurnie,FWD,SWA,4500000,0,3,0.05,1.11111111111111E-08,6.66666666666667E-07,0,4622,0,1,0,0,0,0,0,0.7,141,0,0,3,0,0.1,0,0.3,0,0,0,0,0,0.1,5782,0,0,0,0,46,64,0,0,10,Arsenal,Liverpool,Southampton,Man City,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,McCarthy,GLK,SOU,4300000,0,0,0,0,0,0,5124,0,0,0,0,0,0,0,0,88,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,677,0,82,0,0,0,13,0,0,0,Burnley,Leicester,Swansea,West Ham,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,McCarthy,MID,EVE,4800000,0,9,0.15,3.125E-08,1.875E-06,0,11452,2,8,0,0,0,0,0,1.9,108,-2,0,9,2,0.1,0,0.7,0,0,0,0,0,0.2,2273,0,365,0,0,456,29,0,0,46,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,McClean,MID,WBA,4900000,1,33,0.55,1.12244897959184E-07,6.73469387755102E-06,0,12000,5,13,0,0,0,1,0,6.7,142,-1,0,33,1,0.2,0,0.8,1,0,2,0,2,0.2,9013,0,336,0,0,757,81,0,0,147,Tottenham,Sunderland,Middlesbrough,Stoke,West Ham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Luke,McGee,GLK,TOT,4000000,0,0,0,0,0,0,2674,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2984,0,0,0,0,0,52,0,0,0,West Brom,Man City,Sunderland,Middlesbrough,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan,McGregor,GLK,HUL,4400000,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,14,-1,0,0,1,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,10,0,0,0,Bournemouth,Chelsea,Man Utd,Liverpool,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum,McManaman,MID,WBA,4300000,0,0,0,0,0,0,7499,0,0,0,0,0,0,0,0,276,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,4256,0,27,0,0,0,10,0,0,0,Tottenham,Sunderland,Middlesbrough,Stoke,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,McNair,DEF,SUN,4200000,0,12,0.2,4.76190476190476E-08,2.85714285714286E-06,0,14194,0,9,0,0,0,0,0,2.9,186,-3,0,12,3,0,0,0,0,0,1,0,0,0.2,4716,1,28,0,0,353,38,0,0,58,Stoke,West Brom,Tottenham,Crystal Palace,Southampton,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sam,McQueen,MID,SOU,4300000,2,18,0.3,6.97674418604651E-08,4.18604651162791E-06,0,3244,0,8,0,0,0,0,0,4.2,273,-2,0,18,2,0.3,0,1.3,0,0,1,0,1,0.1,5303,0,0,0,0,480,403,0,0,109,Burnley,Leicester,Swansea,West Ham,Sunderland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ben,Mee,DEF,BUR,4500000,7,53,2.6,5.77777777777778E-07,1.17777777777778E-05,0,40403,3,31,0,0,0,1,0,11.8,3440,0,0,53,0,0.8,0,3.5,1,0,4,0,2,1.7,79655,1,0,0,0,1800,13836,0,0,351,Southampton,Arsenal,Leicester,Watford,Chelsea,3.6,2.2,2.7,1.5,2.9,1.9,1.6,1.9,1.3,3.2,3.4,1.6,1.3,2.2,2,3.1,1.7,3.9
Nampalys,Mendy,MID,LEI,4400000,3,3,0.05,1.13636363636364E-08,6.81818181818182E-07,0,29703,1,0,0,0,0,0,0,0.7,150,-1,0,3,1,0.1,0,0.5,0,0,1,0,0,0.3,2995,0,0,0,0,134,209,0,0,11,Chelsea,Southampton,Burnley,Man Utd,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
