FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Jordon,Mutch,MID,CRY,4400000,0,1,0.0666666666666667,1.51515151515152E-08,2.27272727272727E-07,0,2449,0,1,0,0,0,0,0,0.2,488,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,1218,0,54,0,0,9,177,0,0,7,Sunderland,Everton,West Ham,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boaz,Myhill,GLK,WBA,4300000,0,0,0,0,0,0,21543,0,0,0,0,0,0,0,0,3332,-2,1,0,2,0,0,0,0,0,0,0,0,0.8,1147,0,218,0,0,0,175,-1,0,0,Stoke,Sunderland,Tottenham,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samir,Nasri,MID,MCI,6400000,0,1,1,1.5625E-07,1.5625E-07,0,10770,0,0,0,0,0,0,0,0.2,675,-1,0,1,1,0,0,0.3,0,0,0,0,0,0.2,784,0,164,0,0,16,17,0,0,0,Swansea,Tottenham,Everton,Southampton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle,Naughton,DEF,SWA,4500000,1,10,2,4.44444444444444E-07,2.22222222222222E-06,0,19785,1,7,0,0,0,0,0,2.2,3506,0,0,10,0,0.2,0,1,0,0,1,0,0,1.2,19424,0,239,0,0,450,1300,0,0,88,Man City,Liverpool,Arsenal,Watford,Stoke,1,2.6,2.9,1.1,2.7,1,1.5,2,1.7,1.4,1.7,1.4,2.7,2.4,2.2,2.3,2.3,2.7,1.3,1.5,1.3,1.8,2.2,1.8,1,1.4,2.4,1.7,2.1,1.1,1,2,1.4
Jesus,Navas,MID,MCI,6300000,0,6,0.4,6.34920634920635E-08,9.52380952380952E-07,0,26466,0,2,0,0,0,0,0,0.9,4411,-2,1,6,2,0,0,0,0,0,0,0,1,0.7,10217,0,408,0,0,100,294,-1,0,21,Swansea,Tottenham,Everton,Southampton,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Didier,Ndong,MID,SUN,5000000,1,2,0.133333333333333,2.66666666666667E-08,4E-07,0,248,1,1,0,0,0,0,0,0.4,63,0,0,2,0,0.2,0,1,0,0,0,0,0,0,505,0,0,0,0,108,88,0,0,11,Crystal Palace,West Brom,Stoke,West Ham,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alvaro,Negredo,FWD,MID,6700000,2,25,5,7.46268656716418E-07,3.73134328358209E-06,0,460542,0,7,0,0,0,1,0,3.7,193847,2,2,25,-2,0.3,0,2,5,0,1,0,2,24.7,877487,0,0,0,1,450,37146,-2,0,64,Tottenham,West Ham,Watford,Arsenal,Bournemouth,5.1,6.1,6.2,6.7,7.4,6.4,6.6,5,5.6,5.7,7.5,6,5.8,5.8,7,7.1,7.5,5.7,5,5,6,7.1,6.3,5.5,7.1,7.5,7.5,5.8,5.4,6.5,6.5,7.5,6.1
Julien,Ngoy,FWD,STK,4500000,0,0,0,0,0,0,715,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,1753,0,0,0,0,0,468,0,0,0,West Brom,Man Utd,Sunderland,Hull City,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oumar,Niasse,FWD,EVE,5800000,0,0,0,0,0,0,1476,0,0,0,0,0,0,0,0,162,-2,0,0,2,0,0,0,0,0,0,0,0,0,480,0,19,0,0,0,102,0,0,0,Bournemouth,Crystal Palace,Man City,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,N'Jie,FWD,TOT,5900000,0,0,0,0,0,0,1450,0,0,0,0,0,0,0,0,127,-1,0,0,1,0,0,0,0,0,0,0,0,0,227,0,38,0,0,0,24,0,0,0,Middlesbrough,Man City,West Brom,Bournemouth,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges-Kevin,Nkoudo,MID,TOT,6900000,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,57,-1,1,0,1,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,14,-1,0,0,Middlesbrough,Man City,West Brom,Bournemouth,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark,Noble,MID,WHU,6400000,1,9,1.8,2.8125E-07,1.40625E-06,0,77432,1,12,0,0,0,0,0,1.4,16294,-1,1,9,1,0.2,0,1.3,0,0,1,0,0,2.4,8637,0,581,0,0,383,168,-1,0,58,Southampton,Middlesbrough,Crystal Palace,Sunderland,Everton,1.9,1.7,0.9,1.7,0.9,1.4,0.9,1,0.9,0.9,2.2,0.9,1,0.9,1.6,1.3,1.2,0.9,0.9,1.2,0.9,1.2,0.9,2.1,1.1,0.9,1.3,1.2,1,1,1.1,1.2,0.9
,Nolito,MID,MCI,8900000,3,24,1.6,1.79775280898876E-07,2.69662921348315E-06,0,195923,0,2,0,0,0,2,0,2.7,118398,-1,1,24,1,0.4,0,3.3,2,0,1,0,2,2.3,200195,0,0,0,1,329,1509,-1,1,76,Swansea,Tottenham,Everton,Southampton,West Brom,0,0,0.8,1.4,0.8,1.2,0.8,0.8,0.8,0.8,0.8,0.8,1.2,0.8,1.6,0.8,0.8,0.8,0.9,0.8,1.2,1.3,1,0.8,0.8,0.8,0.8,0.8,0.8,1.2,0.9,1.6,0.9
Kristoffer,Nordfeldt,GLK,SWA,4000000,0,0,0,0,0,0,17173,0,0,0,0,0,0,0,0,3590,0,0,0,0,0,0,0,0,0,0,0,0,2.6,4641,0,10,0,0,0,708,0,0,0,Man City,Liverpool,Arsenal,Watford,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havard,Nordtveit,MID,WHU,4800000,2,7,2.3,4.79166666666667E-07,1.45833333333333E-06,0,3093,0,5,0,0,0,0,0,1.4,350,-2,1,7,2,0.1,0,0.7,0,0,1,0,0,0.1,858,0,0,0,0,235,53,-1,0,41,Southampton,Middlesbrough,Crystal Palace,Sunderland,Everton,2.7,2.5,1.2,2.4,1.2,2,1.2,1.5,1.2,1.2,3,1.4,1.6,1.2,2.3,2,1.7,1.4,1.2,1.8,1.3,1.8,1.2,3,1.7,1.2,2,1.8,1.6,1.5,1.7,1.8,1.2
,Nsue,DEF,MID,4500000,0,10,2.5,5.55555555555556E-07,2.22222222222222E-06,0,10801,0,5,0,0,0,0,0,2.2,2862,0,0,10,0,0.4,0,2,0,0,1,0,0,0.5,6681,0,0,0,0,320,419,0,0,49,Tottenham,West Ham,Watford,Arsenal,Bournemouth,2.3,3,1.8,3.5,3.4,1.7,1.8,1.3,1.5,2.7,3.7,2.1,1.6,1.5,2.3,2.2,3.7,2.2,2.2,1.7,2.9,3.5,2.2,1.4,2.7,2.8,2.8,3.1,2.4,1.7,1.8,3.8,3
David,Nugent,FWD,MID,4800000,1,4,0.266666666666667,5.55555555555556E-08,8.33333333333333E-07,0,18045,0,0,0,0,0,0,0,0.8,1961,-2,0,4,2,0.1,0,0.7,0,0,0,0,0,0.4,4508,0,0,0,0,43,1251,0,0,11,Tottenham,West Ham,Watford,Arsenal,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Allan-Romeo,Nyom,DEF,WBA,4300000,0,0,0,0,0,0,18065,1,0,0,0,0,0,0,0,2410,-2,1,0,2,0,0,0,0,0,0,0,0,0.5,1781,0,275,0,0,23,387,-1,0,0,Stoke,Sunderland,Tottenham,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro,Obiang,MID,WHU,4400000,0,0,0,0,0,0,5186,1,0,0,0,0,0,0,0,954,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,2240,0,163,0,0,2,419,0,0,1,Southampton,Middlesbrough,Crystal Palace,Sunderland,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moses,Odubajo,DEF,HUL,4500000,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,6,0,0,0,Liverpool,Chelsea,Bournemouth,Stoke,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo,Ogbonna,DEF,WHU,4800000,0,1,0.0666666666666667,1.38888888888889E-08,2.08333333333333E-07,0,20817,0,7,0,0,0,0,0,0.2,2935,-2,1,1,2,0.1,0,0.3,0,0,0,0,0,0.9,2524,0,284,0,0,180,249,-1,0,30,Southampton,Middlesbrough,Crystal Palace,Sunderland,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefano,Okaka,FWD,WAT,5400000,0,0,0,0,0,0,375,1,0,0,0,0,0,0,0,137,-1,1,0,1,0,0,0,0,0,0,0,0,0,456,0,0,0,0,13,34,-1,0,0,Burnley,Bournemouth,Middlesbrough,Swansea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eunan,O'Kane,MID,BOU,4400000,0,0,0,0,0,0,7434,0,0,0,0,0,0,0,0,1027,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,1162,0,84,0,0,0,22,0,0,0,Everton,Watford,Hull City,Tottenham,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shinji,Okazaki,FWD,LEI,5800000,0,6,1.5,2.58620689655172E-07,1.03448275862069E-06,0,51567,0,2,0,0,0,0,0,1,8618,-2,0,6,2,0.2,0,1,0,0,2,0,0,1.5,17923,0,320,0,0,213,4151,0,0,15,Man Utd,Southampton,Chelsea,Crystal Palace,Tottenham,0.8,1.9,0.8,1.3,0.8,1.1,0.9,1.2,1,1.4,0.8,1.4,0.9,1.8,0.8,1.4,0.8,0.8,1.1,0.8,1.9,1.2,0.8,0.8,1.9,1.5,0.8,0.8,1,0.8,1.4,0.8,1.7
Greg,Olley,MID,HUL,4400000,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,67,-1,1,0,1,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,56,-1,0,0,Liverpool,Chelsea,Bournemouth,Stoke,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas,Olsson,DEF,WBA,4500000,0,6,0.4,8.88888888888889E-08,1.33333333333333E-06,0,17260,1,2,0,0,0,0,0,1.3,3380,0,0,6,0,0,0,0,0,0,1,0,0,1,11900,0,261,0,0,180,188,0,0,28,Stoke,Sunderland,Tottenham,Liverpool,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2
Aiden,O'Neill,MID,BUR,4400000,0,2,0.133333333333333,3.03030303030303E-08,4.54545454545455E-07,0,474,0,1,0,0,0,0,0,0.4,96,-1,1,2,1,0.1,0,0.3,0,0,0,0,0,0,644,0,0,0,0,35,40,-1,0,11,Watford,Arsenal,Southampton,Everton,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Joshua,Onomah,MID,TOT,4400000,0,2,0.133333333333333,3.03030303030303E-08,4.54545454545455E-07,0,1209,0,0,0,0,0,0,0,0.5,256,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0.1,740,0,17,0,0,9,214,0,0,8,Middlesbrough,Man City,West Brom,Bournemouth,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Divock,Origi,FWD,LIV,6700000,1,4,1,1.49253731343284E-07,5.97014925373134E-07,0,161895,0,2,0,0,0,0,0,0.6,9894,-3,0,4,3,0.1,0,0.7,0,0,0,0,0,2.2,14752,0,200,0,0,97,3258,0,0,5,Hull City,Swansea,Man Utd,West Brom,Crystal Palace,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.8,0.5,1,0.5,0.5,1.1,0.7,0.5,0.5,0.6,0.7,0.7,0.5,0.5,0.6,1,0.5,0.5,0.9,0.8,0.5,0.6,0.5,1,0.5,0.6
,Oriol Romeu,MID,SOU,4500000,3,13,2.6,5.77777777777778E-07,2.88888888888889E-06,0,5887,0,4,0,0,0,0,0,2.9,1664,0,0,13,0,0.7,0,3.3,3,0,1,0,0,0.4,9790,0,239,0,0,371,4486,0,0,74,West Ham,Leicester,Burnley,Man City,Chelsea,1.3,1.3,3.7,1.3,2.3,1.7,2.3,2,1.3,3.1,1.6,1.3,2.2,2.3,1.3,1.3,3.6,1.6,2.8,1.9,1.6,1.3,2.9,1.3,3.5,2.5,1.3,1.9,1.3,1.9,1.3,1.8,2.6
,Oscar,MID,CHE,7400000,2,13,2.6,3.51351351351351E-07,1.75675675675676E-06,0,42679,1,6,0,0,0,0,0,1.8,8260,-1,1,13,1,0.4,0,3,0,0,1,0,1,1.1,20476,0,321,0,0,416,758,-1,0,84,Arsenal,Hull City,Leicester,Man Utd,Southampton,1.3,2.5,3.2,2.5,1.4,1.6,2.6,1.8,1.3,1.9,2.7,1.7,3.1,2.2,1.4,1.8,1.5,1.3,1.3,1.7,2.1,1.3,1.9,2.3,2.1,1.5,1.6,2.3,2.9,1.6,2.7,1.7,2.6
John,O'Shea,DEF,SUN,4400000,0,2,0.133333333333333,3.03030303030303E-08,4.54545454545455E-07,0,10823,0,3,0,0,0,0,0,0.5,1074,-1,0,2,1,0,0,0,0,0,0,0,0,0.5,2352,0,193,0,0,126,300,0,0,10,Crystal Palace,West Brom,Stoke,West Ham,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
David,Ospina,GLK,ARS,4900000,0,0,0,0,0,0,2837,0,0,0,0,0,0,0,0,423,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,813,0,56,0,0,0,155,0,0,0,Chelsea,Burnley,Swansea,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas,Otamendi,DEF,MCI,6000000,0,11,2.8,4.66666666666667E-07,1.83333333333333E-06,0,42237,1,3,0,0,0,0,0,1.8,11311,0,0,11,0,0.3,0,1.7,2,0,0,0,1,3.4,28264,0,353,0,0,321,5349,0,0,85,Swansea,Tottenham,Everton,Southampton,West Brom,3,2.4,2.2,4.2,2.6,2.1,3.2,1.8,2.4,1.4,2.3,3.7,3.2,3.2,3.4,2.2,2.9,3.2,2.7,2.6,1.8,2.9,3.7,4.2,3.8,1.9,2,3,2.8,2.1,3.6,2.9,2.5
Mamadou Obbi,Oulare,FWD,WAT,4500000,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,32,0,0,0,Burnley,Bournemouth,Middlesbrough,Swansea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,Oviedo,MID,EVE,4400000,0,0,0,0,0,0,3440,0,0,0,0,0,0,0,0,604,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,2300,0,130,0,0,0,142,0,0,0,Bournemouth,Crystal Palace,Man City,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reece,Oxford,DEF,WHU,4400000,0,0,0,0,0,0,10468,0,0,0,0,0,0,0,0,1456,-1,0,0,1,0,0,0,0,0,0,0,0,0.5,1328,0,28,0,0,0,226,0,0,0,Southampton,Middlesbrough,Crystal Palace,Sunderland,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesut,Ozil,MID,ARS,9500000,2,13,0.866666666666667,9.12280701754386E-08,1.36842105263158E-06,0,151349,0,3,0,0,0,1,0,1.4,63928,0,1,13,0,0.4,0,4,1,0,0,0,0,6.8,180323,0,783,0,0,267,5222,-1,0,60,Chelsea,Burnley,Swansea,Middlesbrough,Sunderland,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4
Costel,Pantilimon,GLK,WAT,4400000,0,0,0,0,0,0,7188,0,0,0,0,0,0,0,0,1160,-1,0,0,1,0,0,0,0,0,0,0,0,0.5,905,0,146,0,0,0,149,0,0,0,Burnley,Bournemouth,Middlesbrough,Swansea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Carlos,Paredes,DEF,WAT,4000000,0,0,0,0,0,0,280765,0,0,0,0,0,0,0,0,50521,0,0,0,0,0,0,0,0,0,0,0,0,8.9,12390,0,88,0,0,0,582,0,0,0,Burnley,Bournemouth,Middlesbrough,Swansea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pau Lopez,GLK,TOT,5000000,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,26,0,0,0,Middlesbrough,Man City,West Brom,Bournemouth,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimitri,Payet,MID,WHU,9400000,10,20,1.33333333333333,1.41843971631206E-07,2.12765957446809E-06,0,529585,0,9,0,0,0,0,0,2.1,24790,-1,0,20,1,0.7,0,6.3,3,0,0,0,4,14.1,108112,0,701,0,0,204,34112,0,0,84,Southampton,Middlesbrough,Crystal Palace,Sunderland,Everton,1.2,1.1,0.7,1,0.7,0.8,0.7,0.7,0.7,0.7,1.4,0.7,0.7,0.7,1,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.4,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7
,Pedro,MID,CHE,7200000,1,7,0.466666666666667,6.48148148148148E-08,9.72222222222222E-07,0,15201,1,1,0,0,0,0,0,1,1674,-3,1,7,3,0.2,0,1.7,0,0,0,0,1,0.3,2069,0,399,0,0,98,86,-1,0,36,Arsenal,Hull City,Leicester,Man Utd,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Matthew,Pennington,DEF,EVE,4000000,0,0,0,0,0,0,2363,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0.1,578,0,53,0,0,0,174,0,0,0,Bournemouth,Crystal Palace,Man City,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas,Pereira,MID,MUN,4400000,0,0,0,0,0,0,2161,0,0,0,0,0,0,0,0,210,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,612,0,12,0,0,0,16,0,0,0,Leicester,Stoke,Liverpool,Chelsea,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto,Pereyra,MID,WAT,6000000,5,16,5.3,8.83333333333333E-07,2.66666666666667E-06,0,9823,0,3,0,0,0,1,0,2.7,3545,0,0,16,0,0.9,0,5.3,0,0,0,0,2,0.9,39500,0,0,0,0,225,13960,0,0,73,Burnley,Bournemouth,Middlesbrough,Swansea,Hull City,5.9,7.4,7.5,7.2,4.2,3.9,7.7,5.7,5.9,4.6,4.5,7.6,5.5,4.9,7.1,6.6,5.6,5,7.8,7.1,6.1,7.2,5.4,5.7,6.4,5.2,5.1,5.5,7.4,5.2,6,5.7,4.2
Lucas,Perez,FWD,ARS,8300000,1,3,1.5,1.80722891566265E-07,3.6144578313253E-07,0,20315,0,1,0,0,0,0,0,0.4,9158,-2,2,3,2,0.2,0,1.5,0,0,0,0,0,0.4,32919,0,0,0,0,64,3631,-2,0,12,Chelsea,Burnley,Swansea,Middlesbrough,Sunderland,1,0.9,0.9,0.8,1.5,0.8,0.9,1.3,1.1,1.5,0.9,1.1,0.8,0.9,0.8,1.3,1.5,1,1.1,0.9,0.9,1.1,1.2,1,1,1.5,1,1.1,1.1,0.8,0.8,1.9,0.8
Matt,Phillips,MID,WBA,5400000,5,15,3,5.55555555555556E-07,2.77777777777778E-06,0,6867,0,5,0,0,0,0,0,2.8,1218,-1,0,15,1,0.6,0,3.3,0,0,2,0,1,0.2,2539,0,0,0,0,424,334,0,0,46,Stoke,Sunderland,Tottenham,Liverpool,Man City,3,3.4,2.1,1.5,1.8,2.4,3.9,3.2,2.3,2.1,2.5,3,1.8,1.9,1.8,1.9,3.1,3.3,2.6,1.8,3.6,2.5,2.2,1.5,3,2.7,3.5,2.3,1.6,3.8,2.3,2.3,3.1
Jordan,Pickford,GLK,SUN,4000000,4,11,3.7,9.25E-07,2.75E-06,0,54448,0,5,0,20,0,0,0,2.8,6810,0,0,11,0,0.9,0,3.7,0,0,0,0,0,10.1,114981,0,18,0,0,270,55834,0,0,66,Crystal Palace,West Brom,Stoke,West Ham,Arsenal,4.9,3.8,5.3,4.6,4.5,4.3,2.8,4.6,4,4.8,3.3,3.2,2.9,3.1,5.5,4.5,4.2,4,4.9,5.6,3.7,3.1,3.6,4.7,4.1,2.6,2.5,5.4,5.3,5.6,5,3.7,3.4
Jeremy,Pied,DEF,SOU,4900000,0,1,0.0666666666666667,1.36054421768707E-08,2.04081632653061E-07,0,2158,0,0,0,0,0,0,0,0.2,175,-1,0,1,1,0,0,0,0,0,0,0,0,0,110,0,0,0,0,12,4,0,0,2,West Ham,Leicester,Burnley,Man City,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Pienaar,MID,SUN,5000000,2,5,0.333333333333333,6.66666666666667E-08,1E-06,0,377,1,2,0,0,0,0,0,1,124,0,0,5,0,0.3,0,1.3,0,0,1,0,0,0,577,0,0,0,0,182,93,0,0,20,Crystal Palace,West Brom,Stoke,West Ham,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Erik,Pieters,DEF,STK,4400000,0,3,0.8,1.81818181818182E-07,6.81818181818182E-07,0,80795,1,10,0,0,0,0,0,0.7,18356,-1,1,3,1,0.1,0,0.3,0,0,0,0,0,3.2,12442,0,388,0,0,360,1874,-1,0,43,West Brom,Man Utd,Sunderland,Hull City,Swansea,0.4,0.4,0.4,0.5,0.4,0.6,0.6,0.4,0.4,0.9,0.8,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.5,0.8,0.4,0.7,0.5
Sebastien,Pocognoli,DEF,WBA,4000000,0,0,0,0,0,0,11893,0,0,0,0,0,0,0,0,1843,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1602,0,16,0,0,0,51,0,0,0,Stoke,Sunderland,Tottenham,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul,Pogba,MID,MUN,8300000,1,9,2.3,2.7710843373494E-07,1.08433734939759E-06,0,297159,1,5,0,0,0,0,0,1.1,107464,-2,2,9,2,0.2,0,2,0,0,2,0,0,10,213125,0,0,0,0,360,4086,-2,0,50,Leicester,Stoke,Liverpool,Chelsea,Burnley,2.6,1.7,1.2,1.3,2.7,2.1,1.2,1.9,1.4,1.4,1.4,1.5,2.1,2.1,1.2,1.5,2,1.2,1.5,1.5,1.2,2.5,1.2,2.2,1.5,1.3,2.3,1.5,1.5,1.6,1.2,1.2,1.6
