FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Adam,Matthews,DEF,SUN,4000000,0,0,0,0,0,0,841,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,4,0,0,0,39,0,0,0,Crystal Palace,West Brom,Stoke,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfie,Mawson,DEF,SWA,4500000,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,17,0,0,0,Man City,Liverpool,Arsenal,Watford,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dieumerci,Mbokani,FWD,HUL,5500000,4,4,0.266666666666667,4.84848484848485E-08,7.27272727272727E-07,0,796,0,2,0,0,0,0,0,0.7,460,0,0,4,0,0.4,0,2,0,0,0,0,1,0.1,2724,0,0,0,0,14,1914,0,0,11,Liverpool,Chelsea,Bournemouth,Stoke,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
James,McArthur,MID,CRY,4900000,8,12,4,8.16326530612245E-07,2.44897959183673E-06,0,905,1,3,0,0,0,1,0,2.4,393,-1,0,12,1,0.8,0,4,2,0,0,0,0,0.1,2360,0,282,0,0,245,2196,0,0,53,Sunderland,Everton,West Ham,Leicester,Liverpool,4.9,3.3,4.5,3.5,3.8,3.4,3.1,4.5,5.4,4.7,4.8,3.8,3.9,2.8,4.1,2.7,3.4,3.2,4.9,4.4,5,3.4,3.6,3.8,3.1,2.9,2.6,5.7,2.1,5.8,2.5,3.1,4.4
Gareth,McAuley,DEF,WBA,4800000,1,23,4.6,9.58333333333333E-07,4.79166666666667E-06,0,77185,0,5,0,0,0,1,0,4.9,21356,3,-1,23,-3,0.6,0,3,1,0,2,0,0,26,605665,0,339,0,1,450,112751,1,0,94,Stoke,Sunderland,Tottenham,Liverpool,Man City,6.4,6,5.7,5.5,4.6,3.5,6.5,6.4,4.7,4.5,5.4,3.9,6.4,5.3,4.2,5.3,5.6,4.7,5.9,5.5,6.9,6.3,4.9,5.9,3.9,5.4,6.9,6.9,4.3,5.7,4.1,4.9,6.2
Oliver,McBurnie,FWD,SWA,4500000,0,1,0.0666666666666667,1.48148148148148E-08,2.22222222222222E-07,0,1631,0,0,0,0,0,0,0,0.2,459,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.1,3300,0,0,0,0,5,499,0,0,3,Man City,Liverpool,Arsenal,Watford,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,McCarthy,GLK,SOU,4400000,0,0,0,0,0,0,2516,0,0,0,0,0,0,0,0,420,-1,1,0,1,0,0,0,0,0,0,0,0,0.2,398,0,82,0,0,0,62,-1,0,0,West Ham,Leicester,Burnley,Man City,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,McCarthy,MID,EVE,4800000,0,3,0.2,4.16666666666667E-08,6.25E-07,0,9097,0,2,0,0,0,0,0,0.6,908,-2,1,3,2,0,0,0,0,0,0,0,0,0.2,1648,0,365,0,0,127,15,-1,0,14,Bournemouth,Crystal Palace,Man City,Burnley,West Ham,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,McClean,MID,WBA,5000000,7,15,3.8,7.6E-07,3E-06,0,4868,0,2,0,0,0,1,0,3,851,0,0,15,0,0.7,0,3.3,0,0,1,0,1,0.3,5774,0,336,0,0,200,2128,0,0,61,Stoke,Sunderland,Tottenham,Liverpool,Man City,4.3,4.8,3.1,2,2.7,3.4,5.3,4.5,3.3,3,3.6,4.2,2.7,2.8,2.7,2.8,4.4,4.7,3.7,2.6,5,3.6,3.2,2.3,4.2,3.8,4.9,3.3,2.4,5.2,3.3,3.3,4.4
Luke,McGee,GLK,TOT,4000000,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1896,0,0,0,0,0,143,0,0,0,Middlesbrough,Man City,West Brom,Bournemouth,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan,McGregor,GLK,HUL,4500000,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,24,0,0,0,Liverpool,Chelsea,Bournemouth,Stoke,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum,McManaman,MID,WBA,4400000,0,0,0,0,0,0,3415,0,0,0,0,0,0,0,0,643,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,1016,0,27,0,0,0,189,0,0,0,Stoke,Sunderland,Tottenham,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,McNair,DEF,SUN,4400000,1,0,0,0,0,0,6683,0,3,0,0,0,0,0,0,1045,-1,0,0,1,0.1,0,0.3,0,0,0,0,0,0.4,2637,1,28,0,0,54,1408,0,0,5,Crystal Palace,West Brom,Stoke,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Mee,DEF,BUR,4500000,-1,9,1.8,4E-07,2E-06,0,11102,1,8,0,0,0,0,0,2,2711,0,0,9,0,0.1,0,0.3,0,0,1,0,0,0.6,8558,1,0,0,0,450,481,0,0,80,Watford,Arsenal,Southampton,Everton,Man Utd,1.4,2.6,1,1.3,0.9,2.2,0.9,1.3,1.6,2.6,1.3,0.9,1.3,1.7,0.9,2.7,1.9,1.8,0.9,1.4,1.1,1.1,1.2,1,1.8,2.3,0.9,0.9,1.1,1.1,1.7,0.9,2.7
