FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Isaac,Success,MID,WAT,5800000,6,9,0.428571428571429,7.38916256157636E-08,1.55172413793103E-06,0,2294,1,1,0,0,0,1,0,1.6,131,-2,0,9,2,0.4,0,2.3,0,0,0,0,0,0.1,863,0,0,0,0,103,464,0,0,31,Middlesbrough,Swansea,Hull City,Liverpool,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andrew,Surman,MID,BOU,4800000,2,15,2.1,4.375E-07,3.125E-06,0,5197,1,11,0,0,0,0,0,3.1,373,-2,0,15,2,0.4,0,2,0,0,2,0,0,0.2,1310,0,385,0,0,630,232,0,0,102,Hull City,Tottenham,Middlesbrough,Sunderland,Stoke,1.5,1.6,1.3,2.3,1,1,1.5,1,2.6,2,1,1.1,1.1,1.1,1.9,1.7,1,1.6,1,1,1.8,1.8,1,1,1.7,1,2.2,1.2,1.9,2.6,1
Franck,Tabanou,DEF,SWA,4400000,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,56,-1,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,2,0,0,0,Arsenal,Watford,Stoke,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusan,Tadic,MID,SOU,7200000,3,29,4.1,5.69444444444444E-07,4.02777777777778E-06,0,138069,0,4,0,0,0,1,0,4,4611,-3,0,29,3,0.8,0,5.7,0,0,4,0,2,3,49869,0,564,0,0,554,21996,0,0,103,Burnley,Man City,Chelsea,Hull City,Liverpool,5.9,2.3,4.3,4.4,3.8,4.5,3.4,5.2,4,2.8,4,4.2,3.1,2.9,5.9,4.3,4.5,4.5,3,3.6,4.6,2.6,5.7,4.2,3.4,4.1,3,3.8,2,4.7,4.6
Matt,Targett,DEF,SOU,4400000,0,5,0.238095238095238,5.41125541125541E-08,1.13636363636364E-06,0,24222,0,4,0,0,0,0,0,1.1,2298,-1,0,5,1,0,0,0,0,0,0,0,0,0.6,12797,0,169,0,0,270,727,0,0,53,Burnley,Man City,Chelsea,Hull City,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,Tarkowski,DEF,BUR,4000000,0,0,0,0,0,0,25656,1,1,0,0,0,0,0,0,1922,0,0,0,0,0,0,0,0,0,0,0,0,1.5,14655,0,0,0,0,19,1332,0,0,-2,Southampton,Everton,Man Utd,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil,Taylor,DEF,SWA,4300000,0,1,0.0476190476190476,1.10741971207087E-08,2.32558139534884E-07,0,32142,0,1,0,0,0,0,0,0.2,1285,-2,1,1,2,0,0,0,0,0,0,0,0,0.4,1919,0,321,0,0,40,214,-1,0,1,Arsenal,Watford,Stoke,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dionatan do Nascimento,Teixeira,DEF,STK,4000000,0,0,0,0,0,0,23014,0,0,0,0,0,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3005,0,12,0,0,0,51,0,0,0,Sunderland,Hull City,Swansea,West Ham,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John,Terry,DEF,CHE,5400000,0,10,2.5,4.62962962962963E-07,1.85185185185185E-06,0,148976,1,4,0,0,0,0,0,1.9,8613,-1,0,10,1,0,0,0,0,0,1,0,0,2.5,54184,0,228,0,0,360,869,0,0,64,Leicester,Man Utd,Southampton,Everton,Middlesbrough,2.6,1.7,2.2,2.3,1.8,2.8,1.4,2.4,2,2.5,3.6,3.2,2.1,1.3,2,2.7,3.4,1.6,2.2,3,2.2,3.1,2.8,2.2,1.9,1.4,3.1,1.6,1.9,2.1,2.4
,Thomas Robson,DEF,SUN,4000000,0,0,0,0,0,0,1546,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3796,0,0,0,0,0,404,0,0,0,Stoke,West Ham,Arsenal,Bournemouth,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
