FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Victor,Wanyama,MID,TOT,5000000,2,22,3.1,6.2E-07,4.4E-06,0,137823,2,3,0,0,0,1,0,4.4,11978,0,0,22,0,0.5,0,2.3,3,0,3,0,0,4.2,194500,0,268,0,1,594,6452,0,0,121,West Brom,Bournemouth,Leicester,Arsenal,West Ham,2.2,1.8,4,1.6,2.9,2,2.9,2.6,2.4,4,2,2.4,2.8,2.7,1.6,3.1,3.5,1.6,2.9,2.9,2.2,3.1,1.9,2.9,3.1,3.9,2.2,1.9,2,3,3
Joel,Ward,DEF,CRY,4900000,8,18,2.6,5.30612244897959E-07,3.6734693877551E-06,0,20121,1,8,0,0,0,0,0,3.7,1316,-1,0,18,1,0.8,0,3.7,3,0,0,0,1,0.9,11609,0,333,0,0,627,6079,0,0,114,West Ham,Leicester,Liverpool,Burnley,Man City,3.6,1.5,3.9,1.9,2.2,2.7,3.1,2.9,1.7,2.1,2.1,3.6,2.2,3.3,2.2,2.3,2.4,3.4,1.9,2.4,2.8,2.2,1.9,2.6,3.4,2.6,3.1,3.3,1.6,1.9,1.7
Stephen,Ward,DEF,BUR,4500000,2,19,2.7,6E-07,4.22222222222222E-06,0,3513,1,9,0,0,0,0,0,4.2,830,0,0,19,0,0.7,0,3,0,0,2,0,0,0.4,12359,0,0,0,0,630,4746,0,0,109,Southampton,Everton,Man Utd,Crystal Palace,West Brom,1.8,2.9,1.4,3.5,1.6,2.9,2.7,4.1,2.5,1.7,2.5,3.1,1.4,3.8,2.8,3.3,1.4,2.8,2.1,1.9,2.3,1.6,3.5,3.9,1.4,1.4,2.3,2.1,3.1,1.5,4.1
James,Ward-Prowse,MID,SOU,5200000,1,13,0.619047619047619,1.19047619047619E-07,2.5E-06,0,7861,0,2,0,0,0,1,0,2.5,416,-3,0,13,3,0.4,0,2.3,0,0,0,0,1,0.2,1376,0,266,0,0,93,190,0,0,49,Burnley,Man City,Chelsea,Hull City,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Marcin,Wasilewski,DEF,LEI,4000000,0,0,0,0,0,0,18404,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,1.1,12379,0,35,0,0,0,1414,0,0,0,Chelsea,Crystal Palace,Tottenham,West Brom,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duncan,Watmore,MID,SUN,5000000,5,17,2.4,4.8E-07,3.4E-06,0,5440,1,11,0,0,0,0,0,3.4,331,0,0,17,0,0.5,0,2.7,0,0,0,0,2,0.1,5108,0,185,0,0,436,429,0,0,47,Stoke,West Ham,Arsenal,Bournemouth,Hull City,1.9,1.4,1.2,1.3,1.4,1.2,2.7,2.1,1.7,1.9,1.8,1.4,1.4,1.8,1.6,1.6,1.6,2,1.5,1.6,2.4,2.7,1.7,1.6,1.9,1.8,1.2,2.6,2.2,1.8,1.4
Ben,Watson,MID,WAT,4300000,0,-2,-0.0952380952380952,-2.21483942414175E-08,-4.65116279069767E-07,0,43765,0,0,0,0,0,0,0,-0.5,2043,-2,1,-2,2,0,0,0,0,0,0,0,0,0.8,3578,0,351,0,0,12,1655,-1,1,-6,Middlesbrough,Swansea,Hull City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Weir,MID,HUL,4500000,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,15,0,0,0,Bournemouth,Stoke,Watford,Southampton,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny,Welbeck,FWD,ARS,7400000,0,0,0,0,0,0,2254,0,0,0,0,0,0,0,0,130,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,640,0,164,0,0,0,70,0,0,0,Swansea,Middlesbrough,Sunderland,Tottenham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn,Whelan,MID,STK,4400000,2,13,1.9,4.31818181818182E-07,2.95454545454545E-06,0,17941,2,15,0,0,0,0,0,3,1409,-1,0,13,1,0.4,0,1.7,1,0,0,0,0,0.8,10394,0,432,0,0,606,1525,0,0,89,Sunderland,Hull City,Swansea,West Ham,Bournemouth,1.6,1.6,1.1,1,1.7,1.2,1.8,1,1.3,1.8,1,1,1.2,1.6,1.2,1.2,1.2,1,1,1.5,1,1.1,1.1,1,1,1,1.5,1.2,1,1,1
Connor,Wickham,FWD,CRY,5600000,0,7,1.8,3.21428571428571E-07,1.25E-06,0,38914,0,3,0,0,0,0,0,1.2,1451,-4,1,7,4,0.1,0,0.3,0,0,0,0,0,0.4,7615,0,225,0,0,263,379,-1,0,14,West Ham,Leicester,Liverpool,Burnley,Man City,1.8,1,2.1,1,1.7,1.8,1.3,2.2,1.1,1.5,1.6,1.1,1.5,1.5,1.3,1,1.6,2,1.3,1.3,1.1,1.7,1.3,1,1,1.7,1.5,1.9,1.3,1.5,1.2
Georginio,Wijnaldum,MID,LIV,7600000,2,20,2.9,3.81578947368421E-07,2.63157894736842E-06,0,99627,0,10,0,0,0,0,0,2.6,10419,-4,1,20,4,0.3,0,2,0,0,0,0,2,1.7,11614,0,630,0,0,605,220,-1,0,113,Man Utd,West Brom,Crystal Palace,Watford,Southampton,0,2.6,1.7,3,1.5,3.5,1.4,2.8,2.6,1.6,2.9,2.6,2.4,2,2.8,2.7,2.3,2.5,1.7,1.8,3.9,1.4,2.8,3.7,2.1,1.7,2.6,1.8,3,1.5,3.3
Ashley,Williams,DEF,EVE,5100000,2,19,3.2,6.27450980392157E-07,3.72549019607843E-06,0,106732,0,3,0,0,0,0,0,3.7,15279,1,-1,19,-1,0.4,0,2,0,0,2,0,0,9.2,155685,0,487,0,0,460,5045,1,0,110,Man City,Burnley,West Ham,Chelsea,Swansea,2.1,2.4,4.7,2.4,3.2,3.3,2.5,2.6,4.4,4.8,2,3.6,4.3,3.3,3.6,4.2,4.8,2.7,3.5,3.1,3.5,2.9,3.6,2.2,3.8,4.5,3.8,3.2,3.4,3.3,4.2
Jonathan,Williams,MID,CRY,4500000,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,1,0,0,0,8,0,0,0,West Ham,Leicester,Liverpool,Burnley,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Willian,MID,CHE,7300000,10,28,4.7,6.43835616438356E-07,3.83561643835616E-06,0,288778,1,8,0,0,0,2,0,3.8,27321,-2,1,28,2,0.6,0,4.3,5,0,2,0,0,5.1,106371,0,512,0,2,471,12348,-1,0,135,Leicester,Man Utd,Southampton,Everton,Middlesbrough,0,5.5,4,5.3,6,4.8,3.1,5,5.7,4.4,6.7,5.4,3.5,4.4,4.5,2.4,3.6,3.9,5.2,4,5.6,5.1,5,4.9,3.7,4.9,5.6,4.1,6.1,4.4,6.4
Jack,Wilshere,MID,BOU,5900000,1,8,0.380952380952381,6.45682001614205E-08,1.35593220338983E-06,0,32552,2,6,0,0,0,0,0,1.4,3705,-1,0,8,1,0.3,0,2,0,0,1,0,0,0.9,54485,0,18,0,0,282,2193,0,0,22,Hull City,Tottenham,Middlesbrough,Sunderland,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
James,Wilson,FWD,MUN,5000000,0,0,0,0,0,0,2653,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0.1,307,0,1,0,0,0,22,0,0,0,Liverpool,Chelsea,Burnley,Swansea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kane,Wilson,DEF,WBA,4000000,0,0,0,0,0,0,3884,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0.4,11988,0,0,0,0,0,1368,0,0,0,Tottenham,Liverpool,Man City,Leicester,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,Wimmer,DEF,TOT,4700000,0,0,0,0,0,0,4369,0,0,0,0,0,0,0,0,155,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,343,0,131,0,0,0,44,0,0,0,West Brom,Bournemouth,Leicester,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry,Winks,MID,TOT,4500000,0,2,0.0952380952380952,2.11640211640212E-08,4.44444444444444E-07,0,294,0,0,0,0,0,0,0,0.4,23,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0,350,0,0,0,0,6,27,0,0,6,West Brom,Bournemouth,Leicester,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp,Wollscheid,DEF,STK,4500000,0,1,0.5,1.11111111111111E-07,2.22222222222222E-07,0,39097,1,5,0,0,0,0,0,0.2,1436,0,0,1,0,0,0,0,0,0,0,0,0,0.3,718,0,330,0,0,180,1,0,0,23,Sunderland,Hull City,Swansea,West Ham,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Wynter,DEF,CRY,4000000,0,0,0,0,0,0,682,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3034,0,0,0,0,0,1279,0,0,0,West Ham,Leicester,Liverpool,Burnley,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit,Xhaka,MID,ARS,5300000,3,15,0.714285714285714,1.34770889487871E-07,2.83018867924528E-06,0,155717,1,2,0,0,0,1,0,2.8,8956,-2,0,15,2,0.6,0,3.3,0,0,2,0,0,4.3,57625,0,0,0,0,339,6570,0,0,75,Swansea,Middlesbrough,Sunderland,Tottenham,Man Utd,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Claudio,Yacob,MID,WBA,4400000,1,12,1.7,3.86363636363636E-07,2.72727272727273E-06,0,5197,4,7,0,0,0,0,0,2.7,458,-1,1,12,1,0.3,0,1.3,0,0,2,0,0,0.2,3639,0,286,0,0,608,242,-1,0,73,Tottenham,Liverpool,Man City,Leicester,Burnley,0.8,0.8,0.9,0.9,1.6,1.3,1.1,0.8,1,1,0.8,0.8,0.8,0.8,1.4,1.4,1,0.8,1.5,0.9,0.8,0.8,1.1,1,1.1,0.8,0.8,1.6,0.8,0.9,1.2
,Yaya Toure,MID,MCI,7600000,0,0,0,0,0,0,54135,0,0,0,0,0,0,0,0,701,-4,0,0,4,0,0,0,0,0,0,0,0,0.6,1169,0,525,0,0,0,103,0,0,0,Everton,Southampton,West Brom,Middlesbrough,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre,Yedlin,DEF,TOT,4400000,0,0,0,0,0,0,12528,0,0,0,0,0,0,0,0,394,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,353,0,227,0,0,0,10,0,0,0,West Brom,Bournemouth,Leicester,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maya,Yoshida,DEF,SOU,4300000,0,2,0.0952380952380952,2.21483942414175E-08,4.65116279069767E-07,0,8243,0,1,0,0,0,0,0,0.5,528,-2,1,2,2,0,0,0,0,0,0,0,0,0.3,2099,0,152,0,0,90,215,-1,0,17,Burnley,Man City,Chelsea,Hull City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Young,MID,MUN,5200000,0,2,0.0952380952380952,1.83150183150183E-08,3.84615384615385E-07,0,2209,0,2,0,0,0,0,0,0.4,119,-3,0,2,3,0.1,0,0.7,0,0,0,0,0,0.1,447,0,178,0,0,57,50,0,0,10,Liverpool,Chelsea,Burnley,Swansea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo,Zabaleta,DEF,MCI,4800000,1,6,0.285714285714286,5.95238095238095E-08,1.25E-06,0,39998,1,4,0,0,0,0,0,1.3,2395,-2,0,6,2,0.1,0,0.7,0,0,0,0,0,1.4,18706,0,152,0,0,284,3386,0,0,42,Everton,Southampton,West Brom,Middlesbrough,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wilfried,Zaha,MID,CRY,5400000,2,19,3.2,5.92592592592593E-07,3.51851851851852E-06,0,78103,3,5,0,0,0,1,0,3.5,7783,-1,0,19,1,0.2,0,1.3,3,0,0,0,1,2.4,86745,0,353,0,0,475,4344,0,0,77,West Ham,Leicester,Liverpool,Burnley,Man City,2.8,2.6,2.3,2.3,2.5,3.3,3,3.4,2.9,2.7,2.8,1.9,2.8,2.4,2.8,2.1,3.6,3.1,3.4,2.6,2.5,3,2.3,2.4,1.8,4,1.6,4,1.8,2.3,3
Simone,Zaza,FWD,WHU,6500000,1,4,1,1.53846153846154E-07,6.15384615384615E-07,0,29743,2,11,0,0,0,0,0,0.6,3564,-5,1,4,5,0.2,0,1,0,0,0,0,0,0.2,35539,0,0,0,0,256,715,-1,0,12,Crystal Palace,Sunderland,Everton,Stoke,Tottenham,0.5,0.7,0.5,0.8,0.5,0.5,0.5,0.5,0.8,0.6,0.6,0.5,0.5,0.6,0.5,0.7,0.5,0.5,0.6,0.6,0.5,0.7,0.8,0.5,0.6,0.5,0.5,0.7,0.5,1,0.5
Ron-Robert,Zieler,GLK,LEI,4500000,0,8,0.380952380952381,8.46560846560847E-08,1.77777777777778E-06,0,3991,0,5,0,5,0,0,0,1.8,487,0,0,8,0,0.5,0,2.3,0,0,1,0,0,0.3,2337,0,0,0,0,214,117,0,0,43,Chelsea,Crystal Palace,Tottenham,West Brom,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Oleksandr,Zinchenko,MID,MCI,5300000,0,0,0,0,0,0,2192,0,0,0,0,0,0,0,0,43,-2,0,0,2,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,3,0,0,0,Everton,Southampton,West Brom,Middlesbrough,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurt,Zouma,DEF,CHE,5400000,0,0,0,0,0,0,5293,0,0,0,0,0,0,0,0,250,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,673,0,185,0,0,0,103,0,0,0,Leicester,Man Utd,Southampton,Everton,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan,Zuniga,DEF,WAT,4400000,1,16,0.761904761904762,1.73160173160173E-07,3.63636363636364E-06,0,29135,0,3,0,0,0,1,0,3.6,6045,-1,0,16,1,1.1,0,4.7,2,0,0,0,1,2.4,86157,0,0,0,1,163,13050,0,0,65,Middlesbrough,Swansea,Hull City,Liverpool,Leicester,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.8,0.5,0.4,0.7,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.4
