FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Reece,Burke,DEF,WHU,4000000,0,0,0,0,0,0,2347,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2341,0,0,0,0,0,17,0,0,0,Leicester,Man Utd,Crystal Palace,Middlesbrough,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Butland,GLK,STK,4600000,0,0,0,0,0,0,138944,0,0,0,0,0,0,0,0,1238,-4,0,0,4,0,0,0,0,0,0,0,0,1,3171,0,341,0,0,0,62,0,0,0,Chelsea,Watford,Sunderland,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Byram,DEF,WHU,4200000,0,7,0.12962962962963,3.08641975308642E-08,1.66666666666667E-06,0,29862,2,6,0,0,0,0,0,1.6,203,-3,1,7,3,0,0,0,0,0,1,0,0,0.3,11273,0,39,0,0,264,6,-1,0,56,Leicester,Man Utd,Crystal Palace,Middlesbrough,Man City,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Willy,Caballero,GLK,MCI,4700000,0,6,0.111111111111111,2.36406619385343E-08,1.27659574468085E-06,0,26207,0,3,0,5,0,0,0,1.3,154,-3,1,6,3,0,0,0,0,0,0,0,0,0.3,20500,0,45,0,0,270,22,-1,0,39,Liverpool,Burnley,Everton,Tottenham,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Yohan,Cabaye,MID,CRY,5600000,8,32,0.592592592592593,1.05820105820106E-07,5.71428571428571E-06,0,120890,5,27,0,0,0,2,0,5.7,611,-4,0,32,4,0.4,1,2.4,4,0,0,0,0,1.2,16079,0,397,0,1,1006,3875,0,0,182,Arsenal,Swansea,West Ham,Everton,Bournemouth,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Gary,Cahill,DEF,CHE,6400000,7,89,4.9,7.65625E-07,1.390625E-05,0,131324,1,11,0,0,0,1,0,14.1,4933,4,-1,89,-4,0.9,0,5.8,9,0,11,0,0,12,351670,1,283,0,1,1613,22832,1,0,393,Stoke,Tottenham,Leicester,Hull City,Liverpool,6.8,5.4,4,6.9,6,6.8,4.7,6.2,6,6.5,6.3,6.4,6,5.7,4.5,7.1,5.2,6.3,5.8,6.3
Jonathan,Calleri,FWD,WHU,6700000,0,6,0.111111111111111,1.65837479270315E-08,8.95522388059701E-07,0,2706,0,2,0,0,0,0,0,0.9,59,-3,0,6,3,0,0,0,0,0,0,0,0,0,2506,0,0,0,0,135,26,0,0,8,Leicester,Man Utd,Crystal Palace,Middlesbrough,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Callum Wilson,FWD,BOU,6300000,0,53,3.3,5.23809523809524E-07,8.41269841269841E-06,0,304896,0,19,0,0,0,5,0,8.4,9386,-2,0,53,2,0.3,0,2,2,0,6,0,1,2.5,289008,0,165,0,0,1115,5632,0,0,144,Swansea,Arsenal,Hull City,Watford,Crystal Palace,3.2,3.8,3.6,4.2,4.2,2.3,4,2.5,2.3,4.4,4.7,2.2,2.6,3.3,2.1,3.9,2.5,3.9,4.8,2.8
Dominic,Calvert-Lewin,FWD,EVE,4500000,0,2,0.037037037037037,8.23045267489712E-09,4.44444444444444E-07,0,852,0,1,0,0,0,0,0,0.4,97,0,0,2,0,0.1,0,0.4,0,0,0,0,0,0,1460,0,0,0,0,30,116,0,0,5,Hull City,Southampton,Man City,Crystal Palace,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoff,Cameron,DEF,STK,4300000,0,20,0.37037037037037,8.61326442721792E-08,4.65116279069767E-06,0,20837,0,11,0,0,0,0,0,4.7,602,-2,0,20,2,0,0,0,2,0,2,0,0,0.2,14442,0,293,0,0,630,15,0,0,126,Chelsea,Watford,Sunderland,Man Utd,Everton,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Fraizer,Campbell,FWD,CRY,4400000,1,10,0.185185185185185,4.20875420875421E-08,2.27272727272727E-06,0,44339,0,2,0,0,0,1,0,2.3,2152,-1,0,10,1,0.4,0,1.6,0,0,0,0,0,1.1,58408,0,12,0,0,61,2631,0,0,41,Arsenal,Swansea,West Ham,Everton,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Joel,Campbell,MID,ARS,5900000,0,0,0,0,0,0,4878,0,0,0,0,0,0,0,0,20,-1,0,0,1,0,0,0,0,0,0,0,0,0,348,0,175,0,0,0,17,0,0,0,Crystal Palace,Bournemouth,Swansea,Burnley,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emre,Can,MID,LIV,4900000,1,40,0.740740740740741,1.51171579743008E-07,8.16326530612245E-06,0,114934,2,9,0,0,0,3,0,8.2,6164,-1,0,40,1,0.5,0,2.6,2,0,3,0,1,2,121403,0,399,0,0,692,3360,0,0,155,Man City,Sunderland,Man Utd,Swansea,Chelsea,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Etienne,Capoue,MID,WAT,4900000,2,79,4.4,8.97959183673469E-07,1.61224489795918E-05,0,852776,2,29,0,0,0,5,0,16.1,46307,4,0,79,-4,0.4,0,1.8,14,0,3,0,1,35.5,2012846,0,347,0,3,1579,24071,0,0,311,Tottenham,Stoke,Middlesbrough,Bournemouth,Arsenal,4.7,3.9,5.4,3.5,2.9,6.4,4.1,4.6,5.1,3,4,6.6,5.1,2.7,5.2,4.1,3.7,4.3,3.8,3.9
Michael,Carrick,MID,MUN,4300000,2,17,0.314814814814815,7.32127476313523E-08,3.95348837209302E-06,0,60425,0,5,0,0,0,0,0,4,2263,-2,0,17,2,0.6,0,2.4,0,0,2,0,0,1.8,77462,0,275,0,0,643,10226,0,0,121,Middlesbrough,West Ham,Liverpool,Stoke,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andy,Carroll,FWD,WHU,6200000,8,20,3.3,5.32258064516129E-07,3.2258064516129E-06,0,283124,0,6,0,0,0,2,0,3.2,4027,-3,0,20,3,0.6,0,3.6,2,0,2,0,0,3.2,121910,0,381,0,0,398,25066,0,0,76,Leicester,Man Utd,Crystal Palace,Middlesbrough,Man City,3.2,3.4,4,2.9,3.7,2.6,3.8,2.8,3,2.4,4.6,4,2.9,4.4,2.9,3.7,3,3.9,4,2.7
Tom,Carroll,MID,TOT,4200000,0,1,0.0185185185185185,4.40917107583774E-09,2.38095238095238E-07,0,6545,0,0,0,0,0,0,0,0.2,278,-3,0,1,3,0,0,0,0,0,0,0,0,0.2,5233,0,93,0,0,1,835,0,0,3,Watford,Chelsea,West Brom,Man City,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Carter-Vickers,DEF,TOT,4300000,0,0,0,0,0,0,1604,0,0,0,0,0,0,0,0,24,-2,0,0,2,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,9,0,0,0,Watford,Chelsea,West Brom,Man City,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig,Cathcart,DEF,WAT,4300000,0,6,0.111111111111111,2.58397932816537E-08,1.3953488372093E-06,0,17565,1,7,0,0,0,0,0,1.4,120,-2,0,6,2,0,0,0,0,0,0,0,0,0.2,3657,0,335,0,0,405,30,0,0,51,Tottenham,Stoke,Middlesbrough,Bournemouth,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
