FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Oliver,McBurnie,FWD,SWA,4500000,0,1,0.0555555555555556,1.23456790123457E-08,2.22222222222222E-07,0,1977,0,0,0,0,0,0,0,0.2,340,0,0,1,0,0,0,0,0,0,0,0,0,0.1,3725,0,0,0,0,5,416,0,0,3,Liverpool,Arsenal,Watford,Stoke,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,McCarthy,GLK,SOU,4400000,0,0,0,0,0,0,2796,0,0,0,0,0,0,0,0,270,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,445,0,82,0,0,0,47,0,0,0,Leicester,Burnley,Man City,Chelsea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,McCarthy,MID,EVE,4800000,0,3,0.166666666666667,3.47222222222222E-08,6.25E-07,0,9553,0,2,0,0,0,0,0,0.6,431,-2,0,3,2,0,0,0,0,0,0,0,0,0.2,1653,0,365,0,0,127,5,0,0,14,Crystal Palace,Man City,Burnley,West Ham,Chelsea,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,McClean,MID,WBA,5000000,2,17,3.4,6.8E-07,3.4E-06,0,5634,0,3,0,0,0,1,0,3.4,736,0,0,17,0,0.6,0,3,0,0,1,0,1,0.3,6545,0,336,0,0,276,681,0,0,62,Sunderland,Tottenham,Liverpool,Man City,Leicester,3.9,2.6,1.7,2.3,2.8,4.7,3.5,3.3,2.4,3,3.3,2,2.6,2.5,2.3,3.8,4,3.3,2.6,4.5,2.8,2.4,2,3.2,3.1,3.3,2.6,2.1,4.5,2.3,3.4,3.7
Luke,McGee,GLK,TOT,4000000,0,0,0,0,0,0,1302,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2053,0,0,0,0,0,157,0,0,0,Man City,West Brom,Bournemouth,Leicester,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan,McGregor,GLK,HUL,4500000,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,14,0,0,0,Chelsea,Bournemouth,Stoke,Watford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum,McManaman,MID,WBA,4400000,0,0,0,0,0,0,3789,0,0,0,0,0,0,0,0,357,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,1228,0,27,0,0,0,205,0,0,0,Sunderland,Tottenham,Liverpool,Man City,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,McNair,DEF,SUN,4400000,1,1,0.0555555555555556,1.26262626262626E-08,2.27272727272727E-07,0,7336,0,4,0,0,0,0,0,0.2,601,-1,0,1,1,0.2,0,0.7,0,0,0,0,0,0.4,3157,1,28,0,0,59,443,0,0,8,West Brom,Stoke,West Ham,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Mee,DEF,BUR,4500000,6,15,2.5,5.55555555555556E-07,3.33333333333333E-06,0,12285,1,8,0,0,0,0,0,3.3,1103,0,0,15,0,0.4,0,2,0,0,2,0,0,0.6,9451,1,0,0,0,540,878,0,0,103,Arsenal,Southampton,Everton,Man Utd,Crystal Palace,3.8,1.2,2.8,1.2,3.3,1.2,2.3,2,3.8,2,1.2,2.4,2.7,1.2,3.5,2.1,3.1,1.2,2.9,1.4,1.4,1.6,1.2,3,3.7,1.2,1.2,2.1,1.5,2.7,1.2,3.8
Nampalys,Mendy,MID,LEI,4400000,0,0,0,0,0,0,24486,1,0,0,0,0,0,0,0,1132,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,2156,0,0,0,0,52,80,0,0,-1,Southampton,Chelsea,Crystal Palace,Tottenham,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
