FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,250,0,0,0,5,0,0,0,Bournemouth,Middlesbrough,Swansea,Hull City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,0,0,0,0,0,0,2736,2,1,0,0,0,0,0,0,191,-3,1,0,3,0,0,0,0,0,0,0,0,0.1,569,0,109,0,0,25,67,-1,0,-3,Man Utd,Sunderland,Hull City,Swansea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,9500,0,2,0,0,0,0,0,0.6,192,-1,0,3,1,0,0,0,0,0,0,0,0,0,627,0,0,0,0,122,2,0,0,6,West Ham,Watford,Arsenal,Bournemouth,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,5000000,3,17,2.8,5.6E-07,3.4E-06,0,46235,0,16,0,24,0,0,0,3.4,6838,0,0,17,0,0.3,0,1.3,2,0,1,0,0,3.1,45005,0,356,0,0,540,1206,0,0,106,Middlesbrough,Crystal Palace,Sunderland,Everton,Stoke,2.3,2.9,2.7,1.9,3.9,2.4,1.6,3.9,3.1,4,2.4,2.8,1.5,2,3.3,2.2,2.2,2.6,2.7,2.2,3,2.5,3.2,2.8,3.5,2.6,2.4,2.8,3.5,3,4.2,1.7
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,19,-1,0,0,1,0,0,0,0,0,0,0,0,0,76,0,270,0,0,0,12,0,0,0,Man Utd,Sunderland,Hull City,Swansea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5700000,1,2,0.111111111111111,1.94931773879142E-08,3.50877192982456E-07,0,17676,0,0,0,0,0,0,0,0.4,948,-3,0,2,3,0.1,0,0.3,0,0,0,0,0,0.3,2723,0,146,0,0,24,277,0,0,2,Watford,Hull City,Tottenham,Middlesbrough,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sergio,Aguero,FWD,MCI,13000000,13,37,9.3,7.15384615384615E-07,2.84615384615385E-06,0,1218639,0,4,0,0,0,5,0,2.8,7795,0,0,37,0,0.3,0,4.3,9,0,0,0,0,41.8,1127293,0,789,0,2,349,345654,0,0,153,Tottenham,Everton,Southampton,West Brom,Middlesbrough,11.7,13.5,13.6,12.1,12.3,12.1,9.9,13.9,10.4,12.9,12.7,13.4,10.7,14,11.3,13.1,11.6,11.9,10.1,12.8,12.3,12.7,14,12,11,11.7,11.2,12.7,12.5,12.7,14,11.9
Ola,Aina,DEF,CHE,4800000,0,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,148,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,248,0,0,0,0,0,21,0,0,0,Hull City,Leicester,Man Utd,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4300000,0,2,0.111111111111111,2.58397932816537E-08,4.65116279069767E-07,0,31021,0,2,0,0,0,0,0,0.5,2580,-2,1,2,2,0,0,0,0,0,0,0,0,1.1,3674,0,232,0,0,15,397,-1,0,6,Watford,Hull City,Tottenham,Middlesbrough,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chuba,Akpom,FWD,ARS,5200000,0,0,0,0,0,0,7257,0,0,0,0,0,0,0,0,306,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,949,0,0,0,0,0,156,0,0,0,Burnley,Swansea,Middlesbrough,Sunderland,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Albrighton,MID,LEI,5300000,2,13,2.6,4.90566037735849E-07,2.45283018867925E-06,0,39966,0,7,0,0,0,0,0,2.5,3058,-2,0,13,2,0.4,0,2.3,0,0,3,0,0,1.1,6320,0,519,0,0,375,748,0,0,56,Southampton,Chelsea,Crystal Palace,Tottenham,West Brom,2.7,1.3,2.3,1.3,2.4,1.3,3,1.8,1.9,1.3,1.4,2.5,2.5,1.9,2.7,1.3,1.3,2.7,1.7,2.2,2.1,1.3,1.3,2.7,3.1,1.3,1.3,2.2,1.3,2.6,1.3,3.6
Toby,Alderweireld,DEF,TOT,6500000,2,24,4,6.15384615384615E-07,3.69230769230769E-06,0,200980,0,3,0,0,0,0,0,3.7,33463,0,0,24,0,0.7,0,4.7,0,0,3,0,0,18.9,54745,0,598,0,0,540,5363,0,0,119,Man City,West Brom,Bournemouth,Leicester,Arsenal,3.8,4.1,4.2,5.2,5.1,5.8,3.3,4.4,2.9,4.1,6,4.4,3.9,4.9,4.6,3.1,4.1,4,4.5,5.5,4.7,5,5.7,3.2,4.8,4.6,6,2.8,5.5,4.9,3.5,4.7
Trent,Alexander-Arnold,MID,LIV,4400000,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,99,-1,0,0,1,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,88,0,0,0,Swansea,Man Utd,West Brom,Crystal Palace,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Allen,MID,STK,4800000,11,19,3.2,6.66666666666667E-07,3.95833333333333E-06,0,37017,1,13,0,0,0,1,0,4,3250,-2,0,19,2,1,0,5,3,0,1,0,0,1.2,16809,0,132,0,0,458,8561,0,0,102,Man Utd,Sunderland,Hull City,Swansea,West Ham,0,3.5,3.2,2.8,2.4,4.1,2.8,4.4,1.8,3,4.1,1.6,2.2,3,3.6,3,2.8,2.7,2.5,2.1,3.4,1.9,3.1,2.5,2.1,2.4,2.3,3.4,2.8,2.1,1.8,2.3
Bamidele,Alli,MID,TOT,8300000,2,20,3.3,3.97590361445783E-07,2.40963855421687E-06,0,242775,1,3,0,0,0,1,0,2.4,24210,-2,0,20,2,0.6,0,5.3,0,0,2,0,1,5.8,24521,0,666,0,0,473,952,0,0,72,Man City,West Brom,Bournemouth,Leicester,Arsenal,2.3,2.6,2,4.5,1.7,3.1,2.1,3.1,2.8,2.6,4.7,2.3,2.7,3.4,3,1.8,3.6,3.7,1.6,3.3,3.1,2.4,3.3,2.1,3.3,3.3,4.5,2.4,2.1,2.3,3.3,3.1
Marcos,Alonso,DEF,CHE,5900000,1,1,0.0555555555555556,9.41619585687382E-09,1.69491525423729E-07,0,1427,0,0,0,0,0,0,0,0.2,188,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0,1956,0,0,0,0,36,112,0,0,14,Hull City,Leicester,Man Utd,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Amartey,MID,LEI,4500000,5,12,2.4,5.33333333333333E-07,2.66666666666667E-06,0,2139,1,9,0,0,0,0,0,2.7,443,0,0,12,0,0.7,0,3,0,0,1,0,1,0.2,4150,0,23,0,0,383,2048,0,0,52,Southampton,Chelsea,Crystal Palace,Tottenham,West Brom,2.4,1.2,2,1.2,2.1,1.2,2.7,1.6,1.7,1.2,1.2,2.2,2.2,1.6,2.4,1.2,1.2,2.4,1.5,1.9,1.8,1.2,1.2,2.4,2.7,1.2,1.2,1.9,1.2,2.3,1.2,3.2
Jordi,Amat,DEF,SWA,4100000,0,9,1.5,3.65853658536585E-07,2.19512195121951E-06,0,97704,3,10,0,0,0,0,0,2.2,11325,1,0,9,-1,0.2,0,0.7,0,0,1,0,0,13.8,248126,0,63,0,0,540,21924,0,0,96,Liverpool,Arsenal,Watford,Stoke,Man Utd,1.7,2.1,0.8,1.7,0.8,0.8,1.1,1,0.8,1,1,1.6,1.8,1.3,1.9,1.4,1.2,0.8,1,0.8,1.5,1.3,1.1,0.8,0.9,1.7,1,1.4,0.8,0.8,1.1,0.8
Nordin,Amrabat,MID,WAT,5000000,1,10,2,4E-07,2E-06,0,5628,1,9,0,0,0,0,0,2,452,0,0,10,0,0.1,0,0.7,3,0,0,0,0,0.1,6254,0,74,0,0,353,134,0,0,38,Bournemouth,Middlesbrough,Swansea,Hull City,Liverpool,2.2,1.8,1.6,1.1,1,2.2,1.5,1.2,1.4,1,1.7,1.2,1.1,1.4,1.7,1,1,2.3,1.3,1.3,1.5,1,1.1,1.8,1.3,1,1.3,1.5,1.1,1.1,1,1
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,1809,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,0,0,0,0,0,23,0,0,0,Everton,West Ham,Leicester,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Angelino,DEF,MCI,4400000,0,0,0,0,0,0,1473,0,0,0,0,0,0,0,0,119,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,410,0,0,0,0,0,57,0,0,0,Tottenham,Everton,Southampton,West Brom,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Anichebe,FWD,SUN,4500000,1,1,0.0555555555555556,1.23456790123457E-08,2.22222222222222E-07,0,826,0,1,0,0,0,0,0,0.2,462,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.1,3077,0,0,0,0,5,2060,0,0,1,West Brom,Stoke,West Ham,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,MID,WHU,7300000,2,40,6.7,9.17808219178082E-07,5.47945205479452E-06,0,149545,1,15,0,0,0,5,0,5.5,69430,3,0,40,-3,1,0,7.3,4,0,1,0,0,18,652192,0,452,0,2,501,35520,0,0,133,Middlesbrough,Crystal Palace,Sunderland,Everton,Stoke,9.1,7.1,9.2,6.5,9.1,6.2,8,6.5,4.3,10,7.7,9,7.2,9.1,8.1,8.7,7.1,6.8,8.4,7.8,9.2,6.2,10,8.5,5.5,8.6,8.6,8.7,8.3,7.9,7.8,6.3
Ikechi,Anya,MID,WAT,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,4907,0,0,0,0,0,0,0,0.2,265,0,0,1,0,0,0,0,0,0,0,0,0,0.1,326,0,176,0,0,10,2,0,0,3,Bournemouth,Middlesbrough,Swansea,Hull City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvaro,Arbeloa,DEF,WHU,4900000,0,0,0,0,0,0,2277,1,3,0,0,0,0,0,0,281,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3849,0,0,0,0,90,515,0,0,14,Middlesbrough,Crystal Palace,Sunderland,Everton,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,Arfield,MID,BUR,5300000,1,9,1.5,2.83018867924528E-07,1.69811320754717E-06,0,3329,1,5,0,0,0,0,0,1.7,302,-2,0,9,2,0.1,0,0.7,0,0,2,0,0,0.1,777,0,0,0,0,299,10,0,0,33,Arsenal,Southampton,Everton,Man Utd,Crystal Palace,0.8,0.8,1.1,0.8,1,0.8,0.8,0.8,1.7,0.8,0.8,1.4,1.4,0.8,1.2,0.8,1.7,0.8,1.2,0.8,0.8,0.8,0.8,0.9,1.2,0.8,0.8,1.2,0.8,1.1,0.8,1.1
Marko,Arnautovic,MID,STK,7200000,2,14,2.3,3.19444444444444E-07,1.94444444444444E-06,0,44859,3,14,0,0,0,1,0,1.9,4690,-3,1,14,3,0.4,0,3,0,0,0,0,0,1.1,9499,0,528,0,0,537,285,-1,0,51,Man Utd,Sunderland,Hull City,Swansea,West Ham,1.7,2.1,1.9,1.6,1.4,2.6,1.6,2.8,1.2,1.8,2.6,1.2,1.2,1.8,2.2,1.8,1.7,1.6,1.5,1.2,2.1,1.2,1.8,1.5,1.2,1.4,1.3,2.1,1.6,1.2,1.2,1.3
Harry,Arter,MID,BOU,5000000,8,19,3.2,6.4E-07,3.8E-06,0,3987,0,9,0,0,0,0,0,3.8,580,0,0,19,0,0.9,0,4.3,2,0,2,0,2,0.3,7013,0,188,0,0,526,4404,0,1,95,Watford,Hull City,Tottenham,Middlesbrough,Sunderland,1.6,3,3.1,2.3,4.2,1.7,1.6,3.1,1.6,4.7,3.7,1.6,2,2.5,1.8,3.7,3.2,1.6,2.7,1.6,1.6,3.5,3.5,1.6,1.6,3.8,1.6,4.1,2.2,3.7,4.8,1.6
Takuma,Asano,FWD,ARS,4900000,0,0,0,0,0,0,3749,0,0,0,0,0,0,0,0,117,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,380,0,0,0,0,0,20,0,0,0,Burnley,Swansea,Middlesbrough,Sunderland,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Asoro,MID,SUN,4500000,0,1,0.0555555555555556,1.23456790123457E-08,2.22222222222222E-07,0,367,0,0,0,0,0,0,0,0.2,22,0,0,1,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,10,19,0,0,3,West Brom,Stoke,West Ham,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Austin,FWD,SOU,6300000,12,21,4.2,6.66666666666667E-07,3.33333333333333E-06,0,54463,0,0,0,0,0,2,0,3.4,6168,-2,-1,21,2,0.9,0,5.7,3,0,2,0,1,4,141522,0,32,0,0,215,92469,1,0,78,Leicester,Burnley,Man City,Chelsea,Hull City,3.5,6.3,4.5,6.3,5.7,6.3,5.2,4.4,5.1,5.1,3.1,4.8,5.1,3.4,3.1,6.3,5.3,6.2,5.2,4.9,5,4.8,3.4,6.3,5.4,4.2,5.6,4.4,5.5,4.4,4.5,6
Daniel,Ayala,DEF,MID,5000000,0,13,0.722222222222222,1.44444444444444E-07,2.6E-06,0,4438,2,5,0,0,0,1,0,2.6,901,0,0,13,0,0.5,0,2.3,0,0,1,0,0,0.2,4727,0,0,0,0,278,300,0,0,68,West Ham,Watford,Arsenal,Bournemouth,Man City,0.5,0.4,0.7,0.7,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.7,0.4,0.4,0.4,0.4,0.4
Andre,Ayew,MID,WHU,7200000,0,1,0.0555555555555556,7.71604938271605E-09,1.38888888888889E-07,0,264690,0,0,0,0,0,0,0,0.1,1846,-3,0,1,3,0,0,0,0,0,0,0,0,1.2,2507,0,524,0,0,34,13,0,0,5,Middlesbrough,Crystal Palace,Sunderland,Everton,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,Azpilicueta,DEF,CHE,6000000,1,17,2.8,4.66666666666667E-07,2.83333333333333E-06,0,174081,1,9,0,0,0,0,0,2.8,30092,0,0,17,0,0.2,0,1,2,0,1,0,1,11,101671,0,470,0,0,540,3439,0,0,109,Hull City,Leicester,Man Utd,Southampton,Everton,2.5,3.4,2.2,2.3,3,1.9,3.2,1.5,2.9,2.1,2.7,4.2,4,2.1,1.4,2.6,2.8,4,1.5,2.8,3.1,2.9,3.3,3.5,2.4,2.2,1.4,3.7,1.7,2.5,2.1,2.8
,Baba Rahman,DEF,CHE,5500000,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,138,0,0,0,11,0,0,0,Hull City,Leicester,Man Utd,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Bailly,DEF,MUN,5500000,2,19,3.2,5.81818181818182E-07,3.45454545454545E-06,0,152106,1,7,0,0,0,0,0,3.5,19000,0,0,19,0,0.2,0,1,2,0,2,0,0,13.6,144792,0,0,0,0,540,13732,0,0,130,Stoke,Liverpool,Chelsea,Burnley,Swansea,4.3,3.7,2.4,4.7,3.6,4.3,4.5,2.5,3.6,3.7,3.1,3.1,2.7,4,4.8,4.2,2.8,2,3.2,2.3,4.8,3.3,2.8,3.2,3.3,3.1,3.5,2.3,3.1,4.2,3.1,3.9
Leighton,Baines,DEF,EVE,5600000,0,21,4.2,7.5E-07,3.75E-06,0,178042,0,3,0,0,0,0,0,3.8,104108,1,0,21,-1,0.6,1,3.3,2,0,2,0,1,10,223459,0,212,0,0,450,2553,0,0,108,Crystal Palace,Man City,Burnley,West Ham,Chelsea,0,0,0,6.2,3.4,4.9,4.6,3.9,4,5.9,6.3,2.8,4.9,6.2,4.3,5.1,5.2,6.3,3.9,4.9,4.2,5,4.6,4.5,2.9,5.7,6.3,4.9,5.4,4.9,5.1,5.2
Mario,Balotelli,FWD,LIV,6300000,0,0,0,0,0,0,10084,0,0,0,0,0,0,0,0,309,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,1215,0,0,0,0,0,51,0,0,0,Swansea,Man Utd,West Brom,Crystal Palace,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,Bamford,FWD,BUR,5000000,0,2,0.111111111111111,2.22222222222222E-08,4E-07,0,968,0,1,0,0,0,0,0,0.4,329,0,0,2,0,0.1,0,0.7,0,0,0,0,0,0,2251,0,0,0,0,23,292,0,0,4,Arsenal,Southampton,Everton,Man Utd,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0,0,0,0,2509,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2274,0,0,0,0,0,65,0,0,0,West Ham,Watford,Arsenal,Bournemouth,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,STK,4400000,0,3,1,2.27272727272727E-07,6.81818181818182E-07,0,2475,1,6,0,0,0,0,0,0.7,355,-1,1,3,1,0,0,0,0,0,0,0,0,0.1,1301,0,107,0,0,270,40,-1,0,29,Man Utd,Sunderland,Hull City,Swansea,West Ham,0.5,0.5,0.6,0.5,0.9,1.1,0.5,0.9,1.1,0.7,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,1.1,0.5,0.6,1,0.5,1.2,0.5
Ross,Barkley,MID,EVE,7400000,2,22,3.7,5E-07,2.97297297297297E-06,0,416173,1,4,0,0,0,1,0,2.9,72498,-1,1,22,1,0.2,0,1.7,3,0,1,0,1,11,445637,0,654,0,0,488,2135,-1,0,52,Crystal Palace,Man City,Burnley,West Ham,Chelsea,3.5,2.1,2.3,3.8,2.4,3.8,2.6,4.1,3.1,2.6,3.3,2.8,3.5,4.1,2.9,2.7,3.4,5.3,4.1,4.6,2.3,3.7,3.2,1.8,3.2,5.3,5.5,2.6,4.1,3.8,4,1.9
Ashley,Barnes,FWD,BUR,4400000,0,0,0,0,0,0,3670,0,0,0,0,0,0,0,0,611,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,3356,0,0,0,0,0,676,0,0,0,Arsenal,Southampton,Everton,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio,Barragan,DEF,MID,4500000,1,15,2.5,5.55555555555556E-07,3.33333333333333E-06,0,8564,1,9,0,0,0,0,0,3.3,1287,0,0,15,0,0.4,0,1.7,3,0,1,0,0,0.6,13962,0,0,0,0,540,1532,0,0,117,West Ham,Watford,Arsenal,Bournemouth,Man City,3.3,2,3.4,3.7,1.6,2.2,1.4,1.8,2.4,3.6,2,1.7,1.5,2.4,2.1,3.4,2,2.2,2.1,2.8,3.3,2,1.4,2.6,2.6,3.2,3.3,2.4,1.6,1.8,2.8,2.9
Modou,Barrow,FWD,SWA,5000000,1,13,2.2,4.4E-07,2.6E-06,0,23204,0,6,0,0,0,0,0,2.6,4437,0,0,13,0,0.3,0,1.3,0,0,1,0,1,0.9,28040,0,120,0,0,395,4670,0,0,71,Liverpool,Arsenal,Watford,Stoke,Man Utd,2.6,1.8,2.1,2.9,1.4,1.6,1.7,1.5,2.1,2,2.1,2.3,2.4,2.1,1.4,2.2,1.8,2.1,2.3,2,2.6,2.8,1.4,1.5,1.4,2.4,2.4,2.5,1.7,1.6,2.6,1.5
Gareth,Barry,MID,EVE,4600000,1,24,4,8.69565217391304E-07,5.21739130434783E-06,0,100583,2,4,0,0,0,2,0,5.2,19247,1,0,24,-1,0.7,0,3.3,3,0,2,0,0,7.9,277911,0,418,0,0,498,40282,0,0,113,Crystal Palace,Man City,Burnley,West Ham,Chelsea,3.9,2.4,2.7,4.3,2.7,4.2,2.9,4.6,3.5,3,3.8,3.1,4,4.6,3.3,3.1,3.8,5.8,4.6,5.1,2.6,4.1,3.6,2,3.6,5.8,6,3,4.6,4.2,4.5,2.2
Borja,Baston,FWD,SWA,6900000,1,2,0.111111111111111,1.61030595813205E-08,2.89855072463768E-07,0,3851,0,0,0,0,0,0,0,0.3,171,-1,0,2,1,0.1,0,0.7,0,0,0,0,0,0,1116,0,0,0,0,21,74,0,0,5,Liverpool,Arsenal,Watford,Stoke,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Michy,Batshuayi,FWD,CHE,8700000,1,13,2.6,2.98850574712644E-07,1.49425287356322E-06,0,89943,0,0,0,0,0,1,0,1.5,5600,-3,1,13,3,0.1,0,0.7,1,0,0,0,1,1.3,36186,0,0,0,0,58,365,-1,0,40,Hull City,Leicester,Man Utd,Southampton,Everton,2.9,3.5,2.4,1.6,2.7,2.1,2.4,2.1,2.6,2.7,2,3.6,3.7,1.5,1.5,3,2.1,2.5,1.3,2.8,2.4,3.3,3.1,2.8,3,1.3,1.6,2.9,1.5,2.6,1.9,3.3
Asmir,Begovic,GLK,CHE,4900000,0,0,0,0,0,0,3716,0,0,0,0,0,0,0,0,293,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,856,0,150,0,0,0,46,0,0,0,Hull City,Leicester,Man Utd,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valon,Behrami,MID,WAT,4500000,2,10,1.7,3.77777777777778E-07,2.22222222222222E-06,0,5465,2,11,0,0,0,0,0,2.2,798,0,0,10,0,0.4,0,2,0,0,0,0,0,0.3,5986,0,127,0,0,513,1092,0,0,66,Bournemouth,Middlesbrough,Swansea,Hull City,Liverpool,1.7,1.4,1.2,0.8,0.8,1.7,1.1,0.9,1,0.8,1.3,0.9,0.9,1.1,1.3,0.8,0.8,1.9,1,1,1.1,0.8,0.8,1.4,1,0.8,1,1.1,0.8,0.8,0.8,0.8
Hector,Bellerin,DEF,ARS,6500000,11,26,4.3,6.61538461538462E-07,4E-06,0,274233,0,7,0,0,0,0,0,4,13159,0,0,26,0,0.8,0,5,5,0,2,0,1,25.3,129720,0,541,0,1,540,60914,0,0,122,Burnley,Swansea,Middlesbrough,Sunderland,Tottenham,3.8,4.7,4.2,4.8,5.3,3.5,6.4,5.4,5.8,4.1,3.7,4.9,5.8,4.8,5.5,6.4,4.9,3.9,4.4,5.1,5.1,5.6,4.8,4.1,6,5.7,4.5,4.8,4.8,3.7,5.7,5
Yohan,Benalouane,DEF,LEI,4000000,0,0,0,0,0,0,5691,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1140,0,15,0,0,0,50,0,0,0,Southampton,Chelsea,Crystal Palace,Tottenham,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0,0,0,0,3599,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0.1,405,0,29,0,0,0,5,0,0,0,Man City,West Brom,Bournemouth,Leicester,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saido,Berahino,FWD,WBA,6200000,0,6,1.5,2.41935483870968E-07,9.67741935483871E-07,0,33804,1,2,0,0,0,0,0,1,3482,-3,0,6,3,0.1,0,0.7,0,0,2,0,0,0.6,9187,0,226,0,0,243,376,0,0,-3,Sunderland,Tottenham,Liverpool,Man City,Leicester,1.4,0.8,1.1,1.1,0.8,1.6,1.5,1.3,1,1,0.8,0.9,0.8,1.1,0.8,1.3,1,1.6,1.2,1.5,1,0.8,0.9,0.8,1.2,1.1,1.7,1,1.5,0.8,1.4,1.3
