FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Alex,Pike,DEF,WHU,4000000,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,0,282,0,0,0,Swansea,Leicester,Man Utd,Crystal Palace,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastien,Pocognoli,DEF,WBA,4000000,0,0,0,0,0,0,17138,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1834,0,16,0,0,0,11,0,0,0,Arsenal,Southampton,Hull City,Tottenham,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul,Pogba,MID,MUN,8300000,3,59,3.7,4.4578313253012E-07,7.10843373493976E-06,0,500915,6,16,0,0,0,3,0,7.1,9169,-2,0,59,2,0.6,0,4.8,6,0,6,0,2,9.6,396512,0,0,0,1,1440,28897,0,0,266,Sunderland,Middlesbrough,West Ham,Liverpool,Stoke,5.2,3.9,2.7,2.5,3.3,3.9,3.4,4.3,2.6,4.2,2.8,3.6,3.6,4.1,4.1,2.9,3.1,3.9,2.4,2.3,3.3
Nick,Pope,GLK,BUR,4000000,0,0,0,0,0,0,29068,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,1.8,11263,0,0,0,0,0,130,0,0,0,Middlesbrough,Sunderland,Man City,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Pritchard,MID,TOT,4500000,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,-4,0,0,0,2,0,0,0,Southampton,Watford,Chelsea,West Brom,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian,Prodl,DEF,WAT,4500000,1,44,2.8,6.22222222222222E-07,9.77777777777778E-06,0,27313,3,20,0,0,0,1,0,9.8,9538,0,0,44,0,0.5,0,2.2,3,0,3,0,1,1.2,65249,0,181,0,1,1295,1161,0,0,237,Crystal Palace,Tottenham,Stoke,Middlesbrough,Bournemouth,0,0,3.2,2.9,2.3,3.5,3.5,1.7,4.2,3.7,2,2.6,3,3.1,2.1,2.9,2.5,3.7,1.4,2,2.8
Marc,Pugh,MID,BOU,4700000,1,17,0.333333333333333,7.09219858156028E-08,3.61702127659574E-06,0,3598,0,2,0,0,0,1,0,3.6,907,-3,0,17,3,0.7,0,3.2,3,0,1,0,1,0.1,4191,0,245,0,1,164,354,0,0,60,Chelsea,Swansea,Arsenal,Hull City,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jason,Puncheon,MID,CRY,5200000,2,40,2.7,5.19230769230769E-07,7.69230769230769E-06,0,85443,5,22,0,0,0,0,0,7.7,931,-3,0,40,3,0.4,0,2,4,0,1,0,4,0.7,64991,0,381,0,0,1217,994,0,0,226,Watford,Arsenal,Swansea,West Ham,Everton,2.3,1.5,2.3,1.7,2.4,1.8,3.3,2.1,2.3,2.1,2,2.6,1.6,1.8,1.4,3,1.4,2.9,1.7,2.3,2.2
Domingos,Quina,MID,WHU,4500000,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,24,0,0,0,Swansea,Leicester,Man Utd,Crystal Palace,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaston,Ramirez,MID,MID,5300000,6,49,0.96078431372549,1.81280059193489E-07,9.24528301886792E-06,0,80717,5,9,0,0,0,2,0,9.2,1452,-2,0,49,2,0.8,0,4.4,6,0,5,0,3,0.8,62062,0,0,0,0,981,6490,0,0,182,Burnley,Man Utd,Leicester,Watford,West Ham,0,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5
Aaron,Ramsey,MID,ARS,7600000,0,10,0.196078431372549,2.57997936016512E-08,1.31578947368421E-06,0,142523,1,5,0,0,0,0,0,1.3,636,-4,0,10,4,0.1,0,0.4,0,0,0,0,1,0.9,8292,0,558,0,0,231,69,0,0,26,West Brom,Crystal Palace,Bournemouth,Swansea,Burnley,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Connor,Randall,DEF,LIV,3900000,0,0,0,0,0,0,28189,0,0,0,0,0,0,0,0,2512,-1,0,0,1,0,0,0,0,0,0,0,0,1.5,49185,0,30,0,0,0,3968,0,0,0,Stoke,Man City,Sunderland,Man Utd,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
