FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Shaun,Maloney,MID,HUL,4500000,1,15,0.625,1.38888888888889E-07,3.33333333333333E-06,0,60075,0,5,0,0,0,1,0,3.3,4679,0,0,15,0,0.2,0,0.7,2,0,0,0,1,1.3,87760,0,0,0,1,151,164,0,0,55,Stoke,Watford,Southampton,Sunderland,West Brom,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Steve,Mandanda,GLK,CRY,4400000,3,14,2.3,5.22727272727273E-07,3.18181818181818E-06,0,68486,0,7,0,14,0,0,0,3.2,3113,-1,0,14,1,0.5,0,2,0,0,0,0,0,3.7,36636,0,0,0,0,540,2823,0,0,77,Leicester,Liverpool,Burnley,Man City,Swansea,1.4,3.1,1.7,1.7,2.2,2.3,2.4,1.4,1.7,2.1,3.3,1.6,3.2,1.7,1.8,2,2.9,1.4,2.2,2.4,1.6,1.5,2,2.8,2.2,2.8,2.4,1.6,1.6,1.5
Sadio,Mane,MID,LIV,9000000,3,34,4.9,5.44444444444444E-07,3.77777777777778E-06,0,375610,1,8,0,0,0,3,0,3.8,35520,0,0,34,0,0.4,0,4,2,0,1,0,1,13.9,337477,0,635,0,0,627,5615,0,0,113,West Brom,Crystal Palace,Watford,Southampton,Sunderland,5.5,4.8,5.8,3.8,7.1,3.3,5.3,6.4,4.1,6.1,5.2,5.6,4.9,5.7,5.6,5.2,5.5,4.4,4,7.2,3.3,6,7,4.4,4.3,5.4,5,6.1,4.2,6.6
Eliaquim,Mangala,DEF,MCI,5400000,0,0,0,0,0,0,19084,0,0,0,0,0,0,0,0,268,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,695,0,235,0,0,0,8,0,0,0,Southampton,West Brom,Middlesbrough,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,Manninger,GLK,LIV,4000000,0,0,0,0,0,0,3158,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0.4,6999,0,0,0,0,0,294,0,0,0,West Brom,Crystal Palace,Watford,Southampton,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vito,Mannone,GLK,SUN,4400000,0,3,0.125,2.84090909090909E-08,6.81818181818182E-07,0,27962,0,4,0,4,0,0,0,0.7,951,-1,0,3,1,0,0,0,0,0,0,0,0,0.5,3891,0,210,0,0,180,20,0,0,25,West Ham,Arsenal,Bournemouth,Hull City,Liverpool,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Javier,Manquillo,DEF,SUN,4500000,1,8,1.3,2.88888888888889E-07,1.77777777777778E-06,0,872,1,11,0,0,0,0,0,1.8,131,0,0,8,0,0.3,0,1.3,0,0,0,0,0,0,1909,0,0,0,0,540,97,0,0,56,West Ham,Arsenal,Bournemouth,Hull City,Liverpool,1.3,1.7,0.6,0.7,1.1,1,0.8,0.8,0.7,0.6,0.6,1.5,1.4,0.8,1.1,1.1,1,0.6,0.8,0.7,1.2,0.7,0.6,0.6,1.4,1.7,1.4,0.9,0.7,0.6
,Marc Wilson,DEF,BOU,4000000,0,0,0,0,0,0,27362,0,0,0,0,0,0,0,0,2047,0,0,0,0,0,0,0,0,0,0,0,0,1.7,25665,0,14,0,0,0,4387,0,0,0,Tottenham,Middlesbrough,Sunderland,Stoke,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian,Mariappa,DEF,WAT,4000000,0,0,0,0,0,0,4558,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0.4,17268,0,0,0,0,0,1712,0,0,0,Swansea,Hull City,Liverpool,Leicester,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazar,Markovic,MID,LIV,5400000,0,0,0,0,0,0,2863,0,0,0,0,0,0,0,0,35,-1,0,0,1,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,5,0,0,0,West Brom,Crystal Palace,Watford,Southampton,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
