FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Fabio,Borini,FWD,SUN,5100000,0,4,0.0952380952380952,1.86741363211951E-08,7.84313725490196E-07,0,67086,0,2,0,0,0,0,0,0.8,372,-4,1,4,4,0,0,0,0,0,1,0,0,0.5,5843,0,280,0,0,153,76,-1,0,11,Swansea,Chelsea,Watford,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Borthwick-Jackson,DEF,MUN,4400000,0,0,0,0,0,0,2905,0,0,0,0,0,0,0,0,22,-1,0,0,1,0,0,0,0,0,0,0,0,0,81,0,123,0,0,0,4,0,0,0,Tottenham,Crystal Palace,West Brom,Sunderland,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artur,Boruc,GLK,BOU,4600000,1,41,3.4,7.39130434782609E-07,8.91304347826087E-06,0,144817,1,19,0,35,0,0,0,8.9,8220,1,0,41,-1,0.1,0,0.3,1,0,3,0,0,7,199737,0,281,1,1,1080,3297,0,0,217,Burnley,Leicester,Southampton,Chelsea,Swansea,2.3,3.9,4.8,2.3,2.9,4.8,3.2,4.2,4.2,2.4,3.5,3.1,2.1,5.1,4,2.9,3.5,3.7,2.5,3.9,2.1,4.7,4.7,1.7
Sofiane,Boufal,MID,SOU,6800000,2,8,0.19047619047619,2.80112044817927E-08,1.17647058823529E-06,0,5871,0,2,0,0,0,0,0,1.2,451,-2,0,8,2,0.3,0,1.7,0,0,1,0,0,0.1,7500,0,0,0,0,216,264,0,0,35,Middlesbrough,Stoke,Bournemouth,Tottenham,West Brom,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jarrod,Bowen,FWD,HUL,4500000,1,3,0.0714285714285714,1.58730158730159E-08,6.66666666666667E-07,0,3408,0,1,0,0,0,0,0,0.7,209,0,0,3,0,0.2,0,0.7,0,0,0,0,0,0.1,4435,0,0,0,0,53,245,0,0,8,Crystal Palace,Tottenham,West Ham,Man City,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George,Boyd,MID,BUR,5100000,2,25,1.9,3.72549019607843E-07,4.90196078431373E-06,0,8205,0,17,0,0,0,0,0,4.9,131,-4,0,25,4,0.3,0,1.7,0,0,2,0,0,0.1,1913,0,0,0,0,920,64,0,0,109,Bournemouth,West Ham,Tottenham,Middlesbrough,Sunderland,1.8,1,1,1.6,2.2,1,1.7,1,2.2,1,1.2,1,1,1,1.1,1.4,1.4,1,1,1.7,1,1.4,1,1.4
Cameron,Brannagan,MID,LIV,4300000,0,0,0,0,0,0,1690,0,0,0,0,0,0,0,0,74,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1099,0,27,0,0,0,56,0,0,0,West Ham,Middlesbrough,Everton,Stoke,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudio,Bravo,GLK,MCI,5400000,1,40,3.6,6.66666666666667E-07,7.40740740740741E-06,0,60273,0,12,0,24,0,0,0,7.4,6110,-1,1,40,1,0.4,0,2,3,0,2,0,0,2.3,107171,0,0,1,1,990,1294,-1,0,198,Leicester,Watford,Arsenal,Hull City,Liverpool,2.6,3.9,4.5,4.2,4.5,4.6,3.4,4.1,4.7,3.7,3.8,3.1,3.1,4.6,5.2,5.1,3.3,4.2,4,4.1,3.9,4,3.6,3.9
Miguel,Britos,DEF,WAT,4400000,0,23,2.1,4.77272727272727E-07,5.22727272727273E-06,0,15653,4,16,0,0,0,0,0,5.2,1262,-1,0,23,1,0,0,0,2,0,3,0,0,0.5,31070,0,205,0,1,983,157,0,1,170,Everton,Man City,Sunderland,Crystal Palace,Tottenham,2.1,1.4,1.2,1.9,2,2.2,1.7,1.6,2.7,2.2,1.2,2.6,2.2,1.3,1.7,1.7,2,1.4,1.7,1.8,2.8,1,1.3,1.5
Leon,Britton,MID,SWA,4400000,0,9,0.214285714285714,4.87012987012987E-08,2.04545454545455E-06,0,2925,2,10,0,0,0,0,0,2,113,-1,0,9,1,0,0,0,0,0,1,0,0,0.1,1260,0,166,0,0,417,32,0,0,60,Sunderland,West Brom,Middlesbrough,West Ham,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tyias,Browning,DEF,EVE,3900000,0,0,0,0,0,0,36737,0,0,0,0,0,0,0,0,2334,-1,0,0,1,0,0,0,0,0,0,0,0,2.2,72343,0,22,0,0,0,9862,0,0,0,Watford,Arsenal,Liverpool,Leicester,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Bruce,DEF,HUL,4000000,0,0,0,0,0,0,4531,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3830,0,0,0,0,0,115,0,0,0,Crystal Palace,Tottenham,West Ham,Man City,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Brunt,DEF,WBA,4900000,14,26,0.619047619047619,1.26336248785228E-07,5.30612244897959E-06,0,3116,1,8,0,0,0,1,0,5.3,1473,-1,0,26,1,1.6,0,7.7,4,0,1,0,1,0.8,30650,0,230,0,1,506,16919,0,0,109,Chelsea,Swansea,Man Utd,Arsenal,Southampton,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3
Reece,Burke,DEF,WHU,4000000,0,0,0,0,0,0,2207,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,0,0,0,0,0,28,0,0,0,Liverpool,Burnley,Hull City,Swansea,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Butland,GLK,STK,4600000,0,0,0,0,0,0,134194,0,0,0,0,0,0,0,0,1783,-4,0,0,4,0,0,0,0,0,0,0,0,1.1,2910,0,341,0,0,0,145,0,0,0,Arsenal,Southampton,Leicester,Liverpool,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Byram,DEF,WHU,4300000,0,7,0.166666666666667,3.87596899224806E-08,1.62790697674419E-06,0,28820,2,6,0,0,0,0,0,1.6,410,-2,0,7,2,0,0,0,0,0,1,0,0,0.3,11238,0,39,0,0,264,8,0,0,56,Liverpool,Burnley,Hull City,Swansea,Leicester,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Willy,Caballero,GLK,MCI,4800000,0,6,0.142857142857143,2.97619047619048E-08,1.25E-06,0,25556,0,3,0,5,0,0,0,1.3,229,-2,0,6,2,0,0,0,0,0,0,0,0,0.4,20421,0,45,0,0,270,44,0,0,39,Leicester,Watford,Arsenal,Hull City,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Yohan,Cabaye,MID,CRY,5600000,0,20,0.476190476190476,8.50340136054422E-08,3.57142857142857E-06,0,118002,4,21,0,0,0,1,0,3.6,1002,-4,0,20,4,0.2,1,1,3,0,0,0,0,1.1,11293,0,397,0,1,728,313,0,0,126,Hull City,Man Utd,Chelsea,Watford,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Gary,Cahill,DEF,CHE,6200000,0,60,4.3,6.93548387096774E-07,9.67741935483871E-06,0,114427,1,11,0,0,0,1,0,9.7,13191,2,0,60,-2,0.5,0,3.3,4,0,7,0,0,10.6,276552,1,283,0,1,1253,20398,0,0,282,West Brom,Sunderland,Crystal Palace,Bournemouth,Stoke,5.6,3.7,5,6.3,5.9,4.2,3.1,5.6,5,5.7,4,5.1,5.3,5.4,5.6,5.5,4.6,4.6,3.7,6.1,4.1,5,5,5.1
Jonathan,Calleri,FWD,WHU,6700000,0,6,0.142857142857143,2.13219616204691E-08,8.95522388059701E-07,0,2473,0,2,0,0,0,0,0,0.9,50,-3,0,6,3,0,0,0,0,0,0,0,0,0,2335,0,0,0,0,135,39,0,0,8,Liverpool,Burnley,Hull City,Swansea,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Callum Wilson,FWD,BOU,6400000,6,49,3.8,5.9375E-07,7.65625E-06,0,227059,0,15,0,0,0,5,0,7.7,5426,-1,0,49,1,0.7,0,4.7,2,0,6,0,1,3.7,264540,0,165,0,0,969,42878,0,0,144,Burnley,Leicester,Southampton,Chelsea,Swansea,3.1,5.7,5,2.7,4.2,4.3,4.3,4.7,5,2.8,5,3.2,3.1,5.4,5.4,2.9,3.3,4.3,2.8,4.4,3.5,4.4,5.7,3.2
Dominic,Calvert-Lewin,FWD,EVE,4500000,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,161,0,0,0,Watford,Arsenal,Liverpool,Leicester,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoff,Cameron,DEF,STK,4400000,0,20,0.476190476190476,1.08225108225108E-07,4.54545454545455E-06,0,17830,0,11,0,0,0,0,0,4.5,999,-1,0,20,1,0,0,0,2,0,2,0,0,0.3,14378,0,293,0,0,630,17,0,0,126,Arsenal,Southampton,Leicester,Liverpool,Chelsea,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Fraizer,Campbell,FWD,CRY,4400000,0,2,0.0476190476190476,1.08225108225108E-08,4.54545454545455E-07,0,36036,0,1,0,0,0,0,0,0.5,3033,-1,0,2,1,0,0,0,0,0,0,0,0,1,45970,0,12,0,0,24,1613,0,0,4,Hull City,Man Utd,Chelsea,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Campbell,MID,ARS,5900000,0,0,0,0,0,0,4779,0,0,0,0,0,0,0,0,29,-1,0,0,1,0,0,0,0,0,0,0,0,0,283,0,175,0,0,0,30,0,0,0,Stoke,Everton,Man City,West Brom,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emre,Can,MID,LIV,4900000,11,38,0.904761904761905,1.84645286686103E-07,7.75510204081633E-06,0,58843,2,9,0,0,0,3,0,7.8,3656,-1,0,38,1,1.2,0,5.7,2,0,3,0,1,3,106829,0,399,0,0,661,44866,0,0,149,West Ham,Middlesbrough,Everton,Stoke,Man City,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Etienne,Capoue,MID,WAT,5100000,2,72,5.1,1E-06,1.41176470588235E-05,0,633549,1,23,0,0,0,5,0,14.1,58957,6,0,72,-6,0.9,0,4.7,14,0,3,0,1,38.6,1911168,0,347,0,3,1219,30458,0,0,266,Everton,Man City,Sunderland,Crystal Palace,Tottenham,6.6,4.6,6.2,5.5,5.5,5.4,6.1,4.6,4.2,7.2,5.7,5.6,6.3,4.1,5.1,7.5,5.6,4,5.9,5.5,4.7,5.6,4.6,4.7
Michael,Carrick,MID,MUN,4300000,2,7,0.166666666666667,3.87596899224806E-08,1.62790697674419E-06,0,52872,0,3,0,0,0,0,0,1.6,2765,-2,0,7,2,0.3,0,1.3,0,0,0,0,0,1.3,51278,0,275,0,0,283,2482,0,0,52,Tottenham,Crystal Palace,West Brom,Sunderland,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andy,Carroll,FWD,WHU,6100000,5,7,0.166666666666667,2.73224043715847E-08,1.14754098360656E-06,0,270758,0,5,0,0,0,1,0,1.1,547,-4,0,7,4,0.3,0,1.7,0,0,0,0,0,1.5,38177,0,381,0,0,108,7630,0,0,34,Liverpool,Burnley,Hull City,Swansea,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tom,Carroll,MID,TOT,4300000,0,1,0.0238095238095238,5.53709856035437E-09,2.32558139534884E-07,0,5671,0,0,0,0,0,0,0,0.2,222,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,3494,0,93,0,0,1,80,0,0,3,Man Utd,Hull City,Burnley,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Carter-Vickers,DEF,TOT,4300000,0,0,0,0,0,0,1486,0,0,0,0,0,0,0,0,48,-2,0,0,2,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,30,0,0,0,Man Utd,Hull City,Burnley,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
