FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Wayne,Hennessey,GLK,CRY,4300000,0,6,0.153846153846154,3.5778175313059E-08,1.3953488372093E-06,0,104307,1,9,0,10,0,0,0,1.4,1729,-2,0,6,2,0.1,0,0.3,0,0,0,0,0,2.1,14016,0,266,0,0,360,375,0,0,53,Southampton,Hull City,Man Utd,Chelsea,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Rouwen,Hennings,FWD,BUR,4500000,0,0,0,0,0,0,3555,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0.1,466,0,0,0,0,0,9,0,0,0,Stoke,Bournemouth,West Ham,Tottenham,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus,Henriksen,MID,HUL,5100000,2,11,0.282051282051282,5.53041729512318E-08,2.15686274509804E-06,0,655,0,8,0,0,0,0,0,2.2,29,-4,0,11,4,0.4,0,2,0,0,0,0,0,0,817,0,0,0,0,445,20,0,0,47,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Abel,Hernandez,FWD,HUL,5900000,0,24,2.4,4.06779661016949E-07,4.06779661016949E-06,0,121629,0,11,0,0,0,1,0,4,2979,-1,1,24,1,0.1,0,0.3,0,0,2,0,1,1,107975,0,0,0,0,671,48,-1,0,47,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,0,0,1.8,2.2,2.3,2.5,2.1,2.4,1.6,1.9,2.5,2,2.7,1.9,2.4,1.7,2.6,1.9,2.3,2.3,2,1.8,2.6,2.6,2.2
Luis,Hernandez,DEF,LEI,4200000,0,2,0.0512820512820513,1.22100122100122E-08,4.76190476190476E-07,0,16537,0,7,0,0,0,0,0,0.5,340,-3,1,2,3,0,0,0,0,0,0,0,0,0.4,4903,0,0,0,0,237,73,-1,0,41,Sunderland,Man City,Bournemouth,Stoke,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ander,Herrera,MID,MUN,6300000,2,19,1.9,3.01587301587302E-07,3.01587301587302E-06,0,14577,2,9,0,0,0,0,0,3,783,-2,0,19,2,0.4,0,2.7,1,0,2,0,1,0.4,11533,0,307,0,0,744,1637,0,1,152,Everton,Tottenham,Crystal Palace,West Brom,Sunderland,1,1.2,1.1,1.1,1.9,1.3,1,1,1.2,1.2,1.2,1.4,1,1.6,1,1.5,1.1,1.6,1.5,1,1,1.2,1,1,1.1
Jake,Hesketh,MID,SOU,4500000,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,5,0,0,0,Crystal Palace,Middlesbrough,Stoke,Bournemouth,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz,Hewelt,GLK,EVE,4000000,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,0,0,0,0,141,0,0,0,Man Utd,Watford,Arsenal,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Hinchcliffe,FWD,HUL,4500000,0,0,0,0,0,0,1315,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,0,0,0,0,56,0,0,0,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommie,Hoban,DEF,WAT,4000000,0,0,0,0,0,0,10846,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1082,0,0,0,0,0,3,0,0,0,West Brom,Everton,Man City,Sunderland,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
