FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Danny,Simpson,DEF,LEI,4900000,1,22,2.4,4.89795918367347E-07,4.48979591836735E-06,0,54557,4,11,0,0,0,0,0,4.5,2016,-1,1,22,1,0.2,0,1,1,0,3,0,0,1.6,14709,0,390,0,0,745,2949,-1,0,130,West Brom,Watford,Middlesbrough,Sunderland,Man City,2.6,1.4,2.3,1.5,2.1,1.3,1.9,2.6,3.6,1.4,2.5,1.6,1.2,2.3,1.5,3.6,2.4,2.7,2.3,3.1,2.8,1.2,2.1,3,1.7,2.6,1.2,3.6
Jerome,Sinclair,FWD,WAT,4800000,0,0,0,0,0,0,12680,0,0,0,0,0,0,0,0,397,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,3973,0,0,0,0,0,468,0,0,0,Liverpool,Leicester,Stoke,West Brom,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moussa,Sissoko,MID,TOT,6700000,0,12,0.4,5.97014925373134E-08,1.7910447761194E-06,0,9696,1,1,0,0,0,0,0,1.8,852,-3,1,12,3,0.2,0,1.3,0,0,3,0,0,0.1,9800,0,0,0,0,326,179,-1,0,26,Arsenal,West Ham,Chelsea,Swansea,Man Utd,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Islam,Slimani,FWD,LEI,8300000,0,23,0.766666666666667,9.23694779116466E-08,2.7710843373494E-06,0,90583,0,5,0,0,0,2,0,2.7,25328,-2,2,23,2,0.2,0,2,3,0,3,0,1,1,113817,0,0,0,1,355,802,-2,0,73,West Brom,Watford,Middlesbrough,Sunderland,Man City,0,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.6
Chris,Smalling,DEF,MUN,5900000,0,19,0.633333333333333,1.07344632768362E-07,3.22033898305085E-06,0,37698,0,9,0,0,0,1,0,3.2,4771,-1,0,19,1,0.3,0,2,0,0,1,0,0,1.3,15534,0,381,0,0,453,136,0,0,105,Swansea,Arsenal,West Ham,Everton,Tottenham,0,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3
Adam,Smith,DEF,BOU,4800000,0,38,3.8,7.91666666666667E-07,7.91666666666667E-06,0,109953,4,14,0,0,0,1,0,7.9,14257,3,0,38,-3,0.8,0,3.7,3,0,3,0,2,13.4,522509,0,297,0,1,900,25023,0,0,223,Sunderland,Stoke,Arsenal,Liverpool,Burnley,5.4,3.6,4,5.7,2.3,5.1,5.5,2.2,2.9,5.5,3.3,5,5.6,2,4.3,3.2,2,5.7,4.8,3.1,3.4,4.8,3,4.6,2.8,5.7,5.6,1.9
Bradley,Smith,DEF,BOU,4000000,0,0,0,0,0,0,107347,0,0,0,0,0,0,0,0,7872,0,0,0,0,0,0,0,0,0,0,0,0,3.4,56702,0,35,0,0,0,606,0,0,0,Sunderland,Stoke,Arsenal,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert,Snodgrass,MID,HUL,5500000,0,38,4.2,7.63636363636364E-07,6.90909090909091E-06,0,347129,1,21,0,0,0,3,0,6.8,57407,0,1,38,0,0.2,0,1,6,0,1,0,0,3.3,388926,0,0,0,0,767,133,-1,0,135,Southampton,Sunderland,West Brom,Middlesbrough,Crystal Palace,0,0,3.7,5.2,3.3,3.6,3.9,3,4.1,4.8,5.1,3.4,4.8,2.8,3.6,4.9,4.6,3.9,3.8,3.8,4.2,3.6,4.3,4.1,4.2,5,4.5,3.5
Ramadan,Sobhi,MID,STK,4900000,6,8,0.266666666666667,5.4421768707483E-08,1.63265306122449E-06,0,28368,0,1,0,0,0,0,0,1.6,504,-6,0,8,6,0.4,0,2,0,0,1,0,1,0.5,8177,0,0,0,0,81,4163,0,0,28,West Ham,Bournemouth,Watford,Burnley,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dominic,Solanke,FWD,CHE,5000000,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,69,0,0,0,Everton,Middlesbrough,Tottenham,Man City,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heung-Min,Son,MID,TOT,7400000,1,48,1.6,2.16216216216216E-07,6.48648648648649E-06,0,337819,1,3,0,0,0,4,0,6.4,163857,-1,2,48,1,0.2,0,1.7,6,0,4,0,2,7.8,609277,0,244,0,2,529,10131,-2,0,144,Arsenal,West Ham,Chelsea,Swansea,Man Utd,0.8,1,0.8,1,0.8,0.9,1.4,0.8,0.8,0.8,1,0.8,1,1.1,0.8,1,1.1,0.8,1,0.8,0.9,1.1,1.5,0.8,0.8,0.8,1.2,0.9
Pape,Souare,DEF,CRY,4300000,0,6,0.2,4.65116279069767E-08,1.3953488372093E-06,0,49248,0,3,0,0,0,0,0,1.4,912,-2,0,6,2,0,0,0,0,0,0,0,0,0.4,20033,0,354,0,0,270,18,0,0,37,Burnley,Man City,Swansea,Southampton,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Julian,Speroni,GLK,CRY,4400000,0,0,0,0,0,0,4894,0,0,0,0,0,0,0,0,265,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,707,0,13,0,0,0,30,0,0,0,Burnley,Man City,Swansea,Southampton,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raphael,Spiegel,GLK,WHU,4000000,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2007,0,0,0,0,0,727,0,0,0,Stoke,Tottenham,Man Utd,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior,Stanislas,MID,BOU,5500000,0,41,1.36666666666667,2.48484848484848E-07,7.45454545454545E-06,0,37632,1,7,0,0,0,3,0,7.3,18303,0,1,41,0,1.3,0,7,6,0,2,0,3,1.2,78259,0,217,0,1,416,4608,-1,0,134,Sunderland,Stoke,Arsenal,Liverpool,Burnley,0,0.7,0.7,0.7,0.7,1.5,0.9,0.7,0.7,0.7,0.7,1,0.8,0.7,0.7,0.7,0.7,0.9,0.9,0.7,0.7,0.8,0.7,1,0.7,0.9,1.2,0.7
Maarten,Stekelenburg,GLK,EVE,5100000,0,38,4.2,8.23529411764706E-07,7.45098039215686E-06,0,77918,2,8,0,18,0,0,0,7.5,27965,1,0,38,-1,1.2,0,6,3,0,2,0,0,4.4,175297,1,151,2,1,810,3601,0,0,154,Chelsea,Swansea,Southampton,Man Utd,Watford,3.4,5.1,4.6,4.8,4.2,5.8,6.3,2.5,4.8,5.9,4.6,5.2,4.9,6.3,4,5.7,4.4,5.4,5.1,4.7,3.2,5.4,6.1,4.7,5.2,4.4,5.3,5.3
Jack,Stephens,DEF,SOU,4000000,0,0,0,0,0,0,6024,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5902,0,0,0,0,0,574,0,0,0,Hull City,Liverpool,Everton,Crystal Palace,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem,Sterling,MID,MCI,8300000,3,52,5.2,6.26506024096386E-07,6.26506024096386E-06,0,604086,3,9,0,0,0,4,0,6.3,119677,3,1,52,-3,0.3,0,2.3,5,0,2,0,3,18.6,1185393,0,400,0,2,851,40070,-1,0,173,Middlesbrough,Crystal Palace,Burnley,Chelsea,Leicester,6.4,5.5,5.2,5.3,5.7,6.2,4,6.3,3.5,7.1,4.7,5.6,4.8,6,4.3,6.7,6.6,5.8,4.6,4.5,4.2,5.5,5.2,5.8,6.5,5.3,7.8,5.8
Kevin,Stewart,DEF,LIV,4300000,0,4,0.133333333333333,3.10077519379845E-08,9.30232558139535E-07,0,3832,0,0,0,0,0,0,0,0.9,240,-2,1,4,2,0,0,0,0,0,0,0,0,0.1,1982,0,69,0,0,20,95,-1,0,12,Watford,Southampton,Sunderland,Bournemouth,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
John,Stones,DEF,MCI,5000000,7,21,2.1,4.2E-07,4.2E-06,0,550583,1,9,0,0,0,0,0,4.2,16323,0,0,21,0,0.7,0,3.7,1,0,1,0,0,26.7,322856,0,336,0,0,817,64306,0,0,162,Middlesbrough,Crystal Palace,Burnley,Chelsea,Leicester,1.5,2.3,1.4,1.7,1,1.8,2.7,2,2.5,2.2,1.2,2.2,2.5,1.6,1.5,1.5,1.7,2.3,2.9,2.8,1.3,1.6,1.8,1.8,1.6,2.2,1.8,1.6
Maksymilian,Stryjek,GLK,SUN,4000000,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2196,0,0,0,0,0,125,0,0,0,Bournemouth,Hull City,Liverpool,Leicester,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristhian,Stuani,FWD,MID,5100000,0,27,3.9,7.64705882352941E-07,5.29411764705882E-06,0,232478,2,7,0,0,0,3,0,5.3,35472,1,0,27,-1,0.1,0,0.7,4,0,1,0,0,5.1,378743,0,0,0,1,509,13249,0,0,117,Man City,Chelsea,Leicester,Hull City,Southampton,4.7,4,3.7,4.8,4.2,5,4.6,3.7,3.7,5.3,4,4.9,4.4,3.6,4.5,5,4.4,5.3,4,5.1,5.6,4.9,3.4,3.3,4.6,3.6,4.3,4.5
Daniel,Sturridge,FWD,LIV,9800000,0,15,2.1,2.14285714285714E-07,1.53061224489796E-06,0,61939,1,3,0,0,0,0,0,1.5,6543,-2,1,15,2,0,0,0.3,0,0,1,0,2,1,46084,0,283,0,0,347,1726,-1,0,35,Watford,Southampton,Sunderland,Bournemouth,West Ham,1.7,1.4,2.5,1,2.3,1.4,1.1,2,2.1,1.9,1.1,2.1,1.8,2.5,1.8,1.1,1.5,2.2,1.6,2,2.5,1.5,1.7,2,1.3,1.9,1.5,1.7
Mario,Suarez,MID,WAT,4500000,0,0,0,0,0,0,6562,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0.1,202,0,69,0,0,0,4,0,0,0,Liverpool,Leicester,Stoke,West Brom,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac,Success,MID,WAT,5800000,0,12,0.4,6.89655172413793E-08,2.06896551724138E-06,0,3433,1,1,0,0,0,1,0,2.1,387,-2,0,12,2,0.2,0,1,0,0,1,0,0,0,1565,0,0,0,0,191,13,0,0,39,Liverpool,Leicester,Stoke,West Brom,Everton,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andrew,Surman,MID,BOU,4800000,2,19,2.1,4.375E-07,3.95833333333333E-06,0,6780,1,14,0,0,0,0,0,4,685,-2,0,19,2,0.3,0,1.3,0,0,2,0,0,0.2,1513,0,385,0,0,810,28,0,0,145,Sunderland,Stoke,Arsenal,Liverpool,Burnley,0,0,0,1.3,1,2.8,1.8,1,1,1.1,1,2,1.6,1,1.4,1,1,1.8,1.9,1,1,1.6,1,2.1,1.1,1.8,2.4,1
Franck,Tabanou,DEF,SWA,4400000,0,0,0,0,0,0,1428,0,0,0,0,0,0,0,0,29,-1,0,0,1,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,2,0,0,0,Man Utd,Everton,Crystal Palace,Tottenham,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusan,Tadic,MID,SOU,7200000,2,34,3.4,4.72222222222222E-07,4.72222222222222E-06,0,173487,1,8,0,0,0,1,0,4.7,7708,-3,0,34,3,0.2,0,1.7,0,0,4,0,2,2.3,61571,0,564,0,0,790,4449,0,0,122,Hull City,Liverpool,Everton,Crystal Palace,Middlesbrough,3.3,2.4,3.4,2.8,3.6,2.7,2.1,3,3.1,2.3,2.6,4.7,3.3,3.2,3.5,2,3,3.8,2.2,4.3,2.8,3.1,2.5,2,3,1.7,3.5,3.2
Matt,Targett,DEF,SOU,4300000,0,6,0.2,4.65116279069767E-08,1.3953488372093E-06,0,30652,0,4,0,0,0,0,0,1.4,1617,-2,0,6,2,0.1,0,0.3,0,0,0,0,0,0.4,13174,0,169,0,0,283,45,0,0,59,Hull City,Liverpool,Everton,Crystal Palace,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,Tarkowski,DEF,BUR,4000000,0,1,0.0333333333333333,8.33333333333333E-09,2.5E-07,0,31881,1,1,0,0,0,0,0,0.3,2733,0,0,1,0,0.1,0,0.3,0,0,0,0,0,1.8,32678,0,0,0,0,36,10401,0,0,1,Crystal Palace,West Brom,Man City,Stoke,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil,Taylor,DEF,SWA,4200000,1,2,0.0666666666666667,1.58730158730159E-08,4.76190476190476E-07,0,35204,1,7,0,0,0,0,0,0.5,945,-3,1,2,3,0.1,0,0.3,0,0,0,0,0,0.3,3200,0,321,0,0,220,556,-1,0,28,Man Utd,Everton,Crystal Palace,Tottenham,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart,Taylor,GLK,SOU,4000000,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,647,0,0,0,Hull City,Liverpool,Everton,Crystal Palace,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dionatan do Nascimento,Teixeira,DEF,STK,4000000,0,0,0,0,0,0,26127,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3108,0,12,0,0,0,48,0,0,0,West Ham,Bournemouth,Watford,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John,Terry,DEF,CHE,5300000,0,10,0.333333333333333,6.28930817610063E-08,1.88679245283019E-06,0,164507,1,4,0,0,0,0,0,1.9,5918,-2,1,10,2,0,0,0,0,0,1,0,0,2.1,55959,0,228,0,0,360,374,-1,0,64,Everton,Middlesbrough,Tottenham,Man City,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Thomas Robson,DEF,SUN,4000000,0,0,0,0,0,0,2228,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4748,0,0,0,0,0,346,0,0,0,Bournemouth,Hull City,Liverpool,Leicester,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Tomkins,DEF,CRY,5000000,0,13,0.433333333333333,8.66666666666667E-08,2.6E-06,0,2533,1,12,0,0,0,1,0,2.6,284,0,0,13,0,0.2,0,1,0,0,0,0,0,0.1,2969,0,221,0,0,504,167,0,0,90,Burnley,Man City,Swansea,Southampton,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Gokhan,Tore,MID,WHU,5400000,0,10,0.333333333333333,6.17283950617284E-08,1.85185185185185E-06,0,10203,0,4,0,0,0,0,0,1.9,219,-1,0,10,1,0,0,0,0,0,1,0,1,0.1,8904,0,0,0,0,240,6,0,0,29,Stoke,Tottenham,Man Utd,Arsenal,Liverpool,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andros,Townsend,MID,CRY,6100000,1,29,2.9,4.75409836065574E-07,4.75409836065574E-06,0,203066,2,11,0,0,0,1,0,4.7,14710,-4,1,29,4,0.3,0,1.7,3,0,1,0,1,2.8,75585,0,315,0,1,796,693,-1,0,128,Burnley,Man City,Swansea,Southampton,Hull City,2.2,1.7,2.8,2.2,2.8,2.8,2,2.6,1.8,2.4,2,2.5,1.8,3.1,2.3,2.6,2.6,2.1,2.5,1.7,2.2,1.4,3.6,1.4,3,1.8,2.1,2.6
Bertrand,Traore,MID,CHE,5400000,0,0,0,0,0,0,2159,0,0,0,0,0,0,0,0,16,-1,0,0,1,0,0,0,0,0,0,0,0,0,99,0,101,0,0,0,6,0,0,0,Everton,Middlesbrough,Tottenham,Man City,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adama,Traore,MID,MID,4800000,3,8,0.266666666666667,5.55555555555556E-08,1.66666666666667E-06,0,1543,1,0,0,0,0,0,0,1.7,725,-2,0,8,2,0.5,0,2.3,0,0,2,0,0,0.2,8160,0,0,0,0,244,1378,0,0,29,Man City,Chelsea,Leicester,Hull City,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kieran,Trippier,DEF,TOT,4800000,0,0,0,0,0,0,2959,0,0,0,0,0,0,0,0,119,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,527,0,110,0,0,0,48,0,0,0,Arsenal,West Ham,Chelsea,Swansea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Tymon,DEF,HUL,4000000,0,0,0,0,0,0,1576,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3004,0,0,0,0,0,294,0,0,0,Southampton,Sunderland,West Brom,Middlesbrough,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo,Ulloa,FWD,LEI,5600000,1,6,0.2,3.57142857142857E-08,1.07142857142857E-06,0,8842,0,2,0,0,0,0,0,1.1,341,-4,0,6,4,0.1,0,0.3,0,0,0,0,0,0.2,2725,0,226,0,0,95,341,0,0,12,West Brom,Watford,Middlesbrough,Sunderland,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fredrik,Ulvestad,MID,BUR,4400000,0,0,0,0,0,0,1968,0,0,0,0,0,0,0,0,47,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,500,0,0,0,0,0,5,0,0,0,Crystal Palace,West Brom,Man City,Stoke,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Valdes,GLK,MID,4500000,6,27,3.4,7.55555555555556E-07,6E-06,0,141366,0,10,0,17,0,0,0,6,4558,0,0,27,0,1.3,0,6,3,0,2,0,0,4.4,34654,0,0,0,1,720,6252,0,0,127,Man City,Chelsea,Leicester,Hull City,Southampton,2.9,3.4,2.2,3.3,3.9,4.8,3.3,3.2,2.8,3.6,3.6,4.8,3.6,3.8,3.5,4.6,4.3,3.9,3.1,3.8,4.1,4.2,4.3,3.4,2.9,3,4,4.3
Antonio,Valencia,DEF,MUN,5500000,0,30,3.3,6E-07,5.45454545454545E-06,0,403869,1,10,0,0,0,0,0,5.4,196261,0,1,30,0,0.4,0,2.3,4,0,3,0,0,6.9,273845,0,186,0,1,781,628,-1,0,184,Swansea,Arsenal,West Ham,Everton,Tottenham,0,0,0,0,0,4.1,3.5,4,3.3,3.9,4.9,3.9,3.5,1.9,3.7,2.5,4.9,3.5,3,3.7,3.6,3.2,3.5,2.7,3.4,4.4,3.3,4.3
Enner,Valencia,FWD,EVE,5300000,0,11,1.8,3.39622641509434E-07,2.07547169811321E-06,0,137297,0,4,0,0,0,0,0,2.1,4438,-2,0,11,2,0.1,0,0.3,0,0,1,0,1,1.9,84299,0,200,0,0,247,1409,0,0,17,Chelsea,Swansea,Southampton,Man Utd,Watford,0.9,1.7,1,1.4,0.9,1.2,1.9,0.9,1.9,1.6,1.7,1.3,1.1,2,1,2.1,0.9,1.6,2,1.1,0.9,2,1.8,1.1,1.4,1.4,1.4,1
Patrick,van Aanholt,DEF,SUN,5000000,0,24,2.7,5.4E-07,4.8E-06,0,133229,0,17,0,0,0,2,0,4.8,10387,0,0,24,0,0.2,0,1,2,0,0,0,0,4.2,72404,0,369,0,1,704,916,0,0,136,Bournemouth,Hull City,Liverpool,Leicester,Swansea,2.2,2.5,3.2,2.8,2.4,2.6,2.7,1.7,2,4,3.3,2.6,3.2,3.1,3.1,1.7,2.2,2.2,3.2,2.3,1.4,2.4,4,3.6,3.9,2.7,2.5,1.8
Mike,van der Hoorn,DEF,SWA,4300000,1,8,0.266666666666667,6.2015503875969E-08,1.86046511627907E-06,0,6400,1,8,0,0,0,0,0,1.9,473,-2,0,8,2,0.5,0,2.3,0,0,1,0,0,0.2,3644,0,0,0,0,360,1591,0,0,58,Man Utd,Everton,Crystal Palace,Tottenham,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Virgil,van Dijk,DEF,SOU,5400000,1,30,3,5.55555555555556E-07,5.55555555555556E-06,0,209511,3,10,0,0,0,0,0,5.6,8408,-1,0,30,1,0.3,0,1.7,4,0,3,0,0,9.3,92135,0,452,0,1,900,20992,0,0,201,Hull City,Liverpool,Everton,Crystal Palace,Middlesbrough,3.3,4.4,3.1,3.7,2.8,3.4,2.6,3.7,3.2,2.1,2.4,3.2,2.9,4.4,2.8,3.9,2.8,2.7,2.9,4.5,3.7,3.1,2.6,2.2,2.9,3.6,2.7,3.8
Marco,Van Ginkel,MID,CHE,4900000,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,25,-1,0,0,1,0,0,0,0,0,0,0,0,0,95,0,81,0,0,0,1,0,0,0,Everton,Middlesbrough,Tottenham,Man City,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie,Vardy,FWD,LEI,9700000,4,34,3.4,3.50515463917526E-07,3.50515463917526E-06,0,727652,1,16,0,0,0,2,0,3.5,18044,-3,0,34,3,0.2,0,2.3,3,0,3,0,2,9.8,144862,0,945,0,0,756,8160,0,0,117,West Brom,Watford,Middlesbrough,Sunderland,Man City,4.3,2.2,3.8,3.2,4.5,1.7,2.6,4.3,4.7,2.4,4,2.4,2,3.9,3.2,4.8,4.8,2.4,2.6,4.3,5.1,2,3.1,4,3,3.9,2.8,5
Guillermo,Varela,DEF,MUN,4500000,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,36,0,0,0,3,0,0,0,Swansea,Arsenal,West Ham,Everton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Vertonghen,DEF,TOT,5700000,2,38,3.8,6.66666666666667E-07,6.66666666666667E-06,0,73776,4,5,0,0,0,0,0,6.7,17115,2,0,38,-2,0.5,0,2.7,2,0,5,0,0,8.1,248198,0,335,0,0,900,11885,0,0,214,Arsenal,West Ham,Chelsea,Swansea,Man Utd,5,5.6,3.1,4.3,2.9,4.3,5.2,4.2,3.8,4.4,4.6,3.1,3.9,4.1,4.4,5.4,4.5,4.9,5.1,3.3,4,4.5,5.7,2.3,5.1,4.4,4,4.4
Sam,Vokes,FWD,BUR,6100000,2,35,3.5,5.73770491803279E-07,5.73770491803279E-06,0,45914,0,11,0,0,0,3,0,5.8,5958,1,-1,35,-1,0.8,0,5,4,0,3,0,0,2,95546,0,0,0,0,826,25459,1,0,106,Crystal Palace,West Brom,Man City,Stoke,Bournemouth,4.5,3.4,4.5,3,5.1,3,2.3,3.9,5.1,3.2,4.3,2.7,5.1,2.6,4,4.3,3.6,3,3.6,4,4.4,2.8,2.3,4,3.5,4.4,2,4.8
Michel,Vorm,GLK,TOT,4900000,0,9,0.3,6.12244897959184E-08,1.83673469387755E-06,0,18693,0,1,0,6,0,0,0,1.8,527,-1,1,9,1,0,0,0,0,0,1,0,0,0.3,17539,0,3,0,0,236,55,-1,0,51,Arsenal,West Ham,Chelsea,Swansea,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
