FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Marcus,Rashford,FWD,MUN,6900000,2,25,3.1,4.49275362318841E-07,3.6231884057971E-06,0,273397,1,9,0,0,0,3,0,3.6,42754,-1,0,25,1,0.3,0,2,0,0,2,0,0,7.6,346021,0,237,0,0,574,16022,0,0,124,Swansea,Arsenal,West Ham,Everton,Tottenham,3.4,2.6,3.8,2.3,3.1,3.4,3.2,4.2,3,2.9,3.9,2.9,4.1,2.3,3,3.1,4.1,2.7,2.7,3.4,3.5,3.5,3.1,2.3,3.6,2.7,2.2,3.5
Adam,Reach,MID,MID,4400000,0,0,0,0,0,0,2075,0,0,0,0,0,0,0,0,46,-1,0,0,1,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,2,0,0,0,Man City,Chelsea,Leicester,Hull City,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Redmond,MID,SOU,6000000,2,44,4.4,7.33333333333333E-07,7.33333333333333E-06,0,360822,1,10,0,0,0,3,0,7.3,13610,0,-1,44,0,1.1,0,6.7,7,0,3,0,0,8.4,401885,0,379,0,0,897,63064,1,0,151,Hull City,Liverpool,Everton,Crystal Palace,Middlesbrough,4.9,3.6,5,4.2,5.2,4.1,3.2,4.4,4.6,3.5,3.9,6.6,4.8,4.8,5.1,3.1,4.5,5.5,3.3,6,4.2,4.5,3.8,3.1,4.4,2.5,5,4.7
Harrison,Reed,MID,SOU,4300000,0,0,0,0,0,0,1570,0,0,0,0,0,0,0,0,146,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1021,0,1,0,0,0,278,0,0,0,Hull City,Liverpool,Everton,Crystal Palace,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winston,Reid,DEF,WHU,5000000,0,36,4,8E-07,7.2E-06,0,61422,4,14,0,0,0,1,0,7.2,22196,0,0,36,0,1.5,0,7.3,7,0,3,0,1,2.2,60221,0,294,0,1,797,5367,0,0,199,Stoke,Tottenham,Man Utd,Arsenal,Liverpool,0,4.3,3.2,5.4,4.6,5.6,4.7,4.2,2.5,4.4,5.5,3.9,4.2,4.5,5,4,4.7,3.8,5,4.7,5.2,4.7,4.1,4.9,4.9,5.6,6,3.6
Jeff,Reine-Adelaide,MID,ARS,4500000,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,19,0,0,0,Tottenham,Man Utd,Bournemouth,West Ham,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loic,Remy,FWD,CRY,6300000,0,0,0,0,0,0,20968,0,0,0,0,0,0,0,0,177,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,14544,0,62,0,0,0,82,0,0,0,Burnley,Man City,Swansea,Southampton,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Rhodes,FWD,MID,5400000,1,5,0.166666666666667,3.08641975308642E-08,9.25925925925926E-07,0,35516,0,1,0,0,0,0,0,0.9,446,-6,0,5,6,0.1,0,0.7,0,0,0,0,0,0.3,2386,0,0,0,0,107,310,0,0,14,Man City,Chelsea,Leicester,Hull City,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andrew,Robertson,DEF,HUL,4400000,0,13,1.6,3.63636363636364E-07,2.95454545454545E-06,0,56856,2,17,0,0,0,0,0,3,5439,-1,0,13,1,0,0,0,1,0,1,0,0,1,47929,0,0,0,0,692,9,0,0,115,Southampton,Sunderland,West Brom,Middlesbrough,Crystal Palace,0,0,0,0,1.3,1.3,1.9,0.8,1,1.4,1.7,0.9,0.9,1.9,2.1,1.3,0.8,0.9,0.9,1.9,0.8,0.9,1.5,1,1.4,1.1,1.7,1.2
Paul,Robinson,GLK,BUR,4000000,0,0,0,0,0,0,30001,0,0,0,0,0,0,0,0,1693,0,0,0,0,0,0,0,0,0,0,0,0,2.5,9437,0,0,0,0,0,463,0,0,0,Crystal Palace,West Brom,Man City,Stoke,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
