FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Neil,Taylor,DEF,SWA,4200000,0,2,0.0606060606060606,1.44300144300144E-08,4.76190476190476E-07,0,36092,1,7,0,0,0,0,0,0.5,877,-3,0,2,3,0.1,0,0.3,0,0,0,0,0,0.3,3822,0,321,0,0,220,608,0,0,28,Everton,Crystal Palace,Tottenham,Sunderland,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart,Taylor,GLK,SOU,4000000,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1608,0,0,0,0,0,957,0,0,0,Liverpool,Everton,Crystal Palace,Middlesbrough,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dionatan do Nascimento,Teixeira,DEF,STK,4000000,0,0,0,0,0,0,26979,0,0,0,0,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3160,0,12,0,0,0,52,0,0,0,Bournemouth,Watford,Burnley,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John,Terry,DEF,CHE,5300000,1,11,0.333333333333333,6.28930817610063E-08,2.07547169811321E-06,0,168671,1,4,0,0,0,0,0,2.1,4101,-2,0,11,2,0.1,0,0.3,0,0,1,0,0,2,56451,0,228,0,0,367,491,0,0,66,Middlesbrough,Tottenham,Man City,West Brom,Sunderland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Thomas Robson,DEF,SUN,4000000,0,0,0,0,0,0,2487,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0.2,5102,0,0,0,0,0,352,0,0,0,Hull City,Liverpool,Leicester,Swansea,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Tomkins,DEF,CRY,5000000,0,13,0.393939393939394,7.87878787878788E-08,2.6E-06,0,2856,1,12,0,0,0,1,0,2.6,323,0,0,13,0,0.1,0,0.3,0,0,0,0,0,0.1,3067,0,221,0,0,504,98,0,0,90,Man City,Swansea,Southampton,Hull City,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Gokhan,Tore,MID,WHU,5400000,0,10,0.303030303030303,5.61167227833894E-08,1.85185185185185E-06,0,10376,0,4,0,0,0,0,0,1.9,168,-1,0,10,1,0,0,0,0,0,1,0,1,0.1,8909,0,0,0,0,240,5,0,0,29,Tottenham,Man Utd,Arsenal,Liverpool,Burnley,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andros,Townsend,MID,CRY,6100000,6,35,3.2,5.24590163934426E-07,5.73770491803279E-06,0,209385,2,14,0,0,0,1,0,5.7,6174,-4,0,35,4,0.5,0,3,4,0,1,0,2,2.7,76487,0,315,0,1,886,891,0,0,157,Man City,Swansea,Southampton,Hull City,Man Utd,2,3.3,2.7,3,3.1,2.3,2.9,2.3,2.8,2.4,3.1,2.2,3.6,2.7,3,3,2.6,3,1.9,2.6,1.6,4,1.6,3.4,2.2,2.5,3.1
Bertrand,Traore,MID,CHE,5400000,0,0,0,0,0,0,2170,0,0,0,0,0,0,0,0,11,-1,0,0,1,0,0,0,0,0,0,0,0,0,104,0,101,0,0,0,5,0,0,0,Middlesbrough,Tottenham,Man City,West Brom,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adama,Traore,MID,MID,4800000,2,10,0.303030303030303,6.31313131313131E-08,2.08333333333333E-06,0,2240,1,1,0,0,0,0,0,2.1,690,-2,0,10,2,0.6,0,2.7,0,0,2,0,0,0.2,9242,0,0,0,0,334,1065,0,0,43,Chelsea,Leicester,Hull City,Southampton,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Kieran,Trippier,DEF,TOT,4800000,1,1,0.0303030303030303,6.31313131313131E-09,2.08333333333333E-07,0,3077,0,0,0,0,0,0,0,0.2,117,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.1,727,0,110,0,0,11,199,0,0,2,West Ham,Chelsea,Swansea,Man Utd,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Tymon,DEF,HUL,4000000,0,0,0,0,0,0,1739,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3366,0,0,0,0,0,361,0,0,0,Sunderland,West Brom,Middlesbrough,Crystal Palace,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo,Ulloa,FWD,LEI,5600000,1,7,0.212121212121212,3.78787878787879E-08,1.25E-06,0,9174,0,2,0,0,0,0,0,1.3,328,-4,0,7,4,0.1,0,0.7,0,0,0,0,0,0.2,2996,0,226,0,0,99,270,0,0,13,Watford,Middlesbrough,Sunderland,Man City,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fredrik,Ulvestad,MID,BUR,4400000,0,0,0,0,0,0,2007,0,0,0,0,0,0,0,0,39,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,504,0,0,0,0,0,4,0,0,0,West Brom,Man City,Stoke,Bournemouth,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Valdes,GLK,MID,4500000,4,31,3.4,7.55555555555556E-07,6.88888888888889E-06,0,145508,0,11,0,23,0,0,0,6.9,4085,0,0,31,0,1.5,0,6.7,3,0,2,0,0,4.7,48518,0,0,0,1,810,13817,0,0,148,Chelsea,Leicester,Hull City,Southampton,Liverpool,3.4,2.3,3.5,3.8,4.8,3.3,2.9,2.7,3.4,3.5,4.7,3.6,3.6,3.8,4.4,4.3,3.3,2.8,3.8,4,4,4.2,3.6,2.9,2.9,4,4.3
Antonio,Valencia,DEF,MUN,5400000,0,30,3.3,6.11111111111111E-07,5.55555555555556E-06,0,459943,1,10,0,0,0,0,0,5.5,54249,-1,1,30,1,0,0,0,4,0,3,0,0,5.5,274168,0,186,0,1,781,323,-1,0,184,Arsenal,West Ham,Everton,Tottenham,Crystal Palace,0,0,0,4.1,4,3.7,3.4,3.3,4,4.9,3.9,3.6,2,3.8,2.7,4.9,3.4,3.2,3.7,3.9,3,3.5,2.6,3.4,4.5,3.2,4
Enner,Valencia,FWD,EVE,5300000,0,11,1.8,3.39622641509434E-07,2.07547169811321E-06,0,140919,0,4,0,0,0,0,0,2.1,3578,-2,0,11,2,0.1,0,0.3,0,0,1,0,1,1.9,85609,0,200,0,0,247,1296,0,0,17,Swansea,Southampton,Man Utd,Watford,Arsenal,1.7,0.9,1.5,0.9,1.2,2,0.9,1.6,1.7,1.7,1.3,1,2,0.9,2,0.9,1.6,2.1,1,0.9,2,1.9,1,1.4,1.3,1.5,1
Patrick,van Aanholt,DEF,SUN,5000000,2,26,2.6,5.2E-07,5.2E-06,0,139252,0,18,0,0,0,2,0,5.2,5930,0,0,26,0,0.3,0,1.3,2,0,0,0,0,4.1,76019,0,369,0,1,794,3600,0,0,151,Hull City,Liverpool,Leicester,Swansea,Chelsea,2.4,3.2,2.4,2.5,2.4,2.6,1.6,1.8,3.8,3.1,2.7,2.9,2.9,2.8,1.7,2,2.3,2.8,2.2,1.4,1.9,3.7,3.6,3.6,2.6,2.3,1.8
