FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Stephen,Ward,DEF,BUR,4400000,0,23,2.3,5.22727272727273E-07,5.22727272727273E-06,0,9746,1,13,0,0,0,0,0,5.1,1715,-1,1,23,1,0.2,0,1,0,0,2,0,0,0.3,14854,0,0,0,0,845,187,-1,0,137,West Brom,Man City,Stoke,Bournemouth,West Ham,0,0,1.9,3.3,2.4,1.5,2.1,2.2,1.2,2.7,2.8,2.3,1.4,2.3,1.7,1.6,2.3,1.3,2.7,2.9,1.5,1.2,1.9,2,2.4,1.5,3.4
James,Ward-Prowse,MID,SOU,5100000,1,16,0.484848484848485,9.5068330362448E-08,3.13725490196078E-06,0,9376,0,2,0,0,0,1,0,3.1,285,-4,0,16,4,0.1,0,0.7,0,0,0,0,1,0.2,1631,0,266,0,0,118,43,0,0,68,Liverpool,Everton,Crystal Palace,Middlesbrough,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Marcin,Wasilewski,DEF,LEI,4000000,0,0,0,0,0,0,23449,0,0,0,0,0,0,0,0,1307,0,0,0,0,0,0,0,0,0,0,0,0,1.1,17671,0,35,0,0,0,1270,0,0,0,Watford,Middlesbrough,Sunderland,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duncan,Watmore,MID,SUN,4900000,2,29,2.6,5.30612244897959E-07,5.91836734693878E-06,0,7140,1,18,0,0,0,0,0,5.9,400,-1,0,29,1,0.7,0,3.3,0,0,1,0,3,0.2,7766,0,185,0,0,773,1400,0,0,80,Hull City,Liverpool,Leicester,Swansea,Chelsea,1.9,1.3,3.1,2.3,1.7,2.3,2.1,1.7,1.4,2,2,2,1.9,2.1,1.5,1.6,2.4,2.7,2,2,2.4,2.1,1.5,2.7,2.1,2.1,1.3
Ben,Watson,MID,WAT,4300000,1,0,0,0,0,0,49683,0,1,0,0,0,0,0,0,1260,-2,0,0,2,0.1,0,0.3,0,0,0,0,0,0.7,6425,0,351,0,0,44,759,0,1,2,Leicester,Stoke,West Brom,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Weir,MID,HUL,4400000,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,22,-1,0,0,1,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,27,0,0,0,Sunderland,West Brom,Middlesbrough,Crystal Palace,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny,Welbeck,FWD,ARS,7400000,0,0,0,0,0,0,2694,0,0,0,0,0,0,0,0,130,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,930,0,164,0,0,0,86,0,0,0,Man Utd,Bournemouth,West Ham,Stoke,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn,Whelan,MID,STK,4400000,0,21,1.9,4.31818181818182E-07,4.77272727272727E-06,0,25728,2,17,0,0,0,0,0,4.8,2925,-1,0,21,1,0.4,0,1.7,1,0,2,0,0,0.8,19289,1,432,0,0,946,1586,0,0,144,Bournemouth,Watford,Burnley,Arsenal,Southampton,0,1.2,1.7,1,1.3,2,1,1,1.4,1.6,1.5,1.5,1.2,1.1,1,1.4,1,1,1.2,1,1,1.1,1.4,1.2,1,1,1
Connor,Wickham,FWD,CRY,5600000,5,13,2.2,3.92857142857143E-07,2.32142857142857E-06,0,42297,0,4,0,0,0,1,0,2.3,644,-4,0,13,4,0.3,0,1.7,0,0,0,0,0,0.4,10489,0,225,0,0,316,1779,0,0,37,Man City,Swansea,Southampton,Hull City,Man Utd,1.9,2.3,1.9,2.7,1.6,1.6,1.7,1.8,1.9,1.9,2.1,1.4,2.2,2,1.5,2.2,1.7,1.7,1.3,1.8,1.4,2.3,1.9,2.2,2.1,2.3,1.6
Georginio,Wijnaldum,MID,LIV,7500000,5,27,0.818181818181818,1.09090909090909E-07,3.6E-06,0,112097,1,12,0,0,0,1,0,3.6,1586,-5,1,27,5,0.3,0,2.3,0,0,0,0,2,1.4,13095,0,630,0,0,660,852,-1,0,142,Southampton,Sunderland,Bournemouth,West Ham,Middlesbrough,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Ashley,Williams,DEF,EVE,5100000,0,28,2.8,5.49019607843137E-07,5.49019607843137E-06,0,151186,1,11,0,0,0,0,0,5.5,10844,1,0,28,-1,0.5,0,2.7,1,0,3,0,0,8.5,182117,0,487,0,0,820,7992,0,0,179,Swansea,Southampton,Man Utd,Watford,Arsenal,3,2.3,2.5,2,3.9,4.2,1.4,2.4,3.5,2.6,2.7,2.7,4.2,2.1,2.9,2.1,3.2,3.1,2.9,1.4,3,3.5,3,3,2.3,3.2,3.4
Jonathan,Williams,MID,CRY,4500000,0,0,0,0,0,0,964,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0,0,0,3,0,0,0,Man City,Swansea,Southampton,Hull City,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Willian,MID,CHE,7200000,0,30,3.8,5.27777777777778E-07,4.16666666666667E-06,0,349446,1,8,0,0,0,2,0,4.2,15797,-3,0,30,3,0.1,0,0.7,5,0,2,0,0,3.7,113479,0,512,0,2,497,795,0,0,143,Middlesbrough,Tottenham,Man City,West Brom,Sunderland,3.8,3.8,2.4,3.7,4.2,3.1,4.9,3.9,2.4,3.3,3.7,1.9,2.6,2.8,4.1,2.6,4.4,3,3.6,3.2,2.4,3.4,4.1,2.5,4.4,3.3,5
Jack,Wilshere,MID,BOU,5900000,2,17,0.515151515151515,8.73138161273754E-08,2.88135593220339E-06,0,46615,2,11,0,0,0,0,0,2.9,2919,-1,0,17,1,0.4,0,2.3,0,0,2,0,0,0.7,60899,0,18,0,0,630,938,0,0,70,Stoke,Arsenal,Liverpool,Burnley,Leicester,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
James,Wilson,FWD,MUN,5000000,0,0,0,0,0,0,2869,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0.1,377,0,1,0,0,0,8,0,0,0,Arsenal,West Ham,Everton,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kane,Wilson,DEF,WBA,4000000,0,0,0,0,0,0,6438,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0.5,17657,0,0,0,0,0,1375,0,0,0,Burnley,Hull City,Watford,Chelsea,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,Wimmer,DEF,TOT,4600000,-1,-1,-0.0303030303030303,-6.58761528326746E-09,-2.17391304347826E-07,0,4945,1,1,0,0,0,0,0,-0.2,161,-4,0,-1,4,-0.1,0,-0.3,0,0,0,0,0,0.1,1164,1,131,0,0,90,575,0,0,2,West Ham,Chelsea,Swansea,Man Utd,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry,Winks,MID,TOT,4500000,1,4,0.121212121212121,2.69360269360269E-08,8.88888888888889E-07,0,407,0,0,0,0,0,0,0,0.9,40,0,0,4,0,0.2,0,0.7,0,0,0,0,0,0,447,0,0,0,0,12,42,0,0,11,West Ham,Chelsea,Swansea,Man Utd,Hull City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Philipp,Wollscheid,DEF,STK,4500000,0,1,0.5,1.11111111111111E-07,2.22222222222222E-07,0,41792,1,5,0,0,0,0,0,0.2,413,0,0,1,0,0,0,0,0,0,0,0,0,0.3,737,0,330,0,0,180,9,0,0,23,Bournemouth,Watford,Burnley,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Wynter,DEF,CRY,4000000,0,0,0,0,0,0,2469,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0.2,7014,0,0,0,0,0,804,0,0,0,Man City,Swansea,Southampton,Hull City,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit,Xhaka,MID,ARS,5200000,3,17,0.515151515151515,9.90675990675991E-08,3.26923076923077E-06,0,212795,1,5,0,0,0,1,0,3.3,3432,-3,0,17,3,0.2,0,1,1,0,2,0,0,3,62065,0,0,0,0,498,1943,0,1,103,Man Utd,Bournemouth,West Ham,Stoke,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Claudio,Yacob,MID,WBA,4400000,2,16,1.6,3.63636363636364E-07,3.63636363636364E-06,0,6973,5,11,0,0,0,0,0,3.6,239,-1,0,16,1,0.2,0,0.7,0,0,2,0,0,0.2,4248,0,286,0,0,833,209,0,0,99,Burnley,Hull City,Watford,Chelsea,Swansea,1.2,1,1,0.8,0.9,1,0.8,0.8,0.8,0.8,1.2,1.2,0.8,0.8,1.2,0.8,0.8,0.8,1,1,0.8,0.8,0.8,1.4,0.8,0.8,1.1
,Yaya Toure,MID,MCI,7600000,0,0,0,0,0,0,55741,0,0,0,0,0,0,0,0,360,-4,0,0,4,0,0,0,0,0,0,0,0,0.5,1455,0,525,0,0,0,61,0,0,0,Crystal Palace,Burnley,Chelsea,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre,Yedlin,DEF,TOT,4400000,0,0,0,0,0,0,13358,0,0,0,0,0,0,0,0,180,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,369,0,227,0,0,0,6,0,0,0,West Ham,Chelsea,Swansea,Man Utd,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maya,Yoshida,DEF,SOU,4300000,3,5,0.151515151515152,3.52360817477097E-08,1.16279069767442E-06,0,9927,1,3,0,0,0,0,0,1.2,328,-2,0,5,2,0.2,0,1,0,0,0,0,1,0.3,3239,0,152,0,0,180,756,0,0,36,Liverpool,Everton,Crystal Palace,Middlesbrough,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ashley,Young,MID,MUN,5200000,2,6,0.181818181818182,3.4965034965035E-08,1.15384615384615E-06,0,2625,1,3,0,0,0,0,0,1.2,101,-3,0,6,3,0.1,0,0.7,0,0,1,0,0,0.1,848,0,178,0,0,237,149,0,0,41,Arsenal,West Ham,Everton,Tottenham,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Pablo,Zabaleta,DEF,MCI,4700000,2,8,0.242424242424242,5.15796260477112E-08,1.70212765957447E-06,0,53914,1,5,0,0,0,0,0,1.7,1051,-3,0,8,3,0.1,0,0.7,0,0,0,0,0,1.2,23640,0,152,0,0,374,2462,0,0,57,Crystal Palace,Burnley,Chelsea,Leicester,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wilfried,Zaha,MID,CRY,5300000,5,37,3.7,6.9811320754717E-07,6.9811320754717E-06,0,105892,3,16,0,0,0,1,0,7,5197,-2,0,37,2,1,0,5.3,4,0,0,0,4,2.4,111071,0,353,0,0,835,9877,0,0,154,Man City,Swansea,Southampton,Hull City,Man Utd,2.6,4.1,3.4,3.8,3.9,2.9,3.7,2.9,3.5,3,3.9,2.8,4.4,3.4,3.7,3.7,3.2,3.7,2.4,3.3,2.1,4.9,1.9,4.2,2.8,3.1,3.8
Simone,Zaza,FWD,WHU,6300000,0,9,1.3,2.06349206349206E-07,1.42857142857143E-06,0,39575,2,12,0,0,0,0,0,1.4,2007,-7,2,9,7,0.2,0,1,0,0,2,0,0,0.2,42957,0,0,0,0,429,452,-2,0,21,Tottenham,Man Utd,Arsenal,Liverpool,Burnley,0.6,0.6,0.7,0.7,1.1,1.2,0.9,0.6,0.8,1,0.6,1,0.6,0.9,0.6,0.8,0.6,1.2,1.1,0.6,1,0.9,1.1,0.7,0.8,1.1,0.6
Ron-Robert,Zieler,GLK,LEI,4400000,2,10,0.303030303030303,6.8870523415978E-08,2.27272727272727E-06,0,5680,0,7,0,8,0,0,0,2.3,643,-1,0,10,1,0.2,0,0.7,0,0,1,0,0,0.4,9010,0,0,0,0,304,1761,0,0,57,Watford,Middlesbrough,Sunderland,Man City,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Oleksandr,Zinchenko,MID,MCI,5300000,0,0,0,0,0,0,2269,0,0,0,0,0,0,0,0,13,-2,0,0,2,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,3,0,0,0,Crystal Palace,Burnley,Chelsea,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurt,Zouma,DEF,CHE,5300000,0,0,0,0,0,0,6027,0,0,0,0,0,0,0,0,218,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,967,0,185,0,0,0,102,0,0,0,Middlesbrough,Tottenham,Man City,West Brom,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan,Zuniga,DEF,WAT,4400000,1,25,0.757575757575758,1.72176308539945E-07,5.68181818181818E-06,0,54264,0,4,0,0,0,1,0,5.7,5585,-1,0,25,1,0.6,0,2.7,2,0,1,0,1,2.3,105265,0,0,0,1,255,5268,0,0,103,Leicester,Stoke,West Brom,Everton,Man City,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.4
